id,step,bank,channel,raw_attempts,valid_count,acceptance_rate,extended_budget,checkpoints,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
25,20,2,9,4096,225,0.054931640625,False,[],48.16350609462024,128,512,56.00000000000006,28
25,20,2,10,4096,1824,0.4453125,False,[],48.303661883883734,128,512,280.99999999999983,26
25,20,2,11,4096,2393,0.584228515625,False,[],83.3905508426697,128,512,512.0,10
25,20,2,12,4096,316,0.0771484375,False,[],93.77228636022906,128,512,511.9999999999998,5
25,20,2,13,4096,289,0.070556640625,False,[],74.5112773685178,128,512,309.0000000000006,14
25,20,2,14,4096,1243,0.303466796875,False,[],52.682313167460876,128,512,369.0,22
25,20,2,16,4096,848,0.20703125,False,[],58.57944398832376,128,512,321.00000000000017,14
25,20,2,18,4096,607,0.148193359375,False,[],100.89989995210433,128,512,359.9999999999997,1
25,20,2,19,4096,359,0.087646484375,False,[],30.21758121842522,128,512,180.00000000000003,39
26,17,0,1,4096,135,0.032958984375,False,[],56.773185983157155,128,512,447.0000000000003,16
26,17,0,2,4096,1838,0.44873046875,False,[],85.61499621776346,128,512,512.0,6
26,17,0,3,4096,2650,0.64697265625,False,[],95.39536541750267,128,512,433.0000000000002,4
26,17,0,4,4096,312,0.076171875,False,[],72.92227916823819,128,512,88.00000000000006,27
26,17,0,8,4096,215,0.052490234375,False,[],55.20527371924284,128,512,174.0,28
26,17,0,9,4096,413,0.100830078125,False,[],73.16890550259163,128,512,277.9999999999997,6
26,17,0,10,4096,2179,0.531982421875,False,[],51.60733774288977,128,512,231.99999999999963,23
26,17,0,12,8192,128,0.015625,False,[],60.075549582413316,128,512,61.00000000000013,19
26,17,0,13,4096,194,0.04736328125,False,[],59.28055788454995,128,512,422.00000000000136,42
26,17,0,15,4096,141,0.034423828125,False,[],93.14021532730749,128,512,225.00000000000048,6
26,17,0,16,4096,2253,0.550048828125,False,[],94.7903503317436,128,512,512.0,0
26,17,0,18,4096,250,0.06103515625,False,[],79.74418658146502,128,512,492.9999999999998,12
26,17,0,19,4096,391,0.095458984375,False,[],65.86447095804563,128,512,252.00000000000006,18
26,17,0,20,4096,2158,0.52685546875,False,[],52.467667674026664,128,512,65.99999999999996,23
26,17,1,1,8192,236,0.02880859375,False,[],51.99213239189004,128,512,422.0000000000002,12
26,17,1,2,4096,1861,0.454345703125,False,[],87.6687889698779,128,512,512.0,6
26,17,1,3,4096,2653,0.647705078125,False,[],94.93036468716188,128,512,184.00000000000009,5
26,17,1,4,4096,294,0.07177734375,False,[],61.19306030278803,128,512,328.9999999999997,33
26,17,1,8,4096,193,0.047119140625,False,[],49.3501164983913,128,512,22.000000000000014,23
26,17,1,9,4096,351,0.085693359375,False,[],67.62610171614031,128,512,300.9999999999996,15
26,17,1,10,4096,2096,0.51171875,False,[],40.9699543337409,128,512,220.00000000000065,22
26,17,1,12,8192,129,0.0157470703125,False,[],59.313682409130415,128,512,85.99999999999991,25
26,17,1,13,4096,184,0.044921875,False,[],52.75577744225224,128,512,319.9999999999998,46
26,17,1,15,4096,147,0.035888671875,False,[],87.16697172226769,128,512,223.0,7
26,17,1,16,4096,2280,0.556640625,False,[],102.06718508135508,128,512,509.0000000000003,1
26,17,1,18,4096,225,0.054931640625,False,[],79.35948378134407,128,512,63.999999999999815,14
26,17,1,19,4096,341,0.083251953125,False,[],64.4912978826474,128,512,466.0000000000001,16
26,17,1,20,4096,2135,0.521240234375,False,[],61.820968420668876,128,512,114.99999999999982,19
26,17,2,1,8192,236,0.02880859375,False,[],52.92172144049787,128,512,180.00000000000003,18
