problem,seed,seed_hex,source_seed,baseline,candidate,baseline_status,candidate_status,baseline_time_per_source,candidate_time_per_source,time_delta_s_per_source,comparison,actual_polygon_clear_travel_delta_m,candidate_same_state_counterfactual_saving_m,whole_run_distance_delta_m,baseline_valid_full_clear,baseline_invalid_evidence,baseline_total,baseline_cleared,baseline_virtual_time_s,baseline_distance,baseline_polygon_clear_travel_m,baseline_same_state_clear_saving_m,baseline_polygon_certified_count,baseline_near_certified_count,baseline_polygon_zero_move_count,baseline_nccp_fallback_count,baseline_current_position_certified_count,baseline_current_position_certified_case_count,baseline_zero_move_clear_count,baseline_zero_move_clear_case_count,baseline_minimum_same_state_saving_m,candidate_valid_full_clear,candidate_invalid_evidence,candidate_total,candidate_cleared,candidate_virtual_time_s,candidate_distance,candidate_polygon_clear_travel_m,candidate_same_state_clear_saving_m,candidate_polygon_certified_count,candidate_near_certified_count,candidate_polygon_zero_move_count,candidate_nccp_fallback_count,candidate_current_position_certified_count,candidate_current_position_certified_case_count,candidate_zero_move_clear_count,candidate_zero_move_clear_case_count,candidate_minimum_same_state_saving_m
3,20,0000000000000000000000000000000000000000000001000000000000000000,78,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,279.695127875,278.0253446875,-1.669783187500002,win,-129.76107364399377,137.82044349503107,-133.58265565338297,True,False,16,16,4475.122046,18985.610230895585,2715.210453652526,0.0,16,0,0,0,1,1,0,0,0.0,True,False,16,16,4448.405515,18852.027575242202,2585.4493800085324,137.82044349503107,16,0,1,0,1,1,1,1,0.1894306595248736
3,21,0000000000000000000000000000000000000000000040000000000000000000,84,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,293.3987736428571,291.9719228571429,-1.4268507857142367,win,-95.73616418698703,107.39439396932195,-99.87954984969474,True,False,14,14,4107.582831,16977.91416045629,2826.24681548247,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4087.60692,16878.034610606595,2730.510651295483,107.39439396932195,14,0,0,0,0,0,0,0,2.6510851618548372
3,22,0000000000000000000000000000000000000000001000000000000000000000,90,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,369.8622874,368.4257138,-1.436573600000031,win,-75.89028839851153,74.3546758900905,-71.82867101386728,True,False,10,10,3698.622874,14553.114381028781,2159.9196532549527,0.0,10,0,0,0,0,0,0,0,0.0,True,False,10,10,3684.257138,14481.285710014914,2084.029364856441,74.3546758900905,10,0,0,0,0,0,0,0,0.06646668393284472
3,23,0000000000000000000000000000000000000000040000000000000000000000,96,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,231.3794093125,229.581791375,-1.7976179375000072,win,-225.8732324211046,135.6404989657822,-143.80943692927394,True,False,16,16,3702.070549,15300.352740302398,3044.9792818587107,0.0,16,0,0,0,0,0,0,0,0.0,True,False,16,16,3673.308662,15156.543303373124,2819.106049437606,135.6404989657822,16,0,0,0,0,0,0,0,0.6303505389822703
3,24,0000000000000000000000000000000000000001000000000000000000000000,102,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,281.0418925454546,279.1315030909091,-1.9103894545454523,win,-76.90528317435383,80.01494428813119,-105.071421491597,True,False,11,11,3091.460818,11467.304084956913,2566.7870495214934,0.0,11,0,0,0,1,1,0,0,0.0,True,False,11,11,3070.446534,11362.232663465316,2489.8817663471395,80.01494428813119,11,0,1,0,1,1,1,1,0.3659794488876287
3,25,0000000000000000000000000000000000000008000000000000000000000000,105,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,291.91677553846154,290.2526179230769,-1.6641576153846245,win,-106.34304855762048,112.503125086685,-108.17025090242169,True,False,13,13,3794.918082,15469.590416542434,2349.1393492651764,0.0,13,0,0,0,0,0,0,0,0.0,True,False,13,13,3773.284033,15361.420165640013,2242.796300707556,112.503125086685,13,0,0,0,0,0,0,0,2.234430339643893
3,26,0000000000000000000000000000000000000040000000000000000000000000,108,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,327.59144572727274,325.97132863636364,-1.6201170909091047,win,-80.95340929880513,81.27281900923501,-89.10645593303889,True,False,11,11,3603.505903,14497.529517533516,1662.3701113195866,0.0,10,1,0,0,0,0,1,1,0.0,True,False,11,11,3585.684615,14408.423061600477,1581.4167020207815,81.27281900923501,10,1,0,0,0,0,1,1,0.9279441628567611
3,27,0000000000000000000000000000000000001000000000000000000000000000,114,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,327.2631529230769,326.1412369230769,-1.1219159999999988,win,-119.9975835034088,120.1659153087868,-72.92456591088921,True,False,13,13,4254.420988,17712.104946571457,1647.6484914682565,0.0,13,0,0,0,0,0,0,0,0.0,True,False,13,13,4239.83608,17639.180380660568,1527.6509079648476,120.1659153087868,13,0,0,0,0,0,0,0,2.2657022080452975
3,28,0000000000000000000000000000000000040000000000000000000000000000,120,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,335.2708835,333.6344265833333,-1.6364569166667025,win,-107.26867220527174,99.36674576189328,-98.18742150083926,True,False,12,12,4023.250602,16821.253011549565,2008.0462298917735,0.0,12,0,0,0,0,0,0,0,0.0,True,False,12,12,4003.613119,16723.065590048725,1900.7775576865017,99.36674576189328,12,0,0,0,0,0,0,0,1.3101440518018705
3,29,0000000000000000000000000000000001000000000000000000000000000000,126,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,296.02153423076925,293.6206463846154,-2.4008878461538643,win,-129.66261746258328,122.03953733429985,-156.05772290629648,True,False,13,13,3848.279945,15531.399725964095,2141.9207587265632,0.0,13,0,0,0,1,1,0,0,0.0,True,False,13,13,3817.068403,15375.342003057798,2012.25814126398,122.03953733429985,13,0,1,0,1,1,1,1,0.9173453418136432
