seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
191,0000000000000000020000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,256.8646346875,4109.834155,17164.170773897447,0.7027461999987281,cpu,0,0,16,0,0,100,97,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,f8c894bfa6aa402763adfa576421402cf44aebeeb734c17705e278c4c4eb2505,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1418.502297,1872.4018780000001,0.0,0.0,818.9299799999992,0.0
192,0000000000000000040000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,358.5681853333333,4302.818224,17934.09112272865,0.7855887999994593,cpu,0,0,12,0,0,111,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,4094a827203472f5cd8a0eefb2a6ab99c9aa01cc78a6d3ed0659299b88855c9a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1602.6436449999994,2119.450243,0.0,0.0,580.7243360000003,0.0
193,0000000000000000080000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,321.20123778571434,4496.817329,19089.086636187676,0.6909794000002876,cpu,0,0,14,0,0,103,94,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,b8d9aa3c6ece39d210987dc3aff4d76207f283290028e0845decf4ef7d954a98,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2009.7492869999999,1971.9900209999996,0.0,0.0,515.0780210000007,9.094947017729282e-13
194,0000000000000000100000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,303.843049625,4861.488794,20602.443971881083,0.9181687000000238,cpu,0,0,16,0,0,112,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,3e3aa9c640eb6738eb85bc0b832cc5f3577c0865731a5ac35d2576ad5b77022b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2108.3888500000003,2451.5055190000003,0.0,0.0,301.5944249999999,9.094947017729282e-13
195,0000000000000000200000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,257.685188,3865.27782,15511.38907759367,0.7833080000000336,cpu,0,0,15,0,0,116,108,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,bacf69a974122b98629e96ef2acc4662c80744dc36c3c6a30654b8752bcc0a43,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1399.1044729999994,1821.013163,0.0,0.0,645.1601840000003,0.0
196,0000000000000000400000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,282.9891566,4244.837349,17949.18673336775,0.6697147999984736,cpu,0,0,15,0,0,98,90,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,4fc50304c147a81daf3c746b159e3331a3b427b64e6a96824100f442542df28e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1797.168482000001,1712.8345680000002,0.0,0.0,734.8342989999991,0.0
197,0000000000000000800000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,382.74578191666666,4592.949383,19394.74691906243,0.772382999999536,cpu,0,0,12,0,0,111,99,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,b43f6e33f087b3dee79b9df14c5f4d8d6c7948a45d34ca22fa44e980b82452b8,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1899.8007990000003,2494.9782280000004,0.0,0.0,198.17035599999957,0.0
198,0000000000000001000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,304.7330048181818,3352.063053,12855.315265122434,0.5255632000007608,cpu,0,0,11,0,0,122,116,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,22c42b53deb8f90816c6019e54964670145deadd004ab954c23042b833d47e8a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1592.5936060000004,1422.307105,0.0,0.0,337.16234199999946,0.0
199,0000000000000002000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,337.8226366153846,4391.694276,18623.471366308273,0.7049762999995437,cpu,0,0,13,0,0,102,92,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,ad9a95a4dd275d8d8f039bfa20f5d7a1654d6cdc17e2d71a37cebdea3a54929b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1697.1660329999995,2283.1577140000004,0.0,0.0,411.37052900000026,0.0
200,0000000000000004000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,298.2772568333333,3579.327082,14241.635408472852,0.4943121999986033,cpu,0,0,12,0,0,113,106,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,64c779c8b2e6d0ad25450287f1fcecc0063d658feaba05c443da4ecec81f59c4,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1616.176177,1487.0242599999997,0.0,0.0,476.1266450000002,0.0
