N,cohort,comparison,delta_detection_s,delta_failed_clear_s,delta_movement_s,delta_s_per_source,delta_switch_s,delta_total_s,directional_count,family,id,strict_mixed
15,development,B-A,0,0,0.0,0.0,0,0.0,15,practice-gen-v1,24,False
15,development,C-B,140,0,-824.7863916171016,-43.252426199999945,36,-648.7863930000003,15,practice-gen-v1,24,False
15,development,C-A,140,0,-824.7863916171016,-43.252426199999945,36,-648.7863930000003,15,practice-gen-v1,24,False
13,development,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,25,True
13,development,C-B,-805,0,-1191.546076705151,-165.349698,-153,-2149.546074,10,practice-gen-v1,25,True
13,development,C-A,-805,0,-1191.546076705151,-165.349698,-153,-2149.546074,10,practice-gen-v1,25,True
15,development,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,26,True
15,development,C-B,-355,0,-676.9049326495181,-73.19366220000006,-66,-1097.9049329999998,5,practice-gen-v1,26,True
15,development,C-A,-355,0,-676.9049326495181,-73.19366220000006,-66,-1097.9049329999998,5,practice-gen-v1,26,True
13,development,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,27,True
13,development,C-B,-475,0,-1194.1331733847612,-135.39485961538458,-91,-1760.133174999999,5,practice-gen-v1,27,True
13,development,C-A,-475,0,-1194.1331733847612,-135.39485961538458,-91,-1760.133174999999,5,practice-gen-v1,27,True
10,development,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,28,True
10,development,C-B,-315,0,-1086.5843597176813,-146.0584358000001,-59,-1460.584358,4,practice-gen-v1,28,True
10,development,C-A,-315,0,-1086.5843597176813,-146.0584358000001,-59,-1460.584358,4,practice-gen-v1,28,True
15,development,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,29,True
15,development,C-B,-190,0,-937.6750707466279,-77.64500493333344,-37,-1164.6750740000007,7,practice-gen-v1,29,True
15,development,C-A,-190,0,-937.6750707466279,-77.64500493333344,-37,-1164.6750740000007,7,practice-gen-v1,29,True
13,development,B-A,0,0,0.0,0.0,0,0.0,1,practice-gen-v1,30,True
13,development,C-B,-70,0,-659.8380670838771,-56.98754369230778,-11,-740.8380680000009,1,practice-gen-v1,30,True
13,development,C-A,-70,0,-659.8380670838771,-56.98754369230778,-11,-740.8380680000009,1,practice-gen-v1,30,True
14,development,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,31,True
14,development,C-B,-210,0,-615.06146858094,-61.14724757142858,-31,-856.061466000001,5,practice-gen-v1,31,True
14,development,C-A,-210,0,-615.06146858094,-61.14724757142858,-31,-856.061466000001,5,practice-gen-v1,31,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,32,True
12,evaluation,C-B,-245,0,-1406.9271361402018,-141.07726158333332,-41,-1692.9271389999994,5,practice-gen-v1,32,True
12,evaluation,C-A,-245,0,-1406.9271361402018,-141.07726158333332,-41,-1692.9271389999994,5,practice-gen-v1,32,True
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,33,True
14,evaluation,C-B,-305,0,-1004.9166343577242,-97.56547407142853,-56,-1365.9166370000003,7,practice-gen-v1,33,True
14,evaluation,C-A,-305,0,-1004.9166343577242,-97.56547407142853,-56,-1365.9166370000003,7,practice-gen-v1,33,True
16,evaluation,B-A,-60,0,-446.4487440605997,-32.27804650000007,-10,-516.4487440000012,14,practice-gen-v1,34,True
16,evaluation,C-B,75,0,-835.569357490589,-46.22308499999997,21,-739.5693599999995,14,practice-gen-v1,34,True
16,evaluation,C-A,15,0,-1282.0181015511887,-78.50113150000004,11,-1256.0181040000007,14,practice-gen-v1,34,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,15,practice-gen-v1,35,False
15,evaluation,C-B,-50,0,-976.766375295131,-68.38442499999996,1,-1025.766375000001,15,practice-gen-v1,35,False
15,evaluation,C-A,-50,0,-976.766375295131,-68.38442499999996,1,-1025.766375000001,15,practice-gen-v1,35,False
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,36,True
14,evaluation,C-B,-455,0,-1279.3458117332289,-129.81041500000003,-83,-1817.3458100000007,2,practice-gen-v1,36,True
14,evaluation,C-A,-455,0,-1279.3458117332289,-129.81041500000003,-83,-1817.3458100000007,2,practice-gen-v1,36,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,6,practice-gen-v1,37,True
15,evaluation,C-B,-335,0,-1317.471607392731,-114.09810733333336,-59,-1711.4716100000005,6,practice-gen-v1,37,True
15,evaluation,C-A,-335,0,-1317.471607392731,-114.09810733333336,-59,-1711.4716100000005,6,practice-gen-v1,37,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,38,True
12,evaluation,C-B,-800,0,-612.1690364449503,-130.93075308333346,-159,-1571.1690370000015,11,practice-gen-v1,38,True
12,evaluation,C-A,-800,0,-612.1690364449503,-130.93075308333346,-159,-1571.1690370000015,11,practice-gen-v1,38,True
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,39,False
11,evaluation,C-B,-555,0,-883.4375548567375,-139.8579594545455,-100,-1538.437554,11,practice-gen-v1,39,False
11,evaluation,C-A,-555,0,-883.4375548567375,-139.8579594545455,-100,-1538.437554,11,practice-gen-v1,39,False
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,12,practice-gen-v1,40,False
12,evaluation,C-B,-260,0,-1189.1988615779221,-124.26657133333333,-42,-1491.198856000001,12,practice-gen-v1,40,False
12,evaluation,C-A,-260,0,-1189.1988615779221,-124.26657133333333,-42,-1491.198856000001,12,practice-gen-v1,40,False
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,12,practice-gen-v1,41,True
14,evaluation,C-B,-340,0,-1585.845477442805,-141.91753385714287,-61,-1986.8454740000016,12,practice-gen-v1,41,True
14,evaluation,C-A,-340,0,-1585.845477442805,-141.91753385714287,-61,-1986.8454740000016,12,practice-gen-v1,41,True
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,42,True
11,evaluation,C-B,-565,0,-844.1340282611367,-137.73945709090913,-106,-1515.1340280000004,4,practice-gen-v1,42,True
11,evaluation,C-A,-565,0,-844.1340282611367,-137.73945709090913,-106,-1515.1340280000004,4,practice-gen-v1,42,True
