index,x,y,D_old_m,J_old_m,T_s,continuous_LB_m,continuous_UB_m,gap_m,J_LB_m,J_UB_m,converged,splits,coarse_max_outer_D_m,fine_max_outer_D_m,fine_minus_coarse_m,coarse_scenarios,fine_scenarios,coarse_near_scenarios,fine_near_scenarios,near_boundary_scenarios,near_boundary_near_scenarios,near_boundary_max_outer_D_m,near_outer_upper_m,all_branch_outer_upper_m,R_at_sampled_D_argmax_m,sampled_D_argmax_report_deg,clip_max_residual_m,calipers_max_difference_m,nesting_residual_m,cached_wedge_evaluations,wedge_evaluations,near_disk_intersections,posterior_evaluations,runtime_s
84,426.2177826491071,661.7691453623979,168.84068724440237,201.32655709104947,162.42934923323543,168.8391686111473,168.8478157237394,0.008647112592086614,201.3250384577944,201.33368557038648,True,40,168.75612894398245,168.75612894398245,0.0,765,5049,0,0,0,0,0.0,0.0,168.8478157237394,84.41958431557376,3.2177734375,3.410605131648481e-13,0.0,0.0,4260,4276,1,4277,0.4017027999943821
85,406.2177826491071,696.4101615137754,157.9552899261546,191.2043209193488,166.24515496597098,157.9551116207952,157.9643411902696,0.009229569474399568,191.2041426139894,191.2133721834638,True,47,157.728756015499,157.85796204908385,0.1292060335848646,765,5049,0,0,0,0,0.0,0.0,157.9643411902696,78.97755582039771,0.9405517578125,3.126388037344441e-13,0.0,0.0,4227,4243,1,4244,0.44026790000498295
86,386.2177826491071,731.051177665153,149.0610403739998,183.1330829477508,170.3602128687551,149.0594531468769,149.06866800692583,0.00921486004892813,183.13149572062792,183.14071058067685,True,52,148.85253940185967,148.93364647209737,0.08110707023769237,765,5049,0,0,0,0,0.0,0.0,149.06866800692583,74.52972658343856,358.7554931640625,3.126388037344441e-13,0.0,0.0,4246,4262,1,4263,0.4168058000068413
87,366.2177826491071,765.6921938165306,141.7134253801495,176.6639776584262,174.75276139138356,141.712801977743,141.7197124062879,0.00691042854489865,176.66335425601972,176.67026468456461,True,54,141.61335406342712,141.61335406342712,0.0,765,5049,0,0,0,0,0.0,0.0,141.7197124062879,70.8564009988715,356.663818359375,3.1008464891821405e-13,0.0,0.0,4096,4112,1,4113,0.4448036999965552
88,346.21778264910716,800.333209967908,135.58917953103705,171.46954650158366,179.40183485273312,135.58843571723855,135.59507636722583,0.006640649987275538,171.46880268778517,171.47544333777245,True,54,135.42981926127013,135.5611345824441,0.13131532117398592,765,5049,0,0,0,0,0.0,0.0,135.59507636722583,67.79421786861927,354.6641540527344,3.410605131648481e-13,0.0,0.0,4331,4347,1,4348,0.45425710000563413
89,326.21778264910716,834.9742261192856,130.44777715039368,167.30527288001764,184.28747864811976,130.4471767092411,130.4563890632704,0.00921235402930165,167.30467243886505,167.31388479289436,True,62,130.23328066529595,130.41356897485798,0.18028830956203024,765,5049,0,0,0,0,0.0,0.0,130.4563890632704,65.22358836462054,352.7555847167969,3.979039320256561e-13,0.0,0.0,4436,4452,1,4453,0.4178844999987632
90,949.5190528383289,-144.61524227066326,119.5371725761822,158.9559180007793,197.09372712298543,119.53683178449663,119.54672675754279,0.009894973046158384,158.95557720909372,158.96547218213988,True,65,119.41256693175285,119.51184992435141,0.09928299259856033,765,5049,0,0,0,0,0.0,0.0,119.54672675754279,59.76841590224838,70.81497192382812,3.979039320256561e-13,0.6459250652915784,1.4210854715202004e-13,4275,4291,1,4292,0.40408380000735633
91,929.5190528383289,-109.97422611928573,123.42349893339716,161.86358440338506,192.20042734993956,123.42337139305539,123.43147988381173,0.008108490756342235,161.8634568630433,161.87156535379964,True,61,123.1966656093058,123.41047146383195,0.2138058545261572,765,5049,0,0,0,0,0.0,0.0,123.43147988381173,61.71168570652781,68.96759033203125,4.121147867408581e-13,0.6205950616723186,3.268496584496461e-13,4307,4323,1,4324,0.45258679999096785
92,909.5190528383289,-75.3332099679082,128.04848782125555,165.5538298960807,187.52671037412577,128.04670226652496,128.05555314405137,0.008850877526413115,165.55204434135013,165.56089521887654,True,58,127.8878664626369,127.8878664626369,0.0,765,5049,0,0,0,0,0.0,0.0,128.05555314405137,64.02335114326257,67.022705078125,4.121147867408581e-13,0.5924532282011228,3.126388037344441e-13,4463,4479,1,4480,0.4578174000052968
93,889.519052838329,-40.69219381653062,133.58242487609698,170.20039786727096,183.08986495586996,133.58190633460694,133.59159579346428,0.00968945885733774,170.19987932578093,170.20956878463826,True,57,133.45276901439416,133.4944344510039,0.04166543660974753,765,5049,0,0,0,0,0.0,0.0,133.59159579346428,66.79095317730354,64.97634887695312,3.979039320256561e-13,0.5613484600018808,4.547473508864641e-13,4281,4297,1,4298,0.39569639999535866
94,869.519052838329,-6.051177665153091,140.25021562773492,176.0318199610603,178.90802166662698,140.24948146379828,140.25884412611845,0.009362662320171466,176.03108579712367,176.04044845944384,True,52,140.22691443342433,140.22691443342433,0.0,765,5049,0,0,0,0,0.0,0.0,140.25884412611845,70.12474074189913,62.82684326171875,3.979039320256561e-13,0.5271474551838367,4.263256414560601e-13,4301,4317,1,4318,0.43369400000665337
95,849.519052838329,28.589838486224437,148.35476958246795,183.35476958246795,175.0,148.35302286620598,148.3613623091084,0.008339442902411065,183.35302286620598,183.3613623091084,True,45,148.304844102576,148.304844102576,0.0,765,5049,0,0,0,0,0.0,0.0,148.3613623091084,74.17651144310305,60.572509765625,4.263256414560601e-13,0.4897431729394839,3.410605131648481e-13,4363,4379,1,4380,0.4468903000088176
96,829.519052838329,63.23085463760202,158.3135157587749,192.59053485604383,171.38509548634457,158.31320666611396,158.32113602226792,0.007929356153965728,192.59022576338288,192.59815511953684,True,43,158.0574952987107,158.24397748642602,0.18648218771531333,765,5049,0,0,0,0,0.0,0.0,158.32113602226792,79.15660334305697,58.21258544921875,3.410605131648481e-13,0.44906454225889547,3.410605131648481e-13,4404,4420,1,4421,0.45543450000695884
