mode,level,x,y,parent,reason
M1,0,286.60254037844385,-296.4101615137755,coarse_grid,float_prefilter
M1,0,266.60254037844385,-261.7691453623979,coarse_grid,float_prefilter
M1,0,246.60254037844385,-227.1281292110204,coarse_grid,float_prefilter
M1,0,226.60254037844385,-192.48711305964284,coarse_grid,float_prefilter
M1,0,206.60254037844385,-157.84609690826528,coarse_grid,float_prefilter
M1,0,186.60254037844385,-123.20508075688775,coarse_grid,float_prefilter
M1,0,166.60254037844385,-88.5640646055102,coarse_grid,float_prefilter
M1,0,146.60254037844388,-53.92304845413265,coarse_grid,float_prefilter
M1,0,126.60254037844388,-19.282032302755105,coarse_grid,float_prefilter
M1,0,106.60254037844388,15.358983848622444,coarse_grid,float_prefilter
M1,0,86.60254037844388,49.99999999999999,coarse_grid,float_prefilter
M1,0,66.60254037844388,84.64101615137754,coarse_grid,float_prefilter
M1,0,46.602540378443884,119.28203230275508,coarse_grid,float_prefilter
M1,0,26.602540378443884,153.92304845413264,coarse_grid,float_prefilter
M1,0,6.602540378443891,188.5640646055102,coarse_grid,float_prefilter
M1,0,-13.39745962155611,223.20508075688775,coarse_grid,float_prefilter
M1,0,-33.39745962155611,257.8460969082653,coarse_grid,float_prefilter
M1,0,-53.397459621556095,292.4871130596428,coarse_grid,float_prefilter
M1,0,-73.3974596215561,327.1281292110204,coarse_grid,float_prefilter
M1,0,-93.3974596215561,361.7691453623979,coarse_grid,float_prefilter
M1,0,-113.3974596215561,396.4101615137755,coarse_grid,float_prefilter
M1,0,-133.3974596215561,431.05117766515303,coarse_grid,float_prefilter
M1,0,-153.3974596215561,465.69219381653056,coarse_grid,float_prefilter
M1,0,-173.39745962155607,500.33320996790815,coarse_grid,float_prefilter
M1,0,-193.39745962155607,534.9742261192856,coarse_grid,float_prefilter
M1,0,-213.39745962155607,569.6152422706632,coarse_grid,float_prefilter
M1,0,-233.39745962155607,604.2562584220408,coarse_grid,float_prefilter
M1,0,-253.39745962155607,638.8972745734184,coarse_grid,float_prefilter
M1,0,-273.3974596215561,673.5382907247958,coarse_grid,float_prefilter
M1,0,-293.3974596215561,708.1793068761734,coarse_grid,float_prefilter
M1,0,-313.3974596215561,742.820323027551,coarse_grid,float_prefilter
M1,0,-333.3974596215561,777.4613391789285,coarse_grid,float_prefilter
M1,0,-353.3974596215561,812.1023553303061,coarse_grid,float_prefilter
M1,0,-373.3974596215561,846.7433714816837,coarse_grid,float_prefilter
M1,0,-393.3974596215561,881.3843876330611,coarse_grid,float_prefilter
M1,0,-413.3974596215561,916.0254037844387,coarse_grid,float_prefilter
M1,0,629.9038105676657,-791.0254037844387,coarse_grid,float_prefilter
M1,0,609.9038105676657,-756.3843876330611,coarse_grid,float_prefilter
M1,0,589.9038105676657,-721.7433714816837,coarse_grid,float_prefilter
M1,0,569.9038105676657,-687.1023553303061,coarse_grid,float_prefilter
M1,0,549.9038105676657,-652.4613391789285,coarse_grid,float_prefilter
M1,0,529.9038105676657,-617.820323027551,coarse_grid,float_prefilter
M1,0,509.90381056766574,-583.1793068761734,coarse_grid,float_prefilter
M1,0,489.90381056766574,-548.5382907247958,coarse_grid,float_prefilter
M1,0,469.90381056766574,-513.8972745734184,coarse_grid,float_prefilter
M1,0,449.90381056766574,-479.2562584220408,coarse_grid,float_prefilter
M1,0,429.90381056766574,-444.6152422706632,coarse_grid,float_prefilter
M1,0,409.90381056766574,-409.9742261192857,coarse_grid,float_prefilter
M1,0,389.90381056766574,-375.33320996790815,coarse_grid,float_prefilter
M1,0,369.9038105676658,-340.69219381653056,coarse_grid,float_prefilter
M1,0,349.9038105676658,-306.05117766515303,coarse_grid,float_prefilter
M1,0,329.9038105676658,-271.4101615137755,coarse_grid,float_prefilter
M1,0,309.9038105676658,-236.76914536239792,coarse_grid,float_prefilter
M1,0,289.9038105676658,-202.1281292110204,coarse_grid,float_prefilter
M1,0,269.9038105676658,-167.48711305964287,coarse_grid,float_prefilter
M1,0,249.9038105676658,-132.84609690826528,coarse_grid,float_prefilter
M1,0,229.9038105676658,-98.20508075688777,coarse_grid,float_prefilter
M1,0,209.9038105676658,-63.56406460551021,coarse_grid,float_prefilter
M1,0,189.9038105676658,-28.923048454132655,coarse_grid,float_prefilter
M1,0,169.9038105676658,5.717967697244887,coarse_grid,float_prefilter
M1,0,149.9038105676658,40.35898384862244,coarse_grid,float_prefilter
M1,0,129.9038105676658,74.99999999999999,coarse_grid,float_prefilter
M1,0,109.9038105676658,109.64101615137753,coarse_grid,float_prefilter
M1,0,89.9038105676658,144.28203230275508,coarse_grid,float_prefilter
M1,0,69.9038105676658,178.92304845413264,coarse_grid,float_prefilter
M1,0,49.903810567665815,213.56406460551017,coarse_grid,float_prefilter
M1,0,29.903810567665815,248.20508075688775,coarse_grid,float_prefilter
M1,0,9.903810567665815,282.8460969082653,coarse_grid,float_prefilter
M1,0,-10.096189432334171,317.4871130596428,coarse_grid,float_prefilter
M1,0,-30.09618943233417,352.1281292110204,coarse_grid,float_prefilter
M1,0,-50.09618943233417,386.7691453623979,coarse_grid,float_prefilter
M1,0,-70.09618943233417,421.4101615137755,coarse_grid,float_prefilter
M1,0,-90.09618943233417,456.05117766515303,coarse_grid,float_prefilter
M1,0,-110.09618943233417,490.69219381653056,coarse_grid,float_prefilter
M1,0,-130.09618943233414,525.3332099679081,coarse_grid,float_prefilter
M1,0,-150.09618943233414,559.9742261192856,coarse_grid,float_prefilter
M1,0,-170.09618943233414,594.6152422706632,coarse_grid,float_prefilter
M1,0,-190.09618943233414,629.2562584220408,coarse_grid,float_prefilter
M1,0,-210.09618943233414,663.8972745734184,coarse_grid,float_prefilter
M1,0,-230.09618943233414,698.5382907247958,coarse_grid,float_prefilter
M1,0,-250.09618943233414,733.1793068761734,coarse_grid,float_prefilter
M1,0,-270.09618943233414,767.820323027551,coarse_grid,float_prefilter
M1,0,-290.09618943233414,802.4613391789285,coarse_grid,float_prefilter
M1,0,-310.09618943233414,837.1023553303061,coarse_grid,float_prefilter
M1,0,-330.09618943233414,871.7433714816837,coarse_grid,float_prefilter
M1,0,-350.09618943233414,906.3843876330611,coarse_grid,float_prefilter
M1,0,-370.09618943233414,941.0254037844387,coarse_grid,float_prefilter
M1,0,673.2050807568877,-766.0254037844387,coarse_grid,float_prefilter
M1,0,653.2050807568877,-731.3843876330611,coarse_grid,float_prefilter
M1,0,633.2050807568877,-696.7433714816837,coarse_grid,float_prefilter
M1,0,613.2050807568877,-662.1023553303061,coarse_grid,float_prefilter
M1,0,593.2050807568877,-627.4613391789285,coarse_grid,float_prefilter
M1,0,573.2050807568877,-592.820323027551,coarse_grid,float_prefilter
M1,0,553.2050807568877,-558.1793068761734,coarse_grid,float_prefilter
M1,0,533.2050807568877,-523.5382907247958,coarse_grid,float_prefilter
M1,0,513.2050807568877,-488.8972745734184,coarse_grid,float_prefilter
M1,0,493.2050807568877,-454.2562584220408,coarse_grid,float_prefilter
M1,0,473.2050807568877,-419.6152422706632,coarse_grid,float_prefilter
M1,0,453.2050807568877,-384.9742261192857,coarse_grid,float_prefilter
M1,0,433.2050807568877,-350.33320996790815,coarse_grid,float_prefilter
M1,0,413.2050807568877,-315.69219381653056,coarse_grid,float_prefilter
M1,0,393.2050807568877,-281.05117766515303,coarse_grid,float_prefilter
