mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ed0810159b7ccp+9,-0x1.2dfbb834a2a7dp+6",986.0629908570495,-75.49581987612505,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",420,True,True,True,108840476788509720350982156327671/4951760157141521099596496896,11.051143508058885,114.29414657334353,114.30306351722841,0.008916943884884176,202.78977129838822,154.85210083302115,154.86101777690607,False,0.0,0.031220099990605377,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.d77d1725fc284p+8,0x1.b21d827ea01b7p+9",471.4886344662302,868.2305448800824,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",422,True,True,True,1847175866095323952100669389355/77371252455336267181195264,12.00920475259727,114.38139500766596,114.39093964173166,0.009544634065704827,202.59815904948056,154.90102681756207,154.9105714516278,False,0.0,0.03054859999974724,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ee31167e3714bp+9,-0x1.3c1ed69aaf10ap+5",988.3834989327382,-39.515057762591894,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",423,True,True,True,106644173109282175526411217800359/4951760157141521099596496896,10.826920729995209,114.3411758511068,114.35056774962537,0.009391898518572361,202.83461585400096,154.908099021907,154.91749092042556,False,0.0,0.047672699991380796,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bc8617f9b0f06p+8,0x1.b823f8eae333ap+9",444.5238033349018,880.2810338601478,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",427,True,True,True,2128010393078770749600746596819/77371252455336267181195264,13.847825989712078,114.47963559167835,114.48891819918421,0.009282607505866736,202.23043480205757,154.92572255208987,154.93500515959573,False,0.0,0.042136699994443916,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.7bf43558a1e7bp+8,0x1.c916f59bc31a7p+9",379.9539389987255,914.1793703749325,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",429,True,True,True,6162181724074041964527615837475/309485009821345068724781056,10.005597500796284,114.3330704565436,114.34266300414983,0.00959254760623196,202.99888049984074,154.93284655651175,154.94243910411797,False,0.0,0.02658309999969788,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ec1bbe152965bp+9,-0x1.6848d821d2164p+6",984.2167383625159,-90.07113697857636,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",441,True,True,True,7181476542997634523178094346155/309485009821345068724781056,11.67040022593551,114.46002643863467,114.46742529179235,0.0073988531576816285,202.6659199548129,154.99321042959724,155.00060928275494,False,0.0,0.01842130000295583,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.8e9d3bc13d7fbp+8,0x1.c2edef3327827p+9",398.61419303656993,901.8588622992437,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",446,True,True,True,8590473710705671650353957050403/309485009821345068724781056,13.976327668609201,114.6732054391522,114.68161673164306,0.008411292490862365,202.20473446627815,155.11415233240783,155.1225636248987,False,0.0,0.02534439999726601,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.eaf2b7ac8dcdcp+9,-0x1.f83525091d35cp+6",981.8962302868272,-126.05189909210952,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",450,True,True,True,6186825601793640027905365442351/309485009821345068724781056,10.045815041822607,114.58339843473598,114.59299164851127,0.009593213775289655,202.9908369916355,155.18156583306308,155.19115904683838,False,0.0,0.037774099997477606,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ec5c9349e948bp+9,-0x1.a96709df8bd04p+5",984.7232448948938,-53.175311800436276,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",456,True,True,True,34034087796126825982733103847919/1237940039285380274899124224,13.84205990044245,114.77727991031813,114.78586402964599,0.00858411932786396,202.2315880199115,155.22359751430042,155.2321816336283,False,0.0,0.049331700007314794,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f7cf23f733583p+8,0x1.aa1ff8e1b6b78p+9",503.809142541919,852.2497827665493,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",458,True,True,True,6142242423572319014482398961143/309485009821345068724781056,9.973058783522788,114.6484812914168,114.65709777868913,0.008616487272334439,203.00538824329544,155.2495589400759,155.25817542734822,False,0.0,0.03623440000228584,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.aedd119115586p+8,0x1.b9f87c1f30ffap+9",430.8635492970574,883.9412878979922,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",463,True,True,True,2553591875671503664400441356115/77371252455336267181195264,16.64065644159416,114.92401428532229,114.93369574392258,0.009681458600297788,201.67186871168116,155.25838802765853,155.2680694862588,False,0.0,0.05488720000721514,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ea473ae0db99bp+9,-0x1.9eecf1c440762p+6",980.5564843246715,-103.73139101642076,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",470,True,True,True,34351325266846073087333523530255/1237940039285380274899124224,13.97199814946373,114.9334269773841,114.94323437307597,0.009807395691865395,202.20560037010725,155.37454705140556,155.38435444709742,False,0.0,0.023280300010810606,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ea261d8e97c04p+8,0x1.abf47c1604837p+9",490.14888850407465,855.9100368043936,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",477,True,True,True,2102337551600573543988603784235/77371252455336267181195264,13.679603777617217,115.03328333080414,115.04286507629,0.009581745485860438,202.26407924447656,155.48609917969947,155.4956809251853,False,0.0,0.027082600005087443,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.80f43558a1e7bp+8,0x1.c4c27267754e7p+9",384.9539389987255,905.5191163370881,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",479,True,True,True,9855734218659904499010380582691/309485009821345068724781056,16.051624726919158,115.15342370297711,115.1634063473731,0.009982644395989837,201.78967505461617,155.51135871390034,155.52134135829633,False,0.0,0.0474644000059925,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ea8810159b7ccp+9,-0x1.0b579e923447fp+6",981.0629908570495,-66.83556583828066,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",484,True,True,True,163647825196874717769386260669695/4951760157141521099596496896,16.663035938187477,115.21913508426418,115.22718373644165,0.008048652177464533,201.6673928123625,155.5526136467367,155.56066229891414,False,0.0,0.02797880000434816,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c18617f9b0f06p+8,0x1.b3cf75b69567bp+9",449.5238033349018,871.6207798223035,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",489,True,True,True,1478006262235403424129096669679/38685626227668133590597632,19.28881234957055,115.45574771974393,115.46502355575343,0.009275836009507543,201.14223753008588,155.6841952257611,155.6934710617706,False,0.0,0.03482850000727922,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc7d1725fc284p+8,0x1.adc8ff4a524f7p+9",476.4886344662302,859.570290842238,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",491,True,True,True,2638165996325922061684512556203/77371252455336267181195264,17.19660985825726,115.42550025894029,115.43485551104772,0.009355252107425827,201.56067802834855,155.73763586461,155.74699111671742,False,0.0,0.03601370000978932,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.939d3bc13d7fbp+8,0x1.be996bfed9b68p+9",403.61419303656993,893.1986082613994,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",493,True,True,True,12160232201362932486422582134503/309485009821345068724781056,19.842782702355294,115.54525789481083,115.5536351640264,0.008377269215571914,201.03144345952893,155.75154658671661,155.7599238559322,False,0.0,0.021703200007323176,SAFE
