prior_radius,id,method,top1,top3,mrr,brier,fallback
1800,124,distance,0.30434782608695654,0.6086956521739131,0.502639751552795,,0.0
1800,124,geometry,0.8260869565217391,1.0,0.8913043478260869,0.33978957544342014,0.0
1800,124,uniform,0.611442991186988,0.9368325694313451,0.7726676357464086,0.3127713785198396,0.0
1800,125,R12,0.36,0.52,0.45541414141414144,,0.0
1800,125,belief,0.56,0.56,0.5803809523809523,0.1140782171446879,0.0
1800,125,distance,0.36,0.64,0.49666666666666665,,0.0
1800,125,geometry,0.64,0.68,0.66,0.19291662292634043,0.0
1800,125,uniform,0.31407616471711236,0.5606943829087859,0.4474168417944362,0.19603683196001928,0.0
1800,126,R12,0.32,0.64,0.48,,0.0
1800,126,belief,0.72,0.72,0.72,0.10715297158452812,0.0
1800,126,distance,0.32,0.6,0.4733333333333334,,0.0
1800,126,geometry,0.72,0.72,0.72,0.10962472198241356,0.0
1800,126,uniform,0.5031671446275565,0.6662020732890298,0.5875456086652039,0.11884254241415305,0.0
1800,127,R12,0.28,0.64,0.477047619047619,,0.0
1800,127,belief,0.6,0.76,0.6766666666666667,0.15547941664856027,0.0
1800,127,distance,0.32,0.6,0.48038095238095235,,0.0
1800,127,geometry,0.48,0.76,0.61,0.30071098048318046,0.0
1800,127,uniform,0.37572260189668993,0.6524460356128817,0.5275344806771085,0.3048300306687045,0.0
2000,0,R12,0.32,0.68,0.48333333333333334,,0.0
2000,0,belief,0.64,0.72,0.6666666666666667,0.13442435481101572,0.0
2000,0,distance,0.36,0.56,0.48666666666666664,,0.0
2000,0,geometry,0.64,0.72,0.68,0.24203191035803,0.0
2000,0,uniform,0.34253304235884663,0.5988742795321069,0.480644389144657,0.25719106012931703,0.0
2000,1,R12,0.24,0.52,0.3733333333333333,,0.0
2000,1,belief,0.6,0.6,0.6,0.14285523378675458,0.0
2000,1,distance,0.24,0.28,0.3253333333333333,,0.0
2000,1,geometry,0.12,0.44,0.32,0.3194689075608025,0.0
2000,1,uniform,0.2703928340456002,0.49247273559213256,0.3900854387298608,0.3224710993023491,0.0
2000,2,R12,0.24,0.48,0.3904920634920635,,0.0
2000,2,belief,0.72,0.76,0.74,0.11134369272905245,0.0
2000,2,distance,0.24,0.56,0.4346666666666667,,0.0
2000,2,geometry,0.76,0.76,0.76,0.1653064391563851,0.0
2000,2,uniform,0.6165068542381774,0.7513142762473762,0.6816977860609179,0.16679810281062246,0.0
2000,3,R12,0.2,0.28,0.27266666666666667,,0.0
2000,3,belief,0.48,0.48,0.48,0.09303837609675378,0.0
2000,3,distance,0.2,0.24,0.2546666666666667,,0.0
2000,3,geometry,0.48,0.48,0.48,0.3100990647134083,0.0
2000,3,uniform,0.2827739926620395,0.4420691564683354,0.3627320630950344,0.3162768227771378,0.0
2000,4,R12,0.32,0.6,0.4893333333333334,,0.0
2000,4,belief,0.56,0.64,0.636,0.16479214360373862,0.0
2000,4,distance,0.28,0.52,0.446,,0.0
2000,4,geometry,0.04,0.72,0.37799999999999995,0.19234923057491546,0.0
2000,4,uniform,0.3834848286007527,0.6694738843917334,0.5368560848217435,0.18211938700675712,0.0
2000,5,R12,0.32,0.64,0.49133333333333334,,0.0
2000,5,belief,0.8,0.8,0.8,0.14118104491502817,0.0
2000,5,distance,0.32,0.56,0.4706666666666666,,0.0
2000,5,geometry,0.8,0.8,0.8,0.2593717073679205,0.0
2000,5,uniform,0.5154426594807804,0.7669984595383975,0.6377146285521653,0.2745233332364916,0.0
2000,6,R12,0.24,0.4,0.35871428571428576,,0.0
2000,6,belief,0.6,0.64,0.62,0.12191375636178782,0.0
