arm,metric,delta_per_scene,delta_per_source
B10,active_localization__travel_s,-53.22481842187487,-3.8650008431266563
B10,active_localization__measure_s,-1.8359375,-0.14060191110972362
B10,active_localization__switch_s,-0.1875,-0.011656865270146517
B10,active_localization__clear_s,0.0,0.0
B10,active_localization__total_s,-55.24825592187488,-4.017259619506526
B10,diagnostic__travel_s,50.317581007812535,3.9190461882073033
B10,diagnostic__measure_s,1.0546875,0.07944074155011654
B10,diagnostic__switch_s,0.1328125,0.009388528138528139
B10,diagnostic__clear_s,0.0,0.0
B10,diagnostic__total_s,51.505081007812535,4.007875457895947
B10,optical_fallback__travel_s,-1.491267742187489,-0.2581293903793789
B10,optical_fallback__measure_s,0.0,0.0
B10,optical_fallback__switch_s,0.0,0.0
B10,optical_fallback__clear_s,-1.4140625,-0.14747869318181817
B10,optical_fallback__total_s,-2.905330242187489,-0.4056080835611971
B10,certified_clear__travel_s,10.985367593749942,0.493920454050113
B10,certified_clear__measure_s,0.0,0.0
B10,certified_clear__switch_s,0.0,0.0
B10,certified_clear__clear_s,0.078125,0.00830078125
B10,certified_clear__total_s,11.06349259374994,0.5022212353001131
B10,all__travel_s,227.97995507812502,18.14111500157808
B10,all__measure_s,-28.359375,-2.2352242484078424
B10,all__switch_s,-5.8046875,-0.45376065991300363
B10,all__clear_s,-1.3359375,-0.13917791193181817
B10,last_source_first_seen_s,-7.31152961718746,0.6419601939490551
B10,post_last_seen_discovery_s,151.9308041953124,11.473091536278295
B10,post_all_cleared_discovery_s,-0.2831956484375304,0.14648251028749582
B10,discovery_nodes,0.0234375,0.00146484375
B10,detect_count,-5.671875,-0.44704484968156843
B10,clear_attempts,-0.4453125,-0.046392637310606055
B10,fallback_count,-0.015625,-0.0016601562500000002
B10,diagnostic_count,0.2109375,0.01588814831002331
B10,distance,1139.8997750278754,90.70557498725577
B20,total,202.40364225781246,16.26806960365328
B20,runtime,1.9253802648432838,0.15454469884206504
B20,discovery__travel_s,260.1026599296873,21.09024855483262
B20,discovery__measure_s,-33.75,-2.701151387674825
B20,discovery__switch_s,-6.8984375,-0.5508749713827839
B20,discovery__clear_s,0.0,0.0
B20,discovery__total_s,219.45422242968732,17.838222195775014
B20,active_localization__travel_s,-55.89489875781239,-4.077293752885193
B20,active_localization__measure_s,-0.7421875,-0.05556894277597403
B20,active_localization__switch_s,-0.1640625,-0.011387993516899765
B20,active_localization__clear_s,0.0,0.0
B20,active_localization__total_s,-56.80114875781239,-4.144250689178068
B20,diagnostic__travel_s,40.899514453125015,3.2576576567861837
B20,diagnostic__measure_s,1.0546875,0.08826378699425574
B20,diagnostic__switch_s,0.140625,0.011398529855561106
B20,diagnostic__clear_s,0.0,0.0
B20,diagnostic__total_s,42.094826953125015,3.3573199736359998
B20,optical_fallback__travel_s,0.7175351250000155,-0.11125810011837008
B20,optical_fallback__measure_s,0.0,0.0
B20,optical_fallback__switch_s,0.0,0.0
B20,optical_fallback__clear_s,-1.0859375,-0.1218661221590909
B20,optical_fallback__total_s,-0.3684023749999845,-0.23312422227746096
B20,certified_clear__travel_s,-1.9367934921874914,-0.54996448668857
B20,certified_clear__measure_s,0.0,0.0
B20,certified_clear__switch_s,0.0,0.0
B20,certified_clear__clear_s,-0.0390625,-0.00013316761363636352
B20,certified_clear__total_s,-1.9758559921874914,-0.5500976543022063
B20,all__travel_s,243.88801725781255,19.609389871926677
B20,all__measure_s,-33.4375,-2.6684565434565437
B20,all__switch_s,-6.921875,-0.5508644350441225
B20,all__clear_s,-1.125,-0.12199928977272725
B20,last_source_first_seen_s,90.94106914062499,10.353920399140248
B20,post_last_seen_discovery_s,99.78341142968738,6.145952516303607
B20,post_all_cleared_discovery_s,-3.843654625000056,-0.6518970275858309
B20,discovery_nodes,-0.046875,-0.0029296875
B20,detect_count,-6.6875,-0.5336913086913087
B20,clear_attempts,-0.375,-0.04066642992424242
B20,fallback_count,0.0078125,2.6633522727272574e-05
B20,diagnostic_count,0.2109375,0.017652757398851148
B20,distance,1219.4400856917182,98.04694933070142
