id,arm,N,total,runtime,discovery__travel_s,discovery__measure_s,discovery__switch_s,discovery__clear_s,discovery__total_s,active_localization__travel_s,active_localization__measure_s,active_localization__switch_s,active_localization__clear_s,active_localization__total_s,diagnostic__travel_s,diagnostic__measure_s,diagnostic__switch_s,diagnostic__clear_s,diagnostic__total_s,optical_fallback__travel_s,optical_fallback__measure_s,optical_fallback__switch_s,optical_fallback__clear_s,optical_fallback__total_s,certified_clear__travel_s,certified_clear__measure_s,certified_clear__switch_s,certified_clear__clear_s,certified_clear__total_s,all__travel_s,all__measure_s,all__switch_s,all__clear_s,last_source_first_seen_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,discovery_nodes,detect_count,clear_attempts,fallback_count,diagnostic_count,distance
21,B0,13,7234.706211,3.456414100000984,3178.9912300000005,1595.0,304.0,0.0,5077.9912300000005,1498.443068999999,85.0,11.0,0.0,1594.443068999999,202.66285000000084,15.0,0.0,0.0,217.66285000000084,0.0,0.0,0.0,0.0,0.0,279.6090619999993,0.0,0.0,65.0,344.6090619999993,5159.706211,1695.0,315.0,65.0,6576.894287,485.9086559999996,370.92651299999943,25,339,13,0,3,25798.531061948775
22,B0,14,8320.034101,2.9986982999980683,3384.4628319999997,1810.0,344.0,0.0,5538.462832,600.0837930000012,50.0,6.0,0.0,656.0837930000012,742.8693679999997,20.0,2.0,0.0,764.8693679999997,0.0,0.0,0.0,0.0,0.0,1290.6181079999988,0.0,0.0,70.0,1360.6181079999988,6018.034100999999,1880.0,352.0,70.0,5488.352271,1585.304673999999,693.2623519999988,25,376,14,0,4,30090.17051108703
23,B0,14,6215.335106,2.6841335000062827,3260.883679000001,1065.0,194.0,0.0,4519.8836790000005,622.5662449999996,50.0,7.0,0.0,679.5662449999996,242.1836500000004,5.0,1.0,0.0,248.1836500000004,0.0,0.0,0.0,0.0,0.0,697.7015319999996,0.0,0.0,70.0,767.7015319999996,4823.335106,1120.0,202.0,70.0,1484.825029,3630.185693000001,2556.7294500000003,25,224,14,0,1,24116.675527910327
24,B0,14,6918.723449,2.9449163999961456,2994.2824749999995,1385.0,260.0,0.0,4639.282475,1336.6794020000004,70.0,8.0,0.0,1414.6794020000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.761572,0.0,0.0,70.0,864.761572,5125.723449,1455.0,268.0,70.0,5670.844506,982.5835869999992,441.15658900000017,25,291,14,0,0,25628.617244281188
25,B0,13,6918.186127,2.390362099991762,3144.5348349999986,1400.0,261.0,0.0,4805.5348349999995,1129.608620000001,55.0,6.0,0.0,1190.608620000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.042672,0.0,0.0,65.0,922.042672,5131.186126999999,1455.0,267.0,65.0,5607.511048,695.7923009999986,416.86468799999966,25,291,13,0,0,25655.93064509713
26,B0,14,7148.700933,3.3429803000035463,3293.774174999999,1610.0,304.0,0.0,5207.774175,1132.3197310000005,75.0,11.0,0.0,1218.3197310000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.6070270000006,0.0,0.0,70.0,722.6070270000006,5078.700933000001,1685.0,315.0,70.0,5469.233341,1309.9037769999995,0.0,25,337,14,0,0,25393.50466037232
27,B0,16,6362.618733,4.336775699994178,2200.961658999999,1185.0,227.0,0.0,3612.961658999999,1114.0439399999998,100.0,8.0,0.0,1222.0439399999998,801.775719000002,60.0,6.0,0.0,867.775719000002,106.79684999999972,0.0,0.0,62.0,168.79684999999972,416.04056499999956,0.0,0.0,75.0,491.04056499999956,4639.618733,1345.0,241.0,137.0,4575.882702,0.0,0.0,15,269,35,1,12,23198.09366700677
28,B0,15,8117.031072,3.741969299997436,3441.6795920000004,1815.0,347.0,0.0,5603.679592,1431.7776469999994,65.0,9.0,0.0,1505.7776469999994,335.7044950000004,15.0,2.0,0.0,352.7044950000004,0.0,0.0,0.0,0.0,0.0,579.8693379999993,0.0,0.0,75.0,654.8693379999993,5789.031071999999,1895.0,358.0,75.0,5718.580552,1469.3758210000005,0.0,25,379,15,0,3,28945.155359849745
29,B0,12,6644.190369,3.1662834999879124,3236.601088999999,1420.0,265.0,0.0,4921.601088999999,705.7205460000001,45.0,7.0,0.0,757.7205460000001,301.38736400000016,20.0,2.0,0.0,323.38736400000016,0.0,0.0,0.0,0.0,0.0,581.4813700000008,0.0,0.0,60.0,641.4813700000008,4825.190368999999,1485.0,274.0,60.0,3108.65597,2879.896146999999,2082.3290449999995,25,297,12,0,4,24125.95186308086
30,B0,12,7909.655835,3.923630899997079,3705.6735900000003,1605.0,301.0,0.0,5611.67359,1103.5574800000004,80.0,9.0,0.0,1192.5574800000004,335.0711709999997,20.0,1.0,0.0,356.0711709999997,132.53465800000004,0.0,0.0,23.0,155.53465800000004,538.8189359999994,0.0,0.0,55.0,593.8189359999994,5815.655835,1705.0,311.0,78.0,7261.389145,389.6653319999996,0.0,25,341,18,1,4,29078.279166502554
31,B0,13,7690.329082,3.9921883000060916,4059.623689,1385.0,257.0,0.0,5701.623689,1443.6647170000003,85.0,10.0,0.0,1538.6647170000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.04067599999956,0.0,0.0,65.0,450.04067599999956,5888.329082,1470.0,267.0,65.0,7054.828115,331.9821430000002,0.0,25,294,13,0,0,29441.645425742507
32,B0,15,7260.569175,4.0339366999978665,2850.5033080000003,1240.0,231.0,0.0,4321.503308,1341.842744999999,70.0,8.0,0.0,1419.842744999999,576.4943239999998,25.0,3.0,0.0,604.4943239999998,65.22711900000013,0.0,0.0,41.0,106.22711900000013,738.5016790000002,0.0,0.0,70.0,808.5016790000002,5572.569174999999,1335.0,242.0,111.0,4808.028883,2077.4781510000003,104.5224449999996,25,267,27,1,5,27862.845890771987
33,B0,14,6343.244714,3.507847100001527,3314.7115189999995,1185.0,217.0,0.0,4716.7115189999995,892.6635320000001,70.0,9.0,0.0,971.6635320000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.869663000001,0.0,0.0,70.0,654.869663000001,4792.244714000001,1255.0,226.0,70.0,4007.213918,2186.9475879999995,1400.137678,25,251,14,0,0,23961.22357309034
34,B0,15,7451.135953,3.726000299997395,3079.1235260000003,1535.0,290.0,0.0,4904.123526,1107.3978589999992,55.0,7.0,0.0,1169.3978589999992,262.39434100000017,15.0,1.0,0.0,278.39434100000017,0.0,0.0,0.0,0.0,0.0,1024.2202270000002,0.0,0.0,75.0,1099.2202270000002,5473.135953000001,1605.0,298.0,75.0,3093.514444,2671.4715670000005,0.0,25,321,15,0,3,27365.679765472727
35,B0,14,6886.163528,3.764684900001157,3145.5036329999994,1410.0,263.0,0.0,4818.503632999999,1222.517916,75.0,10.0,0.0,1307.517916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.1419790000007,0.0,0.0,70.0,760.1419790000007,5058.163528,1485.0,273.0,70.0,5855.185873,730.362936999999,639.3807939999997,25,297,14,0,0,25290.817663882288
36,B0,12,7297.775501,3.3369932000059634,3437.220461000001,1575.0,294.0,0.0,5306.220461000001,822.3372749999994,45.0,6.0,0.0,873.3372749999994,299.30948400000034,5.0,0.0,0.0,304.30948400000034,0.0,0.0,0.0,0.0,0.0,753.9082809999993,0.0,0.0,60.0,813.9082809999993,5312.775501,1625.0,300.0,60.0,2672.465727,3641.526255000001,0.0,25,325,12,0,1,26563.877514774635
37,B0,12,6470.275563,3.457107399997767,3289.189468000001,1315.0,244.0,0.0,4848.1894680000005,986.4324729999998,70.0,8.0,0.0,1064.4324729999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.65362199999925,0.0,0.0,60.0,557.6536219999992,4773.275563,1385.0,252.0,60.0,2986.67614,3015.6802390000007,2702.5912160000003,25,277,12,0,0,23866.377826394135
38,B0,10,7496.753666,3.3123994000052335,3933.896678,1770.0,336.0,0.0,6039.896678,544.6680899999998,50.0,4.0,0.0,598.6680899999998,284.44886499999984,10.0,1.0,0.0,295.44886499999984,0.0,0.0,0.0,0.0,0.0,512.7400329999999,0.0,0.0,50.0,562.7400329999999,5275.7536660000005,1830.0,341.0,50.0,6308.79907,1025.6896969999998,414.78310799999963,25,366,10,0,2,26378.768331419295
39,B0,11,7575.915116,3.05699569999706,3847.413231,1605.0,300.0,0.0,5752.413231,370.4934050000003,20.0,3.0,0.0,393.4934050000003,417.353742,15.0,1.0,0.0,433.353742,0.0,0.0,0.0,0.0,0.0,941.654738,0.0,0.0,55.0,996.654738,5576.915116000001,1640.0,304.0,55.0,5402.040102,1599.612529,1265.82964,25,328,11,0,3,27884.575576631767
40,B0,15,7022.746283,3.3357414999918547,2990.521108,1250.0,233.0,0.0,4473.521108,952.2093479999995,55.0,9.0,0.0,1016.2093479999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.015827000001,0.0,0.0,75.0,1533.015827000001,5400.746283,1305.0,242.0,75.0,5683.080295,963.1106100000006,643.1284670000005,25,261,15,0,0,27003.731426397248
41,B0,16,5630.341547,4.120495800001663,2413.3347269999995,985.0,181.0,0.0,3579.3347269999995,832.3922020000002,75.0,11.0,0.0,918.3922020000002,417.17819899999995,20.0,2.0,0.0,439.17819899999995,0.0,0.0,0.0,0.0,0.0,613.4364190000002,0.0,0.0,80.0,693.4364190000002,4276.341547,1080.0,194.0,80.0,4861.822166,0.0,0.0,20,216,16,0,4,21381.707751571794
42,B0,15,6855.949882,3.6980945999966934,3027.711112999999,1305.0,244.0,0.0,4576.7111129999985,1240.1217680000002,75.0,10.0,0.0,1325.1217680000002,174.43711299999995,5.0,1.0,0.0,180.43711299999995,0.0,0.0,0.0,0.0,0.0,698.6798880000008,0.0,0.0,75.0,773.6798880000008,5140.949882,1385.0,255.0,75.0,2352.087034,3356.104503999999,0.0,25,277,15,0,1,25704.74942311674
43,B0,15,6547.862992,3.5033447000023443,3211.8960120000024,1160.0,213.0,0.0,4584.896012000003,1010.9190590000003,75.0,11.0,0.0,1096.9190590000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0479209999976,0.0,0.0,75.0,866.0479209999976,5013.862992,1235.0,224.0,75.0,2779.119496,3170.4065500000024,317.5841610000007,25,247,15,0,0,25069.314964954727
44,B0,12,7113.419353,3.475341400000616,3218.5395160000007,1470.0,276.0,0.0,4964.539516000001,1159.1003629999996,60.0,7.0,0.0,1226.1003629999996,268.6366479999997,10.0,1.0,0.0,279.6366479999997,0.0,0.0,0.0,0.0,0.0,583.142826,0.0,0.0,60.0,643.142826,5229.419353,1540.0,284.0,60.0,2422.526332,3643.511097000001,1642.7195090000005,25,308,12,0,2,26147.096775808117
45,B0,12,7313.24744,3.7815165000065463,3180.0116359999993,1915.0,365.0,0.0,5460.011635999999,1389.8955170000002,85.0,10.0,0.0,1484.8955170000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.34028700000056,0.0,0.0,60.0,368.34028700000056,4878.24744,2000.0,375.0,60.0,7067.784191,42.0,0.0,25,400,12,0,0,24391.237210182968
46,B0,12,7903.592447,3.577343100012513,4034.164259999999,1505.0,282.0,0.0,5821.16426,1266.6485080000002,60.0,8.0,0.0,1334.6485080000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.7796790000008,0.0,0.0,60.0,747.7796790000008,5988.592447000001,1565.0,290.0,60.0,1349.763614,4977.8887589999995,489.6645609999996,25,313,12,0,0,29942.96223035085
47,B0,13,7131.078605,3.4570757999899797,3096.0128749999994,1365.0,256.0,0.0,4717.012874999999,1545.6410410000003,75.0,10.0,0.0,1630.6410410000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.4246889999998,0.0,0.0,65.0,783.4246889999998,5360.078604999999,1440.0,266.0,65.0,2841.13894,3186.759775,1794.6307109999998,25,288,13,0,0,26800.39303151479
48,B0,14,7232.825948,3.5747082000016235,3338.8400849999985,1470.0,277.0,0.0,5085.840084999999,1332.9849880000002,70.0,11.0,0.0,1413.9849880000002,161.48995100000047,5.0,1.0,0.0,167.48995100000047,0.0,0.0,0.0,0.0,0.0,495.51092400000084,0.0,0.0,70.0,565.5109240000008,5328.825948,1545.0,289.0,70.0,6302.193008,685.8223449999996,600.8402019999994,25,309,14,0,1,26644.129738776166
49,B0,13,6694.073942,3.322433599998476,3001.110473,1570.0,296.0,0.0,4867.110473000001,768.826448,35.0,7.0,0.0,810.826448,359.3963440000007,15.0,2.0,0.0,376.3963440000007,0.0,0.0,0.0,0.0,0.0,574.7406769999992,0.0,0.0,65.0,639.7406769999992,4704.073942,1620.0,305.0,65.0,5241.78463,1011.8789889999998,440.7433600000004,25,324,13,0,3,23520.369724328964
50,B0,10,7703.617304,3.4569100000080653,3431.149292,1815.0,344.0,0.0,5590.149292,1005.7849279999994,45.0,7.0,0.0,1057.7849279999994,560.6723520000005,10.0,1.0,0.0,571.6723520000005,0.0,0.0,0.0,0.0,0.0,434.0107320000003,0.0,0.0,50.0,484.0107320000003,5431.617304,1870.0,352.0,50.0,4414.376426,2139.9665350000005,0.0,25,374,10,0,2,27158.08653918969
51,B0,10,6861.110545,2.9911444000026677,3575.985998,1645.0,310.0,0.0,5530.985998,813.8633749999997,40.0,6.0,0.0,859.8633749999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.26117199999953,0.0,0.0,50.0,470.26117199999953,4810.110545,1685.0,316.0,50.0,6419.051464,362.3047749999996,205.32263199999943,25,337,10,0,0,24050.552735110014
52,B0,12,7129.025208,3.656139400001848,3160.926583,1415.0,266.0,0.0,4841.926583,1245.6145550000003,75.0,7.0,0.0,1327.6145550000003,352.050213,10.0,1.0,0.0,363.050213,0.0,0.0,0.0,0.0,0.0,536.4338569999998,0.0,0.0,60.0,596.4338569999998,5295.025208000001,1500.0,274.0,60.0,4235.448336,2657.627598,1724.9801230000003,25,300,12,0,2,26475.126059172573
53,B0,16,6440.442707,3.6288065999979153,2566.6102450000008,1170.0,218.0,0.0,3954.610245000001,937.5918470000006,65.0,8.0,0.0,1010.5918470000006,293.77597400000013,5.0,1.0,0.0,299.77597400000013,0.0,0.0,0.0,0.0,0.0,1095.4646409999984,0.0,0.0,80.0,1175.4646409999984,4893.442707,1240.0,227.0,80.0,6189.430802,0.0,0.0,21,248,16,0,1,24467.21354255163
54,B0,12,7200.772143,3.56529589999991,3271.8685770000006,1735.0,331.0,0.0,5337.868577,1177.036521000001,75.0,10.0,0.0,1262.036521000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.8670449999988,0.0,0.0,60.0,600.8670449999988,4989.772143,1810.0,341.0,60.0,6990.2147,96.98214299999927,0.0,25,362,12,0,0,24948.860716514348
55,B0,15,6777.535915,3.9440173000039067,2944.288246000002,1490.0,283.0,0.0,4717.288246000002,1655.353134999999,95.0,14.0,0.0,1764.353134999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.89453399999968,0.0,0.0,75.0,295.8945339999997,4820.535915000001,1585.0,297.0,75.0,6392.602535,155.18730600000072,131.18730600000072,25,317,15,0,0,24102.679587927494
56,B0,11,7012.332644,3.4947835999919334,3347.304621000001,1705.0,322.0,0.0,5374.304621000001,665.3514050000001,45.0,6.0,0.0,716.3514050000001,182.60523599999942,10.0,1.0,0.0,193.60523599999942,0.0,0.0,0.0,0.0,0.0,673.0713819999994,0.0,0.0,55.0,728.0713819999994,4868.332644,1760.0,329.0,55.0,4203.594799,1919.0296420000004,660.764674,25,352,11,0,2,24341.663223193784
57,B0,14,6819.648209,3.8663157999981195,3492.080337000002,1475.0,277.0,0.0,5244.080337000001,1010.5931169999989,75.0,12.0,0.0,1097.593116999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.97475499999905,0.0,0.0,70.0,477.97475499999905,4910.648209,1550.0,289.0,70.0,6290.617086,410.89044100000046,289.9082980000003,25,310,14,0,0,24553.24105896434
58,B0,12,6605.300678,3.1563620999950217,3397.540463,1465.0,274.0,0.0,5136.540462999999,899.9829669999995,45.0,7.0,0.0,951.9829669999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.77724800000027,0.0,0.0,60.0,516.7772480000003,4754.300678,1510.0,281.0,60.0,6371.439918,114.98214300000018,0.0,25,302,12,0,0,23771.503397116874
59,B0,16,7402.332379,4.060234800010221,2921.137343999999,1380.0,259.0,0.0,4560.137343999999,1898.7515780000015,95.0,13.0,0.0,2006.7515780000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.4434569999999,0.0,0.0,80.0,835.4434569999999,5575.3323789999995,1475.0,272.0,80.0,6631.533028,0.0,0.0,23,295,16,0,0,27876.661924001422
60,B0,15,6180.33669,3.8041630999941844,3007.958383,1070.0,195.0,0.0,4272.958382999999,962.5645960000002,80.0,9.0,0.0,1051.5645960000002,20.223748000000114,5.0,0.0,0.0,25.223748000000114,0.0,0.0,0.0,0.0,0.0,755.5899629999999,0.0,0.0,75.0,830.5899629999999,4746.33669,1155.0,204.0,75.0,2193.013595,3525.58963,151.59065999999984,25,231,15,0,1,23731.68346784674
