seed,baseline,delta_diameter_m,delta_time_s
43,random_safe,0.0,0.0
44,random_safe,43.138945810772384,70.54536513450772
45,random_safe,53.05105130292764,29.8472267721005
46,random_safe,0.0,0.0
47,random_safe,-268.573434900679,-36.352962485683804
48,random_safe,-26.075211292188996,-11.738118335227142
49,random_safe,13.249550181217721,21.7437497180768
50,random_safe,-24.862847625003802,32.039677160049905
51,random_safe,0.0,0.0
52,random_safe,0.0,0.0
53,random_safe,69.32368068662383,69.88972110608836
54,random_safe,0.0,0.0
55,random_safe,-29.627142493536162,20.366134548451157
56,random_safe,8.120121065186659,45.57232674651033
57,random_safe,-8.64620066444624,45.26837162590277
58,random_safe,-32.751172368606206,-11.79289380333671
59,random_safe,-2.794803768090226,9.68316401390021
60,random_safe,-686.8053668830773,30.85816763957672
61,random_safe,0.30749233781082097,-2.759374158824073
62,random_safe,-105.40312213576993,70.63464855735558
63,random_safe,0.0,0.0
64,random_safe,6.712526921119444,54.00574012678001
65,random_safe,19.622147450182744,28.06427856833494
66,random_safe,-22.728389404658117,11.618286912058323
67,random_safe,-37.52790283268345,40.03469718949202
68,random_safe,9.650170677333989,11.618286912058494
69,random_safe,-48.9722818052081,34.733891642392564
70,random_safe,-36.35549101550423,17.708563423798836
71,random_safe,36.38018764659961,56.8338971604492
72,random_safe,-89.27004079190098,48.71060010595443
73,random_safe,0.0,0.0
74,random_safe,-15.187272752346821,31.243420096538358
75,random_safe,42.86709639416888,61.51168450156891
76,random_safe,-208.130861687075,19.167204607563264
77,random_safe,-271.207554658613,75.81245755403145
78,random_safe,-24.104804576255503,30.21085808955408
79,random_safe,22.550592732601128,49.864048053251594
80,random_safe,-711.3639246002715,34.21153069416371
81,random_safe,-95.20106796222359,67.92883989266022
82,random_safe,0.0,0.0
83,random_safe,-74.71782596064958,44.644806251251
84,random_safe,-2.3435507511149183,25.5027124963255
85,random_safe,23.365759491447847,25.622521768958677
86,random_safe,13.583727654503654,19.388663821590256
87,random_safe,-30.374900277120133,-11.618286912058494
88,random_safe,-9.658515495223114,53.60278880135607
89,random_safe,0.0,0.0
90,random_safe,-43.863333819259,56.67606179220533
91,random_safe,-60.46552905455583,37.02949012680321
92,random_safe,19.920932519491537,48.20134463954783
93,random_safe,-2.056087830403115,-3.8798514695967583
94,random_safe,1.9949375346043183,2.683328139635364
95,random_safe,-14.255096959249968,-3.232257037255323
96,random_safe,-116.7854162851097,-15.663613163258361
97,random_safe,73.83772576749436,69.90448271025993
98,random_safe,13.631809773059452,28.975884823545613
99,random_safe,-652.9048793766289,37.27532303066798
0,perpendicular_midpoint,-15.187118734765278,17.7140246735635
1,perpendicular_midpoint,42.57504046231239,34.49224323198416
2,perpendicular_midpoint,-73.64764227379806,26.05317544791501
3,perpendicular_midpoint,19.57302209740591,29.464046569946788
4,perpendicular_midpoint,-83.24191149200044,13.937871072979846
5,perpendicular_midpoint,14.424496774419136,33.753594693959315
6,perpendicular_midpoint,5.886940581808606,17.334528869510734
7,perpendicular_midpoint,29.72939652949359,28.6323701706103
8,perpendicular_midpoint,19.074741125730124,29.5593642623829
9,perpendicular_midpoint,21.19120492854182,32.64630160416752
10,perpendicular_midpoint,36.34203349693904,31.41525516133126
11,perpendicular_midpoint,8.655480998478389,21.96506972428537
12,perpendicular_midpoint,-54.796455782014036,25.085463077895213
13,perpendicular_midpoint,-3.301876863996533,9.802675614396179
14,perpendicular_midpoint,-4.95950731928728,18.630595047300517
15,perpendicular_midpoint,25.77099783280037,29.33552727601014
16,perpendicular_midpoint,15.425778352464526,21.859879969154633
17,perpendicular_midpoint,2.362539386605455,17.44058605020294
18,perpendicular_midpoint,-6.020694807551017,31.825635967751452
19,perpendicular_midpoint,-3.0551067741226667,10.262703739338093
20,perpendicular_midpoint,33.651522018441426,35.344411957618064
21,perpendicular_midpoint,26.637400211306883,35.170763611904505
22,perpendicular_midpoint,-6.512188217941905,17.539190726682307
23,perpendicular_midpoint,-79.91953408454899,34.03345662464713
24,perpendicular_midpoint,1.0521723141645438,8.112062767574372
25,perpendicular_midpoint,-74.26292230190134,12.642082645960045
26,perpendicular_midpoint,36.39916078181636,30.92031317848182
27,perpendicular_midpoint,-3.305821524632357,10.343971213908048
28,perpendicular_midpoint,10.851340177205085,20.573793786181227
29,perpendicular_midpoint,-41.25610080704553,25.40174397564749
30,perpendicular_midpoint,60.55920577763891,35.15869377133842
31,perpendicular_midpoint,29.338075267688545,29.15982506607341
32,perpendicular_midpoint,-35.02094052916063,28.54010832005781
33,perpendicular_midpoint,33.71443326779533,27.59328579143343
34,perpendicular_midpoint,2.1388406449921895,9.968028683729273
35,perpendicular_midpoint,-48.808726270075795,21.114220208187533
36,perpendicular_midpoint,14.291815832577,26.10729834129134
37,perpendicular_midpoint,-13.149886053413645,13.833988830609968
38,perpendicular_midpoint,-2.5081207557439633,13.416767921233657
39,perpendicular_midpoint,-9.07610442991377,30.764421560028836
40,perpendicular_midpoint,11.91828844049482,20.094210268027638
41,perpendicular_midpoint,-58.828758342276316,29.542152711904095
42,perpendicular_midpoint,-12.237478394689624,21.10081388289379
43,perpendicular_midpoint,41.28053621173777,33.75359469395934
44,perpendicular_midpoint,20.982965764212537,28.68768857068619
45,perpendicular_midpoint,49.66110538767876,33.81489249493063
46,perpendicular_midpoint,22.234077724217343,28.059048504099565
47,perpendicular_midpoint,-0.3978942684290523,8.465290964315102
48,perpendicular_midpoint,-32.06595158722057,13.262166858620049
49,perpendicular_midpoint,13.903370124297481,21.067284418542442
50,perpendicular_midpoint,-25.81100362030707,32.16284265706315
51,perpendicular_midpoint,-1.5052858384175565,28.4825272073291
52,perpendicular_midpoint,-27.151171763948362,24.844931033159014
53,perpendicular_midpoint,38.56222002169031,31.114856048939174
54,perpendicular_midpoint,-20.363511907128157,9.44891391361341
55,perpendicular_midpoint,-24.821509319120175,13.104226351646787
