case_id,family,total_sources,stage,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
30,all_directional,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
30,all_directional,13,certified_clear,2791.730722532961,558.3461429999987,0.0,0.0,65.0,623.3461429999987,13
31,mixed,14,discovery,16220.665698676792,3244.133142999999,225.0,1200.0,0.0,4669.133142999999,240
31,mixed,14,active_localization,5705.0359361282435,1141.0071900000005,9.0,80.0,0.0,1230.0071900000005,16
31,mixed,14,diagnostic,545.0478603577466,109.00957199999993,0.0,5.0,0.0,114.00957199999993,1
31,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
31,mixed,14,certified_clear,3824.5529049938727,764.9105820000002,0.0,0.0,70.0,834.9105820000002,14
32,mixed,10,discovery,15006.131154569193,3001.226236000001,275.0,1445.0,0.0,4721.226236000001,289
32,mixed,10,active_localization,4232.671363480243,846.5342719999996,7.0,70.0,0.0,923.5342719999996,14
32,mixed,10,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
32,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
32,mixed,10,certified_clear,1206.2551626093784,241.2510319999999,0.0,0.0,50.0,291.2510319999999,10
33,mixed,10,discovery,17422.599374686164,3484.51988,323.0,1685.0,0.0,5492.519880000001,337
33,mixed,10,active_localization,7733.742132033574,1546.7484250000002,9.0,80.0,0.0,1635.7484250000002,16
33,mixed,10,diagnostic,943.9423833117421,188.78847700000006,0.0,10.0,0.0,198.78847700000006,2
33,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
33,mixed,10,certified_clear,2216.208366426762,443.2416719999994,0.0,0.0,50.0,493.2416719999994,10
34,mixed,13,discovery,16465.242477681626,3293.048499999999,233.0,1235.0,0.0,4761.048499999999,247
34,mixed,13,active_localization,5683.992251190906,1136.798448000001,10.0,65.0,0.0,1211.798448000001,13
34,mixed,13,diagnostic,49.20396007263005,9.840791999999965,0.0,5.0,0.0,14.840791999999965,1
34,mixed,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
34,mixed,13,certified_clear,2603.052821010905,520.610564,0.0,0.0,65.0,585.610564,13
35,mixed,14,discovery,15588.726883790036,3117.74538,202.0,1090.0,0.0,4409.745379999999,218
35,mixed,14,active_localization,3614.4329443067204,722.8865900000005,11.0,75.0,0.0,808.8865900000005,15
35,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
35,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
35,mixed,14,certified_clear,2341.2384555637004,468.2476889999998,0.0,0.0,70.0,538.2476889999998,14
36,mixed,16,discovery,11370.9279069797,2274.1855830000004,190.0,995.0,0.0,3459.1855830000004,199
36,mixed,16,active_localization,8506.81763914864,1701.3635299999983,14.0,130.0,0.0,1845.3635299999983,26
36,mixed,16,diagnostic,220.19531378965874,44.03906299999994,0.0,5.0,0.0,49.03906299999994,1
36,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
36,mixed,16,certified_clear,2830.8898784118537,566.177975000001,0.0,0.0,80.0,646.177975000001,16
37,mixed,15,discovery,15784.62335805768,3156.9246760000005,220.0,1180.0,0.0,4556.9246760000005,236
37,mixed,15,active_localization,2144.938182536668,428.98763600000063,4.0,30.0,0.0,462.98763600000063,6
37,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
37,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
37,mixed,15,certified_clear,6068.050419121446,1213.6100839999992,0.0,0.0,75.0,1288.6100839999992,15
38,mixed,10,discovery,16397.69937344352,3279.5398780000005,272.0,1435.0,0.0,4986.5398780000005,287
38,mixed,10,active_localization,4392.421835736888,878.4843649999996,8.0,60.0,0.0,946.4843649999996,12
38,mixed,10,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
38,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
38,mixed,10,certified_clear,2135.906463034324,427.1812909999997,0.0,0.0,50.0,477.1812909999997,10
39,mixed,11,discovery,18401.530312934883,3680.306064999998,285.0,1505.0,0.0,5470.306064999999,301
39,mixed,11,active_localization,7040.796338661317,1408.1592669999998,7.0,70.0,0.0,1485.1592669999998,14
39,mixed,11,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
39,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
39,mixed,11,certified_clear,2426.118985465516,485.223796000002,0.0,0.0,55.0,540.223796000002,11
40,mixed,16,discovery,11462.922371900859,2292.5844749999987,199.0,1050.0,0.0,3541.5844749999987,210
40,mixed,16,active_localization,7986.9303185884055,1597.3860619999998,11.0,80.0,0.0,1688.3860619999998,16
40,mixed,16,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
40,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
40,mixed,16,certified_clear,2521.49746052073,504.2994930000009,0.0,0.0,80.0,584.2994930000009,16
41,mixed,15,discovery,16131.298872688129,3226.259777999999,227.0,1215.0,0.0,4668.259777999999,243
41,mixed,15,active_localization,3943.584583858704,788.7169170000005,6.0,45.0,0.0,839.7169170000005,9
41,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
41,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
41,mixed,15,certified_clear,4532.866631201565,906.5733270000007,0.0,0.0,75.0,981.5733270000007,15
