case_id,event_index,vertex_index,x_m,y_m
3,2,0,-516.6262814380555,23.7185996552912
3,2,1,-511.93534354864147,6.8436601828325365
3,2,2,-485.34443577173374,7.217284370849143
3,2,3,-490.960529629834,24.98059977794726
3,3,0,-1205.909424389816,-1182.490951507479
3,3,1,-1206.263153522434,-1184.5125196397144
3,3,2,-1173.3668956704296,-1176.2281844692473
3,3,3,-1172.4461202513758,-1175.301767103023
3,4,0,-1037.861157190352,120.20884960689601
3,4,1,-1037.411576397376,118.81816559652793
3,4,2,-1032.282141162308,116.79917841455779
3,4,3,-1032.7374316388768,118.39695883811471
3,5,0,-631.5361965362302,288.4628686212389
3,5,1,-630.7294844858562,288.71714655817397
3,5,2,-635.1192914634225,297.22770780600695
3,5,3,-636.2325450269976,296.83337470734193
3,6,0,-11.319655321890341,1282.492815736607
3,6,1,-10.10030851225398,1282.0525012121345
3,6,2,-9.26037695994799,1295.5722652904496
3,6,3,-10.01648065454227,1295.8677421240602
3,7,0,1277.1539621338457,993.6478172861899
3,7,1,1276.1427985336197,993.8307565791205
3,7,2,1268.5067539005227,987.0404266136268
3,7,3,1269.0887000613059,985.9525954761157
3,8,0,1202.3007081682101,223.60253648237574
3,8,1,1196.2782870391854,213.2612093249804
3,8,2,1223.8969983498937,202.99264610942424
3,8,3,1229.9473927480776,214.27421989356668
3,9,0,123.85685756921094,-1627.4276322577127
3,9,1,124.90852948965765,-1625.410398871269
3,9,2,112.18811510210338,-1630.0566004061025
3,9,3,111.52370105788181,-1631.4480106650703
3,10,0,63.65273256838043,-1483.1936443388818
3,10,1,58.57776434335869,-1513.634680330698
3,10,2,71.03278111785471,-1515.0812824965378
3,10,3,77.09162014911237,-1485.234482892
3,11,0,1422.7655050643916,-92.30917283489563
3,11,1,1423.0580575372983,-93.36874932123045
3,11,2,1436.883057143162,-71.1622784300133
3,11,3,1436.3080322242502,-68.75323959364133
4,0,0,893.111425381888,307.2614116417368
4,0,1,882.32578338719,303.5507754427471
4,0,2,894.0967598791843,272.926279769288
4,0,3,903.9115336172352,275.92227506119076
4,1,0,990.6749918590766,330.02539385439866
4,1,1,990.7492578327633,327.0812937645207
4,1,2,1002.2490878653775,329.4743088353567
4,1,3,1002.2825640764744,332.86896972806653
4,2,0,1047.9125470646559,-390.7471590800433
4,2,1,1047.741947570471,-389.3842926644969
4,2,2,1034.4381091673702,-395.1289763637789
4,2,3,1034.5146944510352,-395.9828894378717
4,3,0,130.13867677285955,-459.7471942764415
4,3,1,134.31694121832305,-474.50795105822147
4,3,2,155.20586137837918,-482.9752013594459
4,3,3,146.6326765226142,-456.2968552890594
4,3,4,141.2252951171045,-453.8808476667792
4,4,0,-522.2316844984656,-417.36371561115
4,4,1,-520.9533138419005,-417.5348544320287
4,4,2,-517.9781189709888,-403.38594883627553
4,4,3,-518.7442682447969,-403.2558829336698
4,5,0,487.92975518741883,-1349.8068310649908
4,5,1,480.76361660582654,-1370.911543627833
