case_id,channel,observation_index,time,diameter,mec_radius,particle_count
1,16,2,724.366195,65.75816009495828,32.87908005747918,334
1,16,3,1246.442965,65.75816009495828,32.87908005747918,334
1,16,4,1818.286862,65.75816009495828,32.87908005747918,334
1,16,5,2178.23899,45.401092620845795,22.700546320422912,10434
1,16,6,2252.931566,12.702185999270805,6.351093009635431,276
1,17,0,101.0,1500.5455123273966,750.2974655486513,8787
1,17,1,425.8,1500.5455123273966,750.2974655486513,7510
1,17,2,730.366195,35.12101565140595,17.560507835703,3364
1,17,3,1252.442965,35.12101565140595,17.560507835703,3364
1,17,4,1824.286862,35.12101565140595,17.560507835703,3364
1,18,0,431.8,1114.580084786595,557.2900424032975,10037
1,18,1,736.366195,60.33308798743648,30.16654400371827,452
1,18,2,894.759129,28.668689904986962,14.334344962493528,9516
1,19,0,437.8,1040.5942453196233,520.2971226698116,10459
1,19,1,742.366195,1040.5942453196233,520.2971226698116,9216
1,19,2,1258.442965,55.654468608479405,27.827234314239757,601
1,19,3,1423.047549,14.710795225766926,7.355397622883467,8464
1,20,0,323.8,861.7705579592094,430.8852789896048,10603
1,20,1,748.366195,43.59586737848401,21.79793369924212,361
1,20,2,951.232698,28.481855015606754,14.240927517803378,7973
2,1,0,1978.1054,1392.6931265953122,696.403863310761,5400
2,1,1,2397.924569,1392.6931265953122,696.403863310761,936
2,1,2,2742.752534,34.753656313620596,17.376828166810395,1529
2,2,0,1702.026392,1392.6854043271953,696.3427021735976,985
2,2,1,1984.1054,1392.6854043271953,696.3427021735976,296
2,2,2,2069.826203,1392.6854043271953,696.3427021735976,357
2,2,3,2083.058685,1392.6854043271953,696.3427021735976,318
2,2,4,2092.998174,1392.6854043271953,696.3427021735976,287
2,2,5,2174.172201,38.63237917787321,19.31618959893673,116
2,3,0,628.357426,1501.8089947055853,750.9044973627928,275
2,3,1,949.78036,52.70862460841136,26.35431231420569,1498
2,3,2,1127.474306,36.21150008637354,18.105750053186785,898
2,4,0,23.0,1501.8089947055892,750.9044973627946,8554
2,4,1,347.8,1501.8089947055892,750.9044973627946,8119
2,4,2,634.357426,1501.8089947055892,750.9044973627946,7807
2,4,3,955.78036,1501.8089947055892,750.9044973627946,7807
2,4,4,1708.026392,1501.8089947055892,750.9044973627946,7807
2,4,5,1990.1054,1501.8089947055892,750.9044973627946,7807
2,4,6,2403.924569,1501.8089947055892,750.9044973627946,7796
2,4,7,2748.752534,1501.8089947055892,750.9044973627946,7796
2,4,8,3079.31261,1501.8089947055892,750.9044973627946,5944
2,4,9,3334.517093,58.59445981063209,29.297229915316045,9916
2,4,10,3573.312244,24.76028551951772,12.380142769758862,9353
2,5,0,29.0,1501.5161288465242,750.7580644332621,8610
2,5,1,353.8,83.61927110578475,41.809635562892396,4892
2,5,2,640.357426,78.49347394947698,39.24673698473851,4022
2,5,3,961.78036,78.49347394947698,39.24673698473851,3196
2,5,4,1482.612464,19.576650785766937,9.788325402883517,3158
2,6,0,3595.932052,831.2905521388923,415.64527607944626,1851
2,6,1,3821.510157,831.2905521388923,415.64527607944626,1300
2,6,2,4209.538092,831.2905521388923,415.64527607944626,1300
2,6,3,4468.071671,831.2905521388923,415.64527607944626,1300
2,6,4,4696.150679,831.2905521388923,415.64527607944626,1300
2,6,5,4924.229687,831.2905521388923,415.64527607944626,1300
2,6,6,5152.308695,831.2905521388923,415.64527607944626,1064
2,6,7,5380.387703,46.68317126682427,23.341585643412134,399
2,6,8,5498.853021,15.727228842995213,7.863614431497629,439
2,9,0,3358.517093,1501.8089947055869,750.9044973627934,880
2,9,1,3613.932052,55.438191082200625,27.719095551100338,1450
2,9,2,3839.510157,29.285372471853265,15.757335226467081,586
2,11,0,389.8,1297.8980162419884,648.9490081309943,8559
2,11,1,676.357426,62.63686578553997,31.31843290277003,364
2,11,2,842.870229,19.958342957607208,9.97917148880366,8879
2,12,0,682.357426,1501.4751602502495,750.7375801351247,477
2,12,1,997.78036,72.15906790823159,36.07953396411582,862
2,12,2,1276.096402,17.057317840887467,8.52865893044379,719
2,14,0,83.0,1500.2471395831203,750.2310808002992,8565
