family,id,seconds_per_source,cumulative_probability
mixed,274,380.955810625,0.09559613319011816
mixed,58,381.3586960625,0.0966702470461869
mixed,363,381.5339128125,0.09774436090225563
mixed,204,382.191860625,0.09881847475832438
mixed,404,382.85361,0.09989258861439312
mixed,265,383.3345176875,0.10096670247046187
mixed,514,383.7601311875,0.10204081632653061
mixed,936,383.9777582,0.10311493018259936
mixed,470,389.173531625,0.1041890440386681
mixed,279,389.21278225,0.10526315789473684
mixed,48,391.3895958,0.10633727175080558
mixed,700,395.213907875,0.10741138560687433
mixed,882,395.6989278125,0.10848549946294307
mixed,119,397.5901359333333,0.10955961331901182
mixed,834,400.0028469375,0.11063372717508056
mixed,288,400.6401845625,0.11170784103114931
mixed,558,401.0950584375,0.11278195488721804
mixed,417,403.33868206666665,0.11385606874328678
mixed,56,403.76516925,0.11493018259935553
mixed,968,404.8080144,0.11600429645542427
mixed,782,404.978475,0.11707841031149302
mixed,108,407.56322453333337,0.11815252416756176
mixed,330,407.9622308125,0.11922663802363051
mixed,428,409.005886,0.12030075187969924
mixed,422,410.3656698,0.12137486573576799
mixed,229,410.6857779375,0.12244897959183673
mixed,35,411.2056899285714,0.12352309344790548
mixed,662,411.5002783125,0.12459720730397422
mixed,861,412.380799375,0.12567132116004295
mixed,228,412.493314625,0.1267454350161117
mixed,104,412.6958214375,0.12781954887218044
mixed,815,413.8217742,0.1288936627282492
mixed,875,413.8297703333334,0.12996777658431793
mixed,613,414.37712166666665,0.1310418904403867
mixed,540,414.4449798666666,0.13211600429645542
mixed,144,414.48144606666665,0.13319011815252416
mixed,825,415.7377847333333,0.13426423200859292
mixed,59,415.9533133125,0.13533834586466165
mixed,474,417.106374,0.1364124597207304
mixed,693,417.81076171428566,0.13748657357679914
mixed,352,419.28948164285714,0.1385606874328679
mixed,159,419.3782330625,0.13963480128893663
mixed,296,419.7761467333333,0.14070891514500536
mixed,278,420.2903388,0.14178302900107412
mixed,394,420.43135313333335,0.14285714285714285
mixed,37,420.56815973333335,0.1439312567132116
mixed,6,420.80197964285713,0.14500537056928034
mixed,15,421.8707652666666,0.1460794844253491
mixed,555,423.2155578,0.14715359828141783
mixed,715,423.2312608666667,0.14822771213748656
mixed,676,423.2373885333333,0.14930182599355532
mixed,973,423.3438658571428,0.15037593984962405
mixed,944,423.3459522142857,0.1514500537056928
mixed,146,423.7829124,0.15252416756176154
mixed,19,424.2695908,0.1535982814178303
mixed,197,425.4090225333333,0.15467239527389903
mixed,243,425.5148654,0.15574650912996776
mixed,517,425.7141350666667,0.15682062298603652
mixed,69,425.947895625,0.15789473684210525
mixed,866,426.0846008666667,0.158968850698174
mixed,484,426.78790053333336,0.16004296455424274
mixed,518,427.3425142142857,0.1611170784103115
mixed,225,427.65847813333335,0.16219119226638024
mixed,915,428.3038225333333,0.16326530612244897
mixed,824,428.7762180666667,0.16433941997851773
mixed,203,428.82487325,0.16541353383458646
mixed,770,429.6113474,0.16648764769065522
mixed,640,429.7579054666666,0.16756176154672395
mixed,642,429.9674146666667,0.1686358754027927
mixed,401,430.23705846666667,0.16970998925886144
mixed,941,430.4398619333333,0.17078410311493017
mixed,791,430.4860807333333,0.17185821697099893
