case_id,action_count,cost_sum_s,end_time_s,ledger_error_s
477,307,7442.439912,7442.439912,0.0
478,278,6448.559612,6448.559612,0.0
479,283,6906.479016,6906.479016,0.0
480,323,6417.528742,6417.528742,0.0
481,196,4758.364008,4758.364008,0.0
482,273,6794.901035,6794.901035,0.0
483,284,6643.439945,6643.439945,0.0
484,268,6401.818508,6401.818508,0.0
485,282,5884.184374,5884.184374,0.0
486,301,7160.033563,7160.033563,0.0
487,307,6860.5341,6860.5341,0.0
488,291,7048.905213,7048.905213,0.0
489,299,6914.949307,6914.949307,0.0
490,290,6756.223823,6756.223823,0.0
491,284,7159.181091,7159.181091,0.0
492,263,7454.459518,7454.459518,0.0
493,205,4299.638229,4299.638229,0.0
494,320,7192.087575,7192.087575,0.0
495,309,6395.402037,6395.402037,0.0
496,289,6763.964366,6763.964366,0.0
497,254,6083.907166,6083.907166,0.0
498,294,6766.162386,6766.162386,0.0
499,301,6159.475717,6159.475717,0.0
500,307,7614.899883,7614.899883,0.0
501,256,6573.666812,6573.666812,0.0
502,268,6710.056949,6710.056949,0.0
503,319,6625.555735,6625.555735,0.0
504,337,7514.491819,7514.491819,0.0
505,254,6224.056224,6224.056224,0.0
506,327,6960.354564,6960.354564,0.0
507,271,6700.874671,6700.874671,0.0
508,249,6311.251407,6311.251407,0.0
509,174,4242.720015,4242.720015,0.0
510,318,7145.459932,7145.459932,0.0
511,338,7632.125137,7632.125137,0.0
512,305,6876.684237,6876.684237,0.0
513,356,6834.214562,6834.214562,0.0
514,249,6140.162099,6140.162099,0.0
515,310,6600.870339,6600.870339,0.0
516,277,6492.078248,6492.078248,0.0
517,263,6385.712026,6385.712026,0.0
518,262,5982.795199,5982.795199,0.0
519,295,6612.004972,6612.004972,0.0
520,309,7074.300396,7074.300396,0.0
521,316,6650.135437,6650.135437,0.0
522,297,6436.452096,6436.452096,0.0
523,285,6094.354291,6094.354291,0.0
524,270,7349.481621,7349.481621,0.0
525,290,6807.573709,6807.573709,0.0
526,316,6603.58411,6603.58411,0.0
527,277,7105.663136,7105.663136,0.0
528,296,6151.072856,6151.072856,0.0
529,242,5688.760286,5688.760286,0.0
530,316,6724.234465,6724.234465,0.0
