id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
374,14,late,16,5150.013896,11,N16_late,1558.9021909999992,0.05454545454545456,False,False,False,0.0,550.6967610000002,14.449779999999919,-536.2469810000002,-536.2469810000002,0.10647905960697568,False,True,False,False,False,False
374,17,late,16,6119.157779,8,N16_late,589.7583079999995,0.5000000000000001,False,False,True,0.3333333333333333,226.89737999999943,83.36302099999921,-143.53435900000022,83.36302099999921,0.08168356671495258,True,False,False,False,True,False
375,13,late,16,4412.107321,12,N16_late,950.0022439999993,-0.11188811188811189,False,False,False,0.0,471.73711600000024,9.748145999999906,-461.98897000000034,-183.52155200000016,0.071649056155764,False,False,False,False,False,False
375,16,late,16,4969.397965,9,N16_late,392.71159999999963,-0.2833333333333333,False,False,False,0.0,561.6254330000002,0.0,-561.6254330000002,-416.0033570000005,0.08466453674121399,False,True,False,False,False,True
376,8,middle,16,3203.725143,17,middle,3420.9510479999994,0.32107843137254904,False,False,False,0.0,410.2424860000001,835.8605049999996,425.61801899999955,425.61801899999955,0.6282316947530505,True,False,False,False,False,False
376,14,late,16,4750.184206,11,N16_late,1874.4919849999997,0.30000000000000004,False,False,False,0.3333333333333333,217.93793800000003,251.58496299999933,33.6470249999993,197.59568599999966,0.35407884909921306,True,False,False,False,False,False
376,15,late,16,4997.184206,10,N16_late,1627.4919849999997,-0.18787878787878787,False,False,True,0.3333333333333333,1123.8395959999998,136.9776299999994,-986.8619660000004,136.9776299999994,0.6194910981009856,True,True,False,False,False,False
377,17,late,16,4472.738178,8,N16_late,1687.0048980000001,-0.2380952380952381,False,False,False,0.3333333333333333,255.2427000000007,166.983784,-88.25891600000068,126.21705999999995,0.2583690926803023,True,True,False,False,False,False
377,19,late,16,4988.753521,6,N16_late,1170.989555,0.5428571428571429,False,False,True,0.6666666666666666,99.68222799999967,215.2208759999994,115.53864799999974,215.2208759999994,0.21318837154337045,False,False,False,False,False,False
377,22,late,16,5857.851508,3,N16_late,301.891568,-1.0,False,False,True,1.0,133.69219500000054,0.0,-133.69219500000054,0.0,0.009419983065198978,True,True,False,False,True,True
