id,step,group,N,node,probability,cost,gain,prediction_rank,cost_rank,hit,quick_clear,release16
654,8,early,14,11,0.39319582339357106,4812.425982000001,-1082.6533410000006,2.0,14.0,False,False,False
654,8,early,14,12,0.38198164104299903,4490.526994,-760.7543529999998,4.0,10.0,False,False,False
654,8,early,14,13,0.42223622486413237,4226.471890000001,-496.6992490000007,1.0,5.0,False,False,False
654,8,early,14,14,0.3877412037817627,4317.981163,-588.2085220000004,3.0,6.0,False,False,False
654,8,early,14,15,0.31313149260265505,4096.306904000001,-366.5342630000009,5.0,2.0,False,False,False
654,8,early,14,16,0.29503298896778873,4113.135410000001,-383.36276900000075,6.0,3.0,False,False,False
654,11,middle,14,0,0.014541496521327968,2891.424426,0.0,14.0,1.0,False,False,False
654,11,middle,14,1,0.0974858622981547,3395.81961,-504.395184,13.0,3.0,False,False,False
654,11,middle,14,2,0.15265704802549374,3497.976768,-606.552342,12.0,4.0,False,False,False
654,11,middle,14,3,0.16570168248265094,3718.8347360000002,-827.4103100000002,11.0,7.0,False,False,False
654,11,middle,14,4,0.1744719283060534,3770.62549,-879.2010639999999,9.0,9.0,False,False,False
654,11,middle,14,5,0.1664110189316672,3799.5027990000003,-908.0783730000003,10.0,10.0,False,False,False
654,11,middle,14,6,0.17799260768756964,4027.55021,-1136.1257839999998,8.0,14.0,False,False,False
654,11,middle,14,7,0.188291112227144,3910.260248,-1018.835822,7.0,12.0,False,False,False
654,11,middle,14,8,0.34055161838901726,3922.5022030000005,-1031.0777770000004,2.0,13.0,False,False,False
654,11,middle,14,9,0.3296875064230307,3908.895709,-1017.4712829999999,4.0,11.0,False,False,False
654,11,middle,14,10,0.3690751832968667,3746.169533,-854.7451069999997,1.0,8.0,False,False,False
654,11,middle,14,11,0.33525699476298576,3395.1219770000002,-503.6975510000002,3.0,2.0,False,False,False
654,11,middle,14,12,0.2647193355526122,3618.8599950000003,-727.4355690000002,5.0,5.0,False,False,False
654,11,middle,14,13,0.2481101960543043,3648.363508,-756.9390819999999,6.0,6.0,False,False,False
654,12,middle,14,0,0.08522409851028334,2610.327495,0.0,13.0,1.0,False,False,False
654,12,middle,14,1,0.150291385576793,2866.6577549999997,-256.3302599999997,12.0,3.0,False,False,False
654,12,middle,14,2,0.16329163688144832,2866.8065739999997,-256.47907899999973,11.0,4.0,False,False,False
654,12,middle,14,3,0.17539247834153693,3132.0675020000003,-521.7400070000003,9.0,7.0,False,False,False
654,12,middle,14,4,0.16736078033164592,3440.6367160000004,-830.3092210000004,10.0,13.0,False,False,False
654,12,middle,14,5,0.17900207779627564,3305.816004,-695.4885089999998,8.0,11.0,False,False,False
654,12,middle,14,6,0.18935288355925284,3261.9445570000003,-651.6170620000003,7.0,10.0,False,False,False
654,12,middle,14,7,0.34228654632792177,3248.7749980000003,-638.4475030000003,2.0,9.0,False,False,False
654,12,middle,14,8,0.33138144864943664,3320.5245179999997,-710.1970229999997,4.0,12.0,False,False,False
654,12,middle,14,9,0.3709116746174398,3156.390471,-546.0629760000002,1.0,8.0,False,False,False
654,12,middle,14,10,0.33697210183119075,2804.4405920000004,-194.11309700000038,3.0,2.0,False,False,False
654,12,middle,14,11,0.26614411667154925,3038.1492780000003,-427.8217830000003,5.0,5.0,False,False,False
654,12,middle,14,12,0.24946006652857977,3069.277157,-458.949662,6.0,6.0,False,False,False
655,21,late,15,0,0.018232351306281203,745.0003689999994,0.0,4.0,1.0,False,False,False
655,21,late,15,1,0.050361311839910994,1271.2370089999995,-526.2366400000001,1.0,3.0,False,False,False
655,21,late,15,2,0.029238465814341308,1436.875739,-691.8753700000007,3.0,4.0,False,False,False
655,21,late,15,3,0.03435241801000555,1251.8708579999993,-506.8704889999999,2.0,2.0,False,False,False
657,17,late,11,0,0.016773846239403478,1680.1052790000003,0.0,8.0,1.0,False,False,False
657,17,late,11,1,0.10672678692932425,2368.484346,-688.3790669999998,6.0,4.0,False,False,False
657,17,late,11,2,0.15935759246458403,2300.371591,-620.2663119999997,4.0,2.0,False,False,False
657,17,late,11,3,0.17302715670750102,2687.031755,-1006.9264759999996,2.0,8.0,False,False,False
657,17,late,11,4,0.1802276601965508,2576.5855920000004,-896.480313,1.0,7.0,False,False,False
657,17,late,11,5,0.1542862438149062,2338.9439169999996,-658.8386379999993,5.0,3.0,True,False,False
657,17,late,11,6,0.16697402159886654,2394.392124,-714.2868449999996,3.0,6.0,True,False,False
657,17,late,11,7,0.09272023235895688,2388.0679149999996,-707.9626359999993,7.0,5.0,True,False,False
658,18,late,12,0,0.3166626564779542,1468.2143489999999,0.0,5.0,1.0,False,False,False
658,18,late,12,1,0.2986614050820874,1660.6762129999997,-192.46186399999988,6.0,2.0,False,False,False
658,18,late,12,2,0.4233067738765014,1917.0701419999996,-448.8557929999997,1.0,4.0,False,False,False
658,18,late,12,3,0.38000403144588335,1945.5291419999994,-477.31479299999955,3.0,5.0,False,False,False
