seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
63,0000000000000000000000000000000000000000000000000200000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,12,12,1.0,,948.8381277499999,11386.057533,40975.28766022086,1.5318205999992642,cpu,0,0,12,0,1,529,486,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,f98e0e4407a9d6e724cf49e18d70356a451418cb9d933352a1e3fabe6d28b3b7,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v0,9733.201598999998,838.6985750000008,218.16995099999986,0.0,595.9874080000006,0.0
64,0000000000000000000000000000000000000000000000000400000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1403.844469272727,15442.289162,58361.44579348843,1.5024565999992774,cpu,2,254,135,126,0,565,518,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,269656509fddc35da2552a698949032b0e560806497a9a60a246c8c59546fcaf,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9962.687076999999,1264.0341639999988,0.0,4006.585464,208.98245700000234,0.0
64,0000000000000000000000000000000000000000000000000400000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1095.6379998181817,12052.017998,42370.0899697749,1.4860000000007858,cpu,2,254,71,62,0,565,518,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,269656509fddc35da2552a698949032b0e560806497a9a60a246c8c59546fcaf,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9957.546884999998,1264.0341639999997,0.0,621.4544920000008,208.98245700000052,1.8189894035458565e-12
64,0000000000000000000000000000000000000000000000000400000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1075.5200845454544,11830.72093,42053.60463656983,1.6171036999985517,cpu,0,0,11,0,4,569,520,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,269656509fddc35da2552a698949032b0e560806497a9a60a246c8c59546fcaf,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9962.481252,1264.0341640000006,334.8521609999998,0.0,269.35335299999997,1.8189894035458565e-12
65,0000000000000000000000000000000000000000000000000800000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1076.9184332727273,11846.102766,37680.51384308277,1.7058382999985042,cpu,0,0,11,0,0,716,675,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,39ee0b1711af4af4d5a4b16faf4a5def7e24e08e94ed100a8719b08e9608937b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10607.815260000001,752.1360740000007,0.0,0.0,486.15143199999784,0.0
65,0000000000000000000000000000000000000000000000000800000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1076.9184332727273,11846.102766,37680.51384308277,1.7373480000005657,cpu,0,0,11,0,0,716,675,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,39ee0b1711af4af4d5a4b16faf4a5def7e24e08e94ed100a8719b08e9608937b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10607.815260000001,752.1360740000007,0.0,0.0,486.15143199999784,0.0
65,0000000000000000000000000000000000000000000000000800000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1076.9184332727273,11846.102766,37680.51384308277,1.8406728000009025,cpu,0,0,11,0,0,716,675,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,39ee0b1711af4af4d5a4b16faf4a5def7e24e08e94ed100a8719b08e9608937b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10607.815260000001,752.1360740000007,0.0,0.0,486.15143199999784,0.0
66,0000000000000000000000000000000000000000000000001000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,12,12,1.0,,1708.3370605,20500.044726,83855.2236832851,1.7399946999994427,cpu,1,324,193,182,0,529,481,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,de96f09632cec05fd367103c10e5a56b16b9f33893ef3940ed423b7b47b0ee8a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,10,recovered_practice_engine_local,grid_v0,10075.671559000002,1700.525814999999,0.0,8501.471481,222.3758709999995,3.637978807091713e-12
66,0000000000000000000000000000000000000000000000001000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,12,12,1.0,,1026.9874796666666,12323.849756,45209.248791043356,1.701921100000618,cpu,1,324,44,33,0,529,481,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,de96f09632cec05fd367103c10e5a56b16b9f33893ef3940ed423b7b47b0ee8a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,10,recovered_practice_engine_local,grid_v0,10079.665959,1700.525815,0.0,321.28211100000044,222.3758709999995,0.0
66,0000000000000000000000000000000000000000000000001000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,12,12,1.0,,1019.4013132499999,12232.815759,45184.07880632691,1.8518093999991834,cpu,0,0,12,0,2,531,481,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,de96f09632cec05fd367103c10e5a56b16b9f33893ef3940ed423b7b47b0ee8a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,10,recovered_practice_engine_local,grid_v0,10076.159617,1700.5258149999981,189.773013,0.0,266.3573140000019,1.8189894035458565e-12
67,0000000000000000000000000000000000000000000000002000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,752.3315647857142,10532.641907,40113.20953832949,1.5031128999999055,cpu,0,0,14,0,0,414,370,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,9f1c238a3ba3706cb877990906de112ee91cb90bca8056579ba53a530b6d0e4e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,8516.996317999998,1408.234678,0.0,0.0,607.4109110000006,0.0
67,0000000000000000000000000000000000000000000000002000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,752.3315647857142,10532.641907,40113.20953832949,1.399231499999587,cpu,0,0,14,0,0,414,370,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,9f1c238a3ba3706cb877990906de112ee91cb90bca8056579ba53a530b6d0e4e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,8516.996317999998,1408.234678,0.0,0.0,607.4109110000006,0.0
67,0000000000000000000000000000000000000000000000002000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,752.3315647857142,10532.641907,40113.20953832949,1.3977422999996634,cpu,0,0,14,0,0,414,370,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,9f1c238a3ba3706cb877990906de112ee91cb90bca8056579ba53a530b6d0e4e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,8516.996317999998,1408.234678,0.0,0.0,607.4109110000006,0.0
68,0000000000000000000000000000000000000000000000004000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1211.2286915,12112.286915,42956.434560095775,1.616815299999871,cpu,1,305,25,16,0,579,531,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,d71475fb8ed49d6149f504e0539141f9b91bbdc80573145fcc351ea88af4faff,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,6,recovered_practice_engine_local,grid_v0,9994.732888999999,1537.0756510000015,0.0,319.26270699999986,261.2156679999997,1.8189894035458565e-12
68,0000000000000000000000000000000000000000000000004000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1309.3821115,13093.821115,45584.10556329006,1.5556431000004523,cpu,1,305,177,168,0,579,531,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,d71475fb8ed49d6149f504e0539141f9b91bbdc80573145fcc351ea88af4faff,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,6,recovered_practice_engine_local,grid_v0,9997.49575,1537.0756510000015,0.0,1298.0340459999998,261.2156679999997,0.0
68,0000000000000000000000000000000000000000000000004000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1196.7548723,11967.548723,42432.7436049207,1.7553232999998727,cpu,0,0,10,0,1,580,531,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,d71475fb8ed49d6149f504e0539141f9b91bbdc80573145fcc351ea88af4faff,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,6,recovered_practice_engine_local,grid_v0,9993.525419000001,1537.0756509999987,69.07870899999944,0.0,367.8689440000006,0.0
69,0000000000000000000000000000000000000000000000008000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,1288.642818,16752.356634,66556.78314070166,1.598600899998928,cpu,1,385,111,99,0,521,477,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,3093504a1379379ef53c15318bb60c9109d403d0b97ce8d21a3c0f4d3d470f6d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v0,9397.224154999996,1898.7695030000011,0.0,4997.064368,459.29860800000256,0.0
69,0000000000000000000000000000000000000000000000008000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,1004.3780012307693,13056.914016,47254.57005947492,1.5848555000011402,cpu,1,385,166,154,0,521,477,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,3093504a1379379ef53c15318bb60c9109d403d0b97ce8d21a3c0f4d3d470f6d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v0,9397.224155,1902.6804450000006,0.0,1297.7108079999998,459.29860800000165,0.0
69,0000000000000000000000000000000000000000000000008000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,919.0061089230769,11947.079416,43970.39705739617,1.5970038000014029,cpu,0,0,13,0,1,522,478,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,3093504a1379379ef53c15318bb60c9109d403d0b97ce8d21a3c0f4d3d470f6d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v0,9397.224155,1901.8276299999998,96.94125899999995,0.0,551.0863720000009,0.0
70,0000000000000000000000000000000000000000000000010000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1091.4344667999999,10914.344668,35616.72334150641,1.3835777999993297,cpu,1,20,14,5,0,628,589,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,def9931fd98bc3ca0f58428dad59a92530b9f830767f8be7256eae03d9c08ec3,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9587.834860999998,1051.0119169999998,0.0,157.4841180000003,118.013772000002,0.0
70,0000000000000000000000000000000000000000000000010000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1091.7065562,10917.065562,35615.32781070361,1.4193375000013475,cpu,1,20,15,6,0,628,589,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,def9931fd98bc3ca0f58428dad59a92530b9f830767f8be7256eae03d9c08ec3,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9591.813735,1051.0119169999998,0.0,156.226138,118.0137720000011,0.0
70,0000000000000000000000000000000000000000000000010000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1090.3035158,10903.035158,35590.175791639194,1.4928187000004982,cpu,0,0,10,0,1,629,590,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,def9931fd98bc3ca0f58428dad59a92530b9f830767f8be7256eae03d9c08ec3,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,9590.551969,1051.0119169999998,72.57282300000043,0.0,188.8984490000002,0.0
71,0000000000000000000000000000000000000000000000020000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1136.3748135454546,12500.122949,43240.61473691948,1.7073514000003343,cpu,0,0,11,0,0,641,592,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,036d3c93580af82e20e9d9578f3314d12bd17045bd54ab6386bf0b734496660f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,10525.458748000001,1505.2377320000016,0.0,0.0,469.42646899999954,1.8189894035458565e-12
71,0000000000000000000000000000000000000000000000020000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1136.3748135454546,12500.122949,43240.61473691948,1.804496200000358,cpu,0,0,11,0,0,641,592,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,036d3c93580af82e20e9d9578f3314d12bd17045bd54ab6386bf0b734496660f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,10525.458748000001,1505.2377320000016,0.0,0.0,469.42646899999954,1.8189894035458565e-12
71,0000000000000000000000000000000000000000000000020000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1136.3748135454546,12500.122949,43240.61473691948,1.7790968999997858,cpu,0,0,11,0,0,641,592,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,036d3c93580af82e20e9d9578f3314d12bd17045bd54ab6386bf0b734496660f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v0,10525.458748000001,1505.2377320000016,0.0,0.0,469.42646899999954,1.8189894035458565e-12
72,0000000000000000000000000000000000000000000000040000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1198.0745177272727,13178.819695,46744.098471019184,1.3423507999996218,cpu,2,402,59,50,0,612,571,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,ed090b74dcadb4ec91482cc4fa7440b1a5908f498a42c790fa4b28b9159bbe8e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,10257.116597999997,736.0037280000014,0.0,1824.8834870000005,360.81588200000044,0.0
72,0000000000000000000000000000000000000000000000040000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1154.4394301818181,12698.833732,43294.168655578906,1.3375490000016725,cpu,2,402,129,120,0,612,571,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,ed090b74dcadb4ec91482cc4fa7440b1a5908f498a42c790fa4b28b9159bbe8e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,10261.072078,736.0037279999987,0.0,1340.942044,360.81588200000044,1.8189894035458565e-12
72,0000000000000000000000000000000000000000000000040000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,11,11,1.0,,1075.4917470909093,11830.409218,40662.04608833945,1.417524800001047,cpu,0,0,11,0,2,614,573,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,ed090b74dcadb4ec91482cc4fa7440b1a5908f498a42c790fa4b28b9159bbe8e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,1,recovered_practice_engine_local,grid_v0,10258.15709,736.0037279999996,401.7855840000002,0.0,434.4628160000012,1.8189894035458565e-12
73,0000000000000000000000000000000000000000000000080000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,856.3304877857144,11988.626829,43093.13413639301,2.1773252000002685,cpu,1,24,18,5,0,555,513,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,6056ab38dadb3b3df32910c8073152ade89202919e661ba2f7ade3c6ad65440f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9935.630568999999,1337.5096150000002,0.0,42.12586900000042,673.3607760000011,0.0
73,0000000000000000000000000000000000000000000000080000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,856.3925197142856,11989.495276,43097.476370508484,2.119365699998525,cpu,1,24,18,5,0,555,513,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,6056ab38dadb3b3df32910c8073152ade89202919e661ba2f7ade3c6ad65440f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9934.282978000001,1337.5096150000002,0.0,44.34190699999999,673.3607759999984,0.0
73,0000000000000000000000000000000000000000000000080000000000000000,one_bit,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,856.3646049285715,11989.104469,43130.522337825896,2.220488999999361,cpu,0,0,14,0,1,556,513,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,6056ab38dadb3b3df32910c8073152ade89202919e661ba2f7ade3c6ad65440f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9934.290838,1337.509615000001,25.2319379999999,0.0,692.0720779999981,1.8189894035458565e-12
74,0000000000000000000000000000000000000000000000100000000000000000,one_bit,4,P4_current_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1274.3661577,12743.661577,43518.30785873529,1.3607733999997436,cpu,1,235,58,49,0,648,606,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,3686dd68c22f8e39dd40b98043e5a117139cac57c24dcf564486fe09e1a1567a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10066.291161,1103.491645000001,0.0,1274.9351260000003,298.94364499999995,1.8189894035458565e-12
74,0000000000000000000000000000000000000000000000100000000000000000,one_bit,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,10,10,1.0,,1205.8241216000001,12058.241216,39641.20606661943,1.3684623999997712,cpu,1,235,88,79,0,648,606,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,3686dd68c22f8e39dd40b98043e5a117139cac57c24dcf564486fe09e1a1567a,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10066.760578999998,1103.491645000001,0.0,589.0453470000002,298.94364499999995,1.8189894035458565e-12
