seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
13,edge,P4_current,16,16,1.0,,1228.1048973685267,78223.39178948222,1,235,154,139,0,593,546,2.124180400000114,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
13,edge,P4_diagnostic_v1,16,16,1.0,,734.4181104844829,40733.448838758624,1,15,18,3,1,594,548,2.368478700000196,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
13,edge,P4_diagnostic_v2,16,16,1.0,,734.910531481368,40752.84251850943,0,0,16,0,3,596,548,3.055735800000548,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
14,bias,P4_current,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.1336950000004435,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
14,bias,P4_diagnostic_v1,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.1226143000003503,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
14,bias,P4_diagnostic_v2,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.1307292000001326,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
15,cluster,P4_current,16,16,1.0,,657.3474355042118,35732.79484033691,1,57,16,1,0,556,511,1.1818112000000838,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
15,cluster,P4_diagnostic_v1,16,16,1.0,,662.9570713792228,36151.565710337796,0,0,16,0,1,557,512,1.2625918000012462,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
15,cluster,P4_diagnostic_v2,16,16,1.0,,661.0086168594125,35995.689348752974,0,0,16,0,1,557,512,1.4495456999993621,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
16,random,P4_current,13,13,1.0,,904.0836719433994,43285.43867632097,1,15,15,3,0,513,460,1.530227000001105,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
16,random,P4_diagnostic_v1,13,13,1.0,,906.0529194768586,43418.4397659958,0,0,13,0,1,514,460,1.5501550999997562,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
16,random,P4_diagnostic_v2,13,13,1.0,,906.0529194768586,43418.4397659958,0,0,13,0,1,514,460,1.792358200000308,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
17,edge,P4_current,15,15,1.0,,3201.0015571045174,210305.11678283816,5,1295,817,807,0,587,538,2.065292999999656,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
17,edge,P4_diagnostic_v1,15,15,1.0,,935.3736319453295,50218.02239589969,1,325,142,128,11,598,541,2.773229700000229,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
17,edge,P4_diagnostic_v2,15,15,1.0,,916.3958080866752,48819.685606500585,1,325,142,128,10,597,541,5.973427400000219,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
18,bias,P4_current,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.818947699999626,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
18,bias,P4_diagnostic_v1,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.630264100000204,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
18,bias,P4_diagnostic_v2,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.45889200000056,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
19,cluster,P4_current,14,14,1.0,,759.8534780969718,35134.743466788015,1,308,14,1,0,598,551,1.4509472999998252,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
19,cluster,P4_diagnostic_v1,14,14,1.0,,766.8229338046142,35592.605366322976,0,0,14,0,1,599,552,1.4979475000000093,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
19,cluster,P4_diagnostic_v2,14,14,1.0,,766.8229338046142,35592.605366322976,0,0,14,0,1,599,552,1.922565200000463,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
