seed,index,remaining,r12_m,reference_m,gap,saving_s,reference_kind,reference_wall_s,r12_wall_s
379,4,23,18804.617386587277,17366.02287491813,0.08283960708971078,287.7189023338295,multistart_2opt_relocate,0.002221700007794425,0.006053999997675419
379,5,23,18539.718108615514,17564.816635897652,0.05550308283466117,194.98029454357237,multistart_2opt_relocate,0.0027219000039622188,0.007547300003352575
379,6,23,17894.874242352525,17568.017961797876,0.018605188204236105,65.37125611092998,multistart_2opt_relocate,0.004156099996180274,0.01646949999849312
379,7,23,17440.217084247,17421.801139261475,0.0010570632070884605,3.683188997105026,multistart_2opt_relocate,0.003156699996907264,0.013419800001429394
379,8,22,16211.39690047712,16211.39690047712,0.0,0.0,multistart_2opt_relocate,0.003160099993692711,0.012952000004588626
379,9,22,16236.91587733984,16236.91587733984,0.0,0.0,multistart_2opt_relocate,0.003089300007559359,0.007448100004694425
379,10,22,16110.547981751326,16110.547981751326,0.0,0.0,multistart_2opt_relocate,0.0031024999916553497,0.005296300005284138
379,11,22,15864.32199248662,15864.32199248662,0.0,0.0,multistart_2opt_relocate,0.003709500000695698,0.004454900001292117
379,12,17,12259.928867607814,12259.928867607814,0.0,0.0,multistart_2opt_relocate,0.002391300004092045,0.004649099995731376
379,13,17,12046.037515726595,12046.037515726595,0.0,0.0,multistart_2opt_relocate,0.0016385999915655702,0.004237400004058145
379,14,17,12073.578884243117,12073.578884243117,0.0,0.0,multistart_2opt_relocate,0.0017022000101860613,0.0028156000043964013
379,15,17,12153.403869657723,12153.403869657723,0.0,0.0,multistart_2opt_relocate,0.001717599996482022,0.0032085999991977587
379,16,17,12162.615656074515,12162.615656074515,0.0,0.0,multistart_2opt_relocate,0.0016284000012092292,0.0032798000029288232
379,17,17,12136.143959516692,12136.143959516692,0.0,0.0,multistart_2opt_relocate,0.001684399991063401,0.003235700001823716
379,18,14,10166.321444912834,10089.190157898773,0.007644943331123091,15.426257402812189,exact_dp_fp64,0.0071020000032149255,0.0018417999963276088
379,19,14,10143.188517280514,10115.28171312938,0.0027588756242856033,5.581360830226913,exact_dp_fp64,0.006479700008640066,0.0029110999894328415
379,20,12,8948.504927204534,8948.504927204533,2.0327299569517021e-16,3.637978807091713e-13,exact_dp_fp64,0.001262200006749481,0.001995699989493005
379,21,12,9518.80339910253,9518.803399102528,1.910943347897445e-16,3.637978807091713e-13,exact_dp_fp64,0.001134299993282184,0.002527299991925247
379,22,12,9522.061657611672,9522.06165761167,1.9102894614128098e-16,3.637978807091713e-13,exact_dp_fp64,0.0013260999985504895,0.0025679999962449074
380,0,23,18617.94811313265,17504.444056808454,0.06361264903418014,222.70081126483927,multistart_2opt_relocate,0.0028445000061765313,0.0134301000070991
380,1,23,17330.359164143356,17330.359164143356,0.0,0.0,multistart_2opt_relocate,0.002850899996701628,0.006603299989365041
380,2,23,17331.98857412182,17331.98857412182,0.0,0.0,multistart_2opt_relocate,0.0031436999997822568,0.005616399997961707
380,3,23,16981.83801116298,16981.83801116298,0.0,0.0,multistart_2opt_relocate,0.003644900003564544,0.005487199989147484
380,4,23,17169.54209111301,17169.54209111301,0.0,0.0,multistart_2opt_relocate,0.003939800008083694,0.006504800010588951
380,5,23,17159.10465924355,17159.10465924355,0.0,0.0,multistart_2opt_relocate,0.00380330000189133,0.005495699995663017
380,6,22,16790.726585983874,16686.19161540599,0.006264759088668729,20.906994115576527,multistart_2opt_relocate,0.002371500013396144,0.0106653999973787
380,7,22,16826.55850686984,16636.473193314294,0.011425817921068395,38.017062711108885,multistart_2opt_relocate,0.0030802000110270455,0.011371900007361546
380,8,22,16906.190224174254,16598.53388793896,0.018535151255668837,61.531267247058715,multistart_2opt_relocate,0.002685799991013482,0.009534400000120513
380,9,22,16198.9035708503,16198.9035708503,0.0,0.0,multistart_2opt_relocate,0.002576700004283339,0.004112100010388531
380,10,20,15896.551004696768,15186.46172135496,0.04675804650027802,142.0178566683615,multistart_2opt_relocate,0.0019604999979492277,0.011169000004883856
380,11,18,14634.681063706419,13924.591780364608,0.05099533936378117,142.0178566683622,multistart_2opt_relocate,0.0018643999937921762,0.008854500003508292
380,12,15,11898.166122173092,11188.07683883128,0.06346839528999765,142.0178566683622,exact_dp_fp64,0.015653199996449985,0.004595799997332506
380,13,15,11170.609690497577,11170.609690497577,0.0,0.0,exact_dp_fp64,0.013405800011241809,0.0037439000006997958
380,14,15,10850.504967545841,10850.504967545841,0.0,0.0,exact_dp_fp64,0.01368999999249354,0.004981099991709925
380,15,15,10877.10529188769,10877.10529188769,0.0,0.0,exact_dp_fp64,0.01516710000578314,0.004128600005060434
380,16,9,6565.214870383222,6565.214870383222,0.0,0.0,exact_dp_fp64,9.040000441018492e-05,0.0023871000012150034
380,17,9,6590.745210186815,6590.745210186815,0.0,0.0,exact_dp_fp64,8.019999950192869e-05,0.0017081999976653606
380,18,7,5134.110473469116,5134.110473469116,0.0,0.0,exact_dp_fp64,1.7999991541728377e-05,0.0005062999989604577
