id,step,node,probability_range,mean_probability
211,13,7,0.00030075031255683005,0.3854131438020895
211,13,8,0.00030750824727743264,0.2256995693788925
211,13,9,0.00039948680400303527,0.18061978816994004
211,13,10,0.00023676835510499927,0.19558334442131184
211,13,11,0.00014311631315411244,0.10609625207477591
225,13,0,0.00020304855927388843,0.015602970650055411
225,13,1,0.0001761057353107942,0.10255825352438934
225,13,2,0.0003774885666739669,0.15728889292411238
225,13,3,0.00037722692781527734,0.1703625071490127
225,13,4,0.00013738879561653317,0.19401338445883246
225,13,5,0.00036373075225881735,0.353935268606544
225,13,6,0.0004584882254889955,0.34272834414507997
225,13,7,0.0002409759385897381,0.3934655063335675
225,13,8,0.000443469298245347,0.35789424400073994
225,13,9,0.0001398816447295559,0.3387814690126996
225,13,10,0.0005565745200635241,0.3270764519360612
225,13,11,0.00010649346456348407,0.10408704905268695
274,14,0,0.00048643026159989056,0.33110397627191995
274,14,1,0.000319077559615466,0.29276539371116317
274,14,2,0.0002544013449554683,0.5407058104960202
274,14,3,0.0004176564948366046,0.6281625851880189
274,14,4,0.0005143055253873374,0.6354253563143359
274,14,5,0.00018820045217238235,0.6857564008246668
274,14,6,0.00032697375126555794,0.6516018856945297
274,14,7,2.2928098159513688e-05,0.5499178985178218
274,14,8,0.00018141223051426625,0.3897795705244005
274,14,9,0.000526126858910736,0.35816681105717985
274,14,10,0.0002778676024326465,0.1042007255036848
285,3,0,0.00015130655861084197,0.23088423999917715
285,3,1,0.0002530111798517698,0.20476226566324776
285,3,2,0.00015585437268317293,0.21970514028100852
285,3,3,0.0006187410096530899,0.23088503025599294
285,3,4,0.0003221724436859308,0.461821944332073
285,3,5,0.0003416157155979871,0.42928708398065174
285,3,6,0.0002651215294476872,0.6101586754582188
285,3,7,0.00012413650237852458,0.7058930259012679
285,3,8,8.142631998364624e-05,0.8615798149395909
285,3,9,3.4158746175738663e-05,0.7728550866625364
285,3,10,0.00023313129160018597,0.7329455148939138
285,3,11,0.00020599376373486855,0.7364154315773549
285,3,12,0.00016488441311990343,0.8030998431684306
285,3,13,0.00013688021900182257,0.7573813521674445
285,3,14,0.00010297813280968349,0.7363192326789068
285,3,15,5.073899573881935e-05,0.8616457991521004
285,3,16,0.00019271311776625222,0.7726870985446724
285,3,17,4.125642859809098e-05,0.7329141880983476
285,3,18,0.0005668164988458235,0.6100811040943382
285,3,19,0.00013154283195371264,0.7057207782959042
285,3,20,9.456099073834601e-05,0.46178289170628645
285,3,21,0.00035377985336371154,0.42934228294460935
290,8,0,0.00013409294580302156,0.012097414137207885
290,8,1,0.0002845644363448363,0.10917864843087284
290,8,2,0.0004914815595072897,0.3984003250264618
290,8,3,0.000334859199424109,0.3670214894865473
290,8,4,0.00022050694176378727,0.5543580247898777
290,8,5,0.00012715578953659268,0.6506509922125029
290,8,6,0.00016166051999855213,0.806580113466849
290,8,7,9.072201563842253e-05,0.7196392582950321
290,8,8,0.00018590966446929702,0.678441059548874
290,8,9,0.00010316857361480913,0.6816473389082037
290,8,10,2.38742281271076e-05,0.7196078624257605
290,8,11,8.986748633665886e-05,0.6783702484002322
290,8,12,0.0003166419131740428,0.5544725634643924
290,8,13,0.00013560443542703915,0.650580116574649
290,8,14,0.00012967399041530214,0.39837944177614326
290,8,15,0.0002884629375935477,0.3671004546611263
290,8,16,0.00015624821134541111,0.10910945586159382
310,3,0,0.00010317085215960642,0.5227807924132011
310,3,1,0.00018529600727579254,0.4318246263511292
310,3,2,6.032459902050036e-05,0.2833144098729246
310,3,3,0.0002687488935011473,0.3082527028873749
310,3,4,0.00026299307349464396,0.1431260423692592
310,3,5,0.0001265589392657196,0.13577957913995156
310,3,6,3.9748851486831605e-05,0.12597953939720039
310,3,7,0.00011229055305916891,0.14303355593525338
310,3,8,0.0004325261086640664,0.28326404586172155
310,3,9,0.00019869237388092653,0.308097773081527
310,3,10,0.00022060507559429343,0.5228823743943362
310,3,11,0.00035592973344233947,0.4317953929266503
310,3,12,0.0002856511168294329,0.5507320898766995
310,3,13,0.00026301106999149226,0.5939404626772041
310,3,14,0.00018753795996406808,0.5543452974522751
310,3,15,2.2293973831022385e-05,0.7032509316979723
310,3,16,0.00017140624319544884,0.7030758720471303
310,3,17,0.00021319531794472546,0.5938557138759011
310,3,18,0.0001822202436172482,0.5503956074395514
310,3,19,0.0001102832295258871,0.554264034463634
310,3,20,8.2096100187945e-05,0.62902240436091
310,3,21,0.0001676339111144065,0.5769215532996647
345,12,0,0.0001973085458566448,0.011276665727258014
345,12,1,0.0002311826176178977,0.08563753801655079
345,12,2,0.00021765087573988318,0.30447351398659367
345,12,3,0.00012112753517035113,0.2778723628750949
345,12,4,7.407753292620889e-05,0.446690952592301
345,12,5,0.00021894226088159385,0.5317053512833902
345,12,6,0.00011372576311718952,0.5852641785262179
345,12,7,0.0002660504155203025,0.5482548917969894
345,12,8,0.00012971687375296082,0.4464710019403872
345,12,9,7.76227606054114e-05,0.3018921119582669
345,12,10,0.0002141804747444187,0.27546237261964995
345,12,11,0.00022330275486093232,0.07577502566726686
345,12,12,0.00015093128814092083,0.5315672201214213
418,10,0,0.0005732052245722707,0.34460473406457065
418,10,1,0.0005689830557455977,0.30581152003042894
418,10,2,0.00014313964215684205,0.5506949326899527
418,10,3,0.0002374449654222177,0.648590105263219
418,10,4,0.00025563980566190025,0.7237691404337605
418,10,5,0.00016930388226255033,0.6828688076123419
418,10,6,0.00028744338625219523,0.6864311910685966
418,10,7,7.265537124268029e-06,0.8100069809206226
418,10,8,0.0001396965070313838,0.6556374156081463
418,10,9,0.00014183189741945323,0.7240624188852008
418,10,10,8.239942766352648e-05,0.6832801829300122
418,10,11,0.00035073968395948896,0.5595736863395976
418,10,12,8.94498159665913e-05,0.40289916541823717
418,10,13,0.00038451615145829177,0.3714876511546316
418,10,14,0.000451480979364427,0.11088185289155698
430,21,0,0.00038530900305844273,0.19607948880062395
430,21,1,0.00035104682498154904,0.19014682491556067
430,21,2,0.0001766659286857042,0.19640046849657453
430,21,3,0.0003194001528248336,0.17919929389556136
472,4,0,0.0002211519452623989,0.10766538098535068
