id,step,known,classes,max_range,top3_same,gap3_max,gap3_min,count_tv,replay_pass,zero_event
547,0,0,1,0.00020763009567104085,False,3.554263711014194e-06,8.150117036809235e-08,0.0,3,False
557,22,13,1,0.00023885318008443068,True,,,1.2277465813680588e-05,3,False
559,22,14,1,0.0005098707833696148,True,,,0.00022278504050799505,3,False
561,7,9,1,0.0006809878996574259,True,0.031751861329875175,0.0314065128237182,6.448317979839205e-05,3,False
590,20,9,1,0.0008484481105295316,True,0.07815600282647539,0.07793374361984318,0.00020187750067744763,3,False
592,22,12,1,0.00021540423320620672,True,,,0.00023197646110893904,3,False
609,18,10,1,0.0006647895725014896,True,0.010133498674597008,0.009913338456591037,0.00047230585056439876,3,False
630,10,11,1,0.0006282214527701946,True,0.002101824087111015,0.0018649739648742836,3.445551636955049e-05,3,False
653,18,12,1,0.0003240771449357638,True,0.020718666768823946,0.02040368392458003,0.00015272727515998688,3,False
662,2,4,1,0.0004337604321223987,True,0.050141067838749054,0.05009120717549742,6.734997120204714e-05,3,False
686,22,10,1,0.0005610841652515797,True,,,0.0002781502740294075,3,False
746,21,10,1,0.0005275506209522218,False,0.00012617748388699113,2.4093692481907958e-05,0.00019643039793243937,3,False
752,18,9,1,0.0005386574967418678,True,0.0016719281220067828,0.0008994083952100773,8.824455921416829e-05,3,False
765,6,11,1,0.0005864067047024468,True,0.006854101583670058,0.006449900809008757,0.00015425435987048708,3,False
787,12,14,1,0.0005982726091239288,True,0.003653573731435933,0.0032219045968157056,0.00014359614850259494,3,False
807,16,11,1,0.0009163128194319414,True,0.002960966479081617,0.0024549679710215155,0.00046311510316590643,3,False
816,19,14,1,0.00044125264264049946,True,0.01759249003364205,0.017543212517865947,0.00012249844707082347,3,False
832,23,12,1,0.00012775424657329726,True,,,0.00010093997913189242,3,False
842,19,9,1,0.00043307474200160456,True,0.000254100302814253,3.427004577760684e-05,0.0003068880632182259,3,False
867,16,9,1,0.00038706535855004276,True,0.05167113003660184,0.05145257122743474,0.00015958327559591846,3,False
871,10,12,1,0.0004256259153523345,True,0.0396746089738651,0.039397356611098,2.201062335608142e-05,3,False
908,22,10,1,0.00013674384702511144,True,,,0.00010057968758824066,3,False
913,8,12,1,0.0004698475068211083,True,0.007185686436454342,0.006814964537598445,8.676718885532869e-05,3,False
916,7,6,1,0.0009233581067731311,True,0.03754285878366326,0.03741621517063609,8.53234982268157e-05,3,False
917,19,13,1,0.0005792440836777102,True,0.06283874159047331,0.06245435117637366,0.000387811270092471,3,False
931,15,12,1,0.0006056313124764845,True,0.0317497383506572,0.031362937749115805,0.0002839499101003305,3,False
936,11,11,1,0.00047319157869984974,True,0.037107699041668774,0.03687008987576301,9.065976789818242e-05,3,False
938,23,10,1,0.0001240955851172787,True,,,0.0001983677290610314,3,False
947,15,13,1,0.0005198340919397859,True,0.011551201681163858,0.011276841687010375,7.261914317821527e-05,0,False
961,13,13,1,0.0003256783901872673,True,0.032715965396882596,0.03218395933397189,0.00011888931904278921,3,False
978,2,8,1,0.0004219712298617617,True,0.06300691388723989,0.06285445921026,0.00013454574611198103,3,False
989,9,11,1,0.000824739547151454,True,0.02325613040072505,0.02319138647689678,0.00013615446641088332,3,False
1002,7,13,1,0.0004963401003644785,True,0.04147184167325024,0.04120145804163411,7.194747379278554e-05,3,False
