cohort,method,N,n,mean,improvement_pct,normalized_variance,CV,P95,max
development,C2,14,18,542.6256932936508,-8.550651194222446,0.004442881475079856,0.06665494336566387,585.2704380892857,587.5007333571428
development,C2,15,18,513.7406010037037,-11.897379144463205,0.0036214676666425742,0.06017863131247315,562.8310020566666,576.7086777333334
development,C2,16,18,420.40582506597224,-7.995087195131423,0.0064314877198716845,0.08019655678314178,466.085042484375,470.110066875
development,D,10,19,716.1090212894737,0.0,0.005164711653846598,0.07186592832383508,775.6526055699999,813.9605859999999
development,D,11,19,630.2059902966507,0.0,0.0019506652001703663,0.04416633559817212,671.1411463727272,690.230715090909
development,D,12,18,583.5854047314814,0.0,0.005888717748813433,0.07673798113589797,644.9409585833333,676.4773823333334
development,D,13,18,555.5574100042735,0.0,0.004810226492218932,0.06935579638515393,634.317364253846,669.4000394615384
development,D,14,18,499.88248557142856,0.0,0.002721689428927688,0.052169813387894046,549.5447663607142,554.4667901428571
development,D,15,18,459.1176352222223,0.0,0.0031389279337355434,0.05602613616639598,490.4436994866667,502.6376658666667
development,D,16,18,394.98577251041667,-1.465109186831337,0.013574638826719264,0.11651025202409983,471.7851530125,476.1036475
development,E-H2,10,19,794.6458814578949,-10.96716531052806,0.0021086632913574605,0.04592018392120682,842.87336022,847.1434833
development,E-H2,11,19,732.869056521531,-16.2903983468254,0.0014136643991359782,0.037598728690422197,778.7944669090909,793.5302855454545
development,E-H2,12,18,663.1025535138888,-13.625623282850041,0.0050209544167224346,0.07085869330380314,716.2294345125,720.6511005833332
development,E-H2,13,18,628.9945878632478,-13.218647890667047,0.0034727586500602585,0.05893011666423426,675.4288657884615,703.7740966153846
development,E-H2,14,18,584.6290981785714,-16.953307037806464,0.0035469066891251825,0.059555912293618514,651.1012636749999,670.8746171428572
development,E-H2,15,18,536.8270470777778,-16.925817240268405,0.004587110583445205,0.06772821113424747,583.9695575666667,586.3022369333333
development,E-H2,16,18,429.83556339583333,-10.417426164865763,0.019008163428927315,0.13787009620990084,498.00750316874996,525.258529625
development,R12,10,19,716.1090212894737,0.0,0.005164711653846598,0.07186592832383508,775.6526055699999,813.9605859999999
development,R12,11,19,630.2059902966507,0.0,0.0019506652001703663,0.04416633559817212,671.1411463727272,690.230715090909
development,R12,12,18,583.5854047314814,0.0,0.005888717748813433,0.07673798113589797,644.9409585833333,676.4773823333334
development,R12,13,18,555.5574100042735,0.0,0.004810226492218932,0.06935579638515393,634.317364253846,669.4000394615384
development,R12,14,18,499.88248557142856,0.0,0.002721689428927688,0.052169813387894046,549.5447663607142,554.4667901428571
development,R12,15,18,459.1176352222223,0.0,0.0031389279337355434,0.05602613616639598,490.4436994866667,502.6376658666667
development,R12,16,18,389.2823608784722,0.0,0.013203543067373955,0.11490667111779872,460.2665249125,471.866453875
