cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path
development,C2,89,15,502.6376658666667,499.89237733333334,-2.745288533333337,0.5461764447357575,-1675.8966478234834,49,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0089.json.gz
development,C2,90,16,458.219478625,465.3747440625,7.155265437499963,-1.561536724490864,-707.5787521550992,43,1490.9733189999997,201.30079300000034,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0090.json.gz
development,C2,91,10,765.7613251,788.2243494,22.46302430000003,-2.9334237135920427,-1276.8487786313817,80,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0091.json.gz
development,C2,92,11,608.0516265454545,661.8432796363636,53.79165309090911,-8.846560183798458,2558.540917097751,13,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0092.json.gz
development,C2,93,12,550.4298371666666,617.2377393333334,66.80790216666674,-12.13740565201913,3288.474129973507,24,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0093.json.gz
development,C2,94,13,552.0495685384615,556.3396414615385,4.290072923076991,-0.7771173401031506,43.854741001039656,8,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0094.json.gz
development,C2,95,14,505.7241367142857,547.8187952142857,42.09465850000004,-8.323640388906695,436.62609502201303,84,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0095.json.gz
development,C2,96,15,436.22528553333336,532.7975773333334,96.57229180000002,-22.13816919895639,5167.92188520954,69,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0096.json.gz
development,C2,97,16,283.4429753125,436.4027411875,152.95976587500002,-53.964916825460094,7171.781271803677,173,1601.6001770000003,1681.3137989999996,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0097.json.gz
development,C2,98,10,709.9732808,734.9962591000001,25.02297830000009,-3.524495777052916,1096.148913950572,5,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0098.json.gz
development,C2,99,11,619.2283662727273,634.0340238181818,14.805657545454551,-2.390985031027104,789.3111653279011,1,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0099.json.gz
development,C2,100,12,567.4968668333333,575.3658650833333,7.868998250000004,-1.3866152766462747,47.13990150547761,14,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0100.json.gz
development,C2,101,13,578.9538986153847,591.1439283846154,12.190029769230705,-2.105526847368022,402.3519306325543,14,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0101.json.gz
development,C2,102,14,454.22734164285714,476.1989016428571,21.971559999999954,-4.837128456541784,668.0092168408773,29,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0102.json.gz
development,C2,103,15,452.6860997333333,497.14457239999996,44.45847266666664,-9.821037732958015,99.38543521432439,108,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0103.json.gz
development,C2,104,16,348.4087389375,388.5447995625,40.13606062499997,-11.519820297102212,1920.8848463511385,38,2178.5271179999995,1819.854202,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0104.json.gz
development,C2,105,10,748.1025681,756.8138788,8.711310700000013,-1.1644540563635175,-944.4344770558891,46,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0105.json.gz
development,C2,106,11,601.3445331818182,637.0630456363637,35.718512454545476,-5.939775034713057,1604.5181895563,12,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0106.json.gz
development,C2,107,12,568.1325690833334,627.0009755833333,58.86840649999999,-10.361737682981742,3452.104398475276,3,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0107.json.gz
development,C2,108,13,536.247563076923,585.504985076923,49.25742200000002,-9.18557498282453,2316.7324329169096,30,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0108.json.gz
