cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
regression,D,50,support_decision,5193.613356,,,,True,0.0,"[485.0, 840.0446416709054]",734.1875199637742,820.3982301702921,86.21071020651789,796.1952913976996
regression,D,50,support_decision,5358.852414,,,,False,0.0,"[0.0, 1680.0892833418109]",336.63008133875485,150.48516421470998,-186.14491712404487,969.9999999999999
regression,D,50,support_decision,5484.81243,,,,False,3.0,"[1455.0, 840.0446416709054]",1477.1906483847272,616.7304362214774,-860.4602121632498,1092.6054635490116
regression,D,50,support_decision,5781.790039,,,,False,3.0,"[1455.0, 840.0446416709054]",1310.750754178197,616.1809169763502,-694.5698372018468,580.2037824970743
regression,D,75,release,6013.686203,3.0,4.0,969.9999999999999,,,,,,,
regression,D,75,support_decision,6013.686203,,,,False,0.0,"[485.0, -840.0446416709054]",258.7876264834053,211.58418557791038,-47.203440905494915,969.9999999999999
regression,D,75,support_decision,6180.869548,,,,True,0.0,"[485.0, -840.0446416709054]",916.6005767717311,1062.331079069923,145.73050229819182,244.9744768160989
regression,D,75,support_decision,6235.864443,,,,False,0.0,"[1455.0, -840.0446416709054]",1571.508694820128,403.23932133868396,-1168.269373481444,970.0
regression,D,75,support_decision,6405.016725,,,,False,0.0,"[1455.0, -840.0446416709054]",1586.824083483596,1191.1453668815875,-395.67871660200854,1389.3580908161948
regression,D,75,support_decision,6443.419403,,,,False,0.0,"[1455.0, -840.0446416709054]",1588.4780038847812,380.6054555038485,-1207.8725483809326,1554.1571322602572
regression,D,75,support_decision,6681.810494,,,,False,0.0,"[1455.0, -840.0446416709054]",1617.6213258166479,413.9891765185207,-1203.6321492981272,1177.8074386724147
regression,D,75,support_decision,7058.370923,,,,False,0.0,"[1455.0, -840.0446416709054]",3245.5826978215996,838.4665975055847,-2407.116100316015,910.3568863129422
regression,D,78,release,5753.633995,5.0,3.0,969.9999999999999,,,,,,,
regression,D,78,support_decision,5753.633995,,,,False,4.0,"[-1940.0, 0.0]",463.1295697006553,244.4732902978239,-218.6562794028314,970.0
regression,D,78,support_decision,5815.080007,,,,False,4.0,"[-1940.0, 0.0]",463.2385221524023,194.18118447717538,-269.0573376752269,724.7621018712538
regression,D,78,support_decision,5969.147841,,,,False,3.0,"[-1455.0, 840.0446416709054]",2264.44631732278,457.838095196612,-1806.6082221261681,1642.9240617430064
regression,D,78,support_decision,6321.033928,,,,False,0.0,"[-485.0, 840.0446416709054]",486.87462666578574,471.50962904690937,-15.364997618876373,416.28881079537575
