question,new_run,time_s,radius_m,field,old,new,new_minus_old
q1,EXP101_B_Q1__cuda001,1500.0,0.015,C,2.420640565453518,2.4160230729205763,-0.004617492532941636
q1,EXP101_B_Q1__cuda001,1500.0,0.02,T,35.12146379923663,35.120251234993475,-0.0012125642431541905
q1,EXP101_B_Q1__cuda001,1500.0,0.02,C,1.5789400076749798,1.578850623420386,-8.938425459370514e-05
q1,EXP101_B_Q1__cuda001,1800.0,0.0,T,33.57641897783885,33.57885535339483,0.002436375555980419
q1,EXP101_B_Q1__cuda001,1800.0,0.0,C,2.549991746036824,2.5499807388376814,-1.1007199142820667e-05
q1,EXP101_B_Q1__cuda001,1800.0,0.005,T,33.77295025528546,33.77432992029435,0.0013796650088906404
q1,EXP101_B_Q1__cuda001,1800.0,0.005,C,2.549715972191714,2.549572415101711,-0.00014355709000302141
q1,EXP101_B_Q1__cuda001,1800.0,0.01,T,34.364782995478,34.365607197543,0.000824202064997337
q1,EXP101_B_Q1__cuda001,1800.0,0.01,C,2.5382424851387824,2.536685800052923,-0.0015566850858594883
q1,EXP101_B_Q1__cuda001,1800.0,0.015,T,35.362627844241246,35.363016581187935,0.0003887369466895052
q1,EXP101_B_Q1__cuda001,1800.0,0.015,C,2.375520744426938,2.371328984994964,-0.004191759431974251
q1,EXP101_B_Q1__cuda001,1800.0,0.02,T,36.78612149441159,36.78592982433298,-0.0001916700786068759
q1,EXP101_B_Q1__cuda001,1800.0,0.02,C,1.5104100744240234,1.5108400668314732,0.0004299924074497863
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.0,T,28.000056894541125,28.000057352541603,4.580004784315861e-07
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.0,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.005,T,28.00034864008114,28.00036082942978,1.2189348641555853e-05
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.005,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.01,T,28.00395819405296,28.004109101565177,0.00015090751221791265
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.01,C,2.55,2.55,0.0
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.015,T,28.032135672122006,28.032891222548756,0.0007555504267493518
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.015,C,2.5499998241478274,2.549998497057577,-1.3270902505801985e-06
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.02,T,28.17974993532245,28.180404421612366,0.0006544862899140469
q1,EXP104_B_Q1_nr40__cuda001,100.0,0.02,C,2.249148688567357,2.240448134501067,-0.00870055406628989
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.0,T,28.04102248184172,28.041024579711348,2.097869629125171e-06
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.0,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.005,T,28.063780403762554,28.063697373685102,-8.303007745169566e-05
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.005,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.01,T,28.151726518547036,28.151642149991233,-8.436855580384872e-05
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.01,C,2.5499999972958407,2.549999983817095,-1.3478745675143955e-08
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.015,T,28.367742421177443,28.36839401770567,0.0006515965282254399
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.015,C,2.5491435530250817,2.5488542552668076,-0.0002892977582740208
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.02,T,28.848938408893318,28.84926157440742,0.00032316551410360717
q1,EXP104_B_Q1_nr40__cuda001,300.0,0.02,C,2.051800987794077,2.048396506257199,-0.003404481536877668
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.0,T,28.454169042153513,28.453969023840898,-0.00020001831261495795
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.0,C,2.5500000000000003,2.549999999999956,-4.440892098500626e-14
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.005,T,28.536851023975032,28.53647004784409,-0.00038097613094123517
