id,N,group,spearman,top1,top3,pred_gain,best_gain,top3_gain,hit,R12hit,pred_release,R12release
36,16,early,0.19395521223889378,True,True,1688.279743,1688.279743,1688.279743,True,True,False,False
36,16,middle,0.1929824561403509,False,False,1082.943288,1610.2313009999993,1414.1461809999996,False,False,False,False
36,16,middle,-0.11428571428571425,False,False,404.2779559999999,703.1999539999997,613.1456760000001,False,False,False,False
36,16,N16_late,0.009090909090909092,False,False,-106.63408200000049,277.00495599999977,175.1529129999999,False,False,False,False
37,16,N16_late,0.5705882352941177,False,True,-108.2256809999999,0.0,0.0,True,True,True,True
38,16,early,0.04805194805194805,True,True,1160.9037289999997,1160.9037289999997,1160.9037289999997,True,False,False,False
39,16,middle,0.29705882352941176,False,False,-655.5172510000002,1432.3089129999998,1262.7728710000001,False,False,False,False
39,16,N16_late,0.5,False,True,121.01425000000017,615.0751069999997,615.0751069999997,False,False,False,False
39,16,N16_late,0.09999999999999999,False,False,-86.99315400000069,109.08715200000006,0.0,True,True,True,False
40,16,early,-0.023376623376623374,False,False,349.09877099999994,1858.934338,1435.2597079999996,False,False,False,False
42,16,N16_late,-0.1164835164835165,False,False,-618.5098859999998,0.0,0.0,True,False,True,False
42,16,N16_late,0.17032967032967034,False,False,-197.00777899999957,0.0,0.0,True,True,True,True
43,16,N16_late,0.4047619047619048,False,False,660.1199620000007,910.0484880000013,660.1199620000007,True,False,False,False
44,16,middle,0.19649122807017544,False,True,223.0725680000005,426.7651569999998,426.7651569999998,True,True,False,False
44,16,N16_late,0.01978021978021978,False,False,-1373.7266119999995,180.7161930000002,0.0,True,False,False,False
45,16,early,0.34311807725669774,False,False,381.24127899999985,941.1800439999997,381.24127899999985,True,True,False,False
45,16,early,-0.5804511278195488,False,False,-609.2407629999998,942.8340360000002,0.0,True,False,False,False
45,16,late,-0.5515151515151515,False,False,-179.92016700000022,358.96428600000036,0.0,False,False,False,False
45,16,N16_late,-0.6833333333333333,False,False,-190.30201000000034,333.4525910000002,0.0,False,False,False,False
46,16,early,-0.22727272727272727,False,False,-153.18321399999968,0.0,0.0,True,True,False,False
46,16,late,0.47802197802197804,False,False,-15.277546000000257,196.8281050000005,0.0,True,False,True,False
47,16,N16_late,0.5714285714285715,False,True,53.0142850000002,87.74829299999965,87.74829299999965,True,False,False,False
47,16,N16_late,0.49999999999999994,True,True,0.0,0.0,0.0,False,False,False,False
48,16,N16_late,-0.08391608391608392,False,False,-544.0477170000004,0.0,0.0,False,False,False,False
48,16,N16_late,0.0,False,False,-187.97785000000022,15.607396999999764,0.0,True,True,True,True
49,16,N16_late,-0.25357142857142856,False,False,-1566.8472539999993,0.0,0.0,True,True,False,False
50,16,middle,-0.23636363636363633,False,False,136.4839609999999,812.6492500000004,675.4678309999999,False,False,False,False
50,16,late,-0.39999999999999997,False,False,-114.19890699999996,0.0,0.0,True,False,True,False
51,16,N16_late,0.04385964912280702,False,False,-3.553823000000193,225.65951500000028,0.0,True,False,True,False
51,16,N16_late,0.3168214654282766,False,False,112.25553099999979,217.1723810000003,112.25553099999979,True,False,True,False
52,16,early,0.29180257267331333,False,False,-494.4725960000005,1431.315291,504.11225099999956,True,True,False,False
52,16,early,-0.3116883116883117,False,False,142.86831699999948,980.6531839999998,239.92570799999976,True,True,False,False
52,16,middle,0.06914344685242517,False,False,354.95951199999945,931.2618670000002,354.95951199999945,True,True,False,False
52,16,middle,0.6307692307692307,False,True,688.8004689999998,828.6279009999998,828.6279009999998,True,True,False,False
52,16,late,0.41666666666666663,False,False,-932.0735430000004,36.77219999999943,0.0,False,True,False,True
53,16,middle,-0.24264705882352944,True,True,684.5688229999992,684.5688229999992,684.5688229999992,True,False,True,False
53,16,N16_late,0.6818181818181819,False,True,78.09320300000036,481.20070699999997,481.20070699999997,True,False,True,False
53,16,late,0.6,True,True,175.7311920000002,175.7311920000002,175.7311920000002,True,False,True,False
53,16,late,0.19047619047619052,False,False,-219.70754599999964,0.0,0.0,True,True,True,True
54,16,middle,-0.48774509803921573,False,False,-1526.149667000001,105.80151399999977,4.522058999999899,True,False,False,False
