path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/measure,discovery,"[485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 714.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 720.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 726.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 732.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 738.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 744.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 750.548996, 'measure_result': 'direction', 'svd_deg': 52.65}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 756.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",11.0,"{'accepted': True, 'virtual_time_s': 762.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, -840.0446416709054]",12.0,"{'accepted': True, 'virtual_time_s': 768.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
