mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e837dac631191p+9,-0x1.997bfec8968fcp+5",976.4363639583336,-51.18554455480077,retained_B_pool,417,True,True,True,54410023757193627016539065180783/1237940039285380274899124224,22.222963640717012,116.22719842068422,116.23586116176065,0.008662741076435054,200.5554072718566,156.33827987505555,156.34694261613197,False,0.0,0.01956699999573175,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e64874b765336p+9,-0x1.5f56a1bd49259p+7",972.5660619014877,-175.66920272367386,retained_B_pool,418,True,True,True,28789021605820516525942571361999/1237940039285380274899124224,11.696193699457694,115.81743917601845,115.825931455669,0.008492279650539558,202.66076126010847,156.34959142804016,156.3580837076907,False,0.0,0.022596199996769428,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4c7fbe228ae45p+8,0x1.cff5b8cf5f1a8p+9",332.4989949788181,927.919702454984,retained_B_pool,419,True,True,True,8792297096808262264022466242663/309485009821345068724781056,14.30706816672864,115.9479426651168,115.95748371938025,0.009541054263451088,202.13858636665427,156.37565993844765,156.3852009927111,False,0.0,0.026778699990245514,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4c7fbdd74adbcp+8,0x1.cff5b817c040ep+9",332.49899049356077,927.9196805657136,retained_B_pool,420,True,True,True,274759706003295370305228879063/9671406556917033397649408,14.307090286019616,115.94793986788885,115.95751206174629,0.009572193857437128,202.13858194279607,156.37565625644805,156.3852284503055,False,0.0,0.024179200001526624,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e5c150a3749afp+9,-0x1.3e159830f22d7p+7",971.5102733916627,-159.0421767516734,retained_B_pool,421,True,True,True,38219386699569957014558151005535/1237940039285380274899124224,15.557708501176876,116.01913089274974,116.02886771634317,0.009736823593428312,201.88845829976464,156.39682255270267,156.40655937629612,False,0.0,0.028128099991590716,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e60608855f720p+9,-0x1.5efe7ed9018bcp+7",972.0471350399057,-175.49706152099486,retained_B_pool,422,True,True,True,1882067217847755352229285134175/77371252455336267181195264,12.237451944146414,115.89407556970136,115.90361103026306,0.00953546056170751,202.5525096111707,156.4045774919355,156.4141129524972,False,0.0,0.02061849999881815,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e6060919e7a3ep+9,-0x1.5efe7f9e46101p+7",972.0471527463012,-175.49706740002878,retained_B_pool,423,True,True,True,30113030317577792377673392311743/1237940039285380274899124224,12.237433474925979,115.89405193575129,115.90361336027446,0.009561424523170103,202.5525133050148,156.40455459675425,156.41411602127744,False,0.0,0.03274190000956878,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e5d6f74fb4bc4p+9,-0x1.bae1377337712p+6",971.6794223434922,-110.71993808771029,retained_B_pool,424,True,True,True,53949668934374082612241802571695/1237940039285380274899124224,22.03282033805999,116.29227566662944,116.30141327596877,0.009137609339333608,200.593435932388,156.41096285310704,156.42010046244638,False,0.0,0.025580300003639422,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4984e0a59584fp+8,0x1.d0a0cd1372feap+9",329.51905283832906,929.2562584220407,coarse_grid,425,False,True,True,8634631774015546994777836523535/309485009821345068724781056,14.048682743412542,115.99053282991908,115.9997572659077,0.009224435988627988,202.1902634513175,156.4285855201826,156.4378099561712,False,0.0,0.030810900003416464,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e66900584fbe6p+9,-0x1.53e59b8824f70p+6",972.820323027551,-84.97422611928573,legacy_213,426,True,True,True,448753264240948418093912896131/9671406556917033397649408,23.475550741303664,116.37424320702719,116.38326800051554,0.009024793488350724,200.30488985173926,156.43522117737504,156.4442459708634,False,0.0,0.03746580000733957,SAFE
