seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
11,cluster,P4_diagnostic_v2,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.6464255999999295,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
11,cluster,P4_route_only,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.699702599999,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
12,random,P4_current,14,14,1.0,,3093.9703594384487,192957.9251606915,3,729,455,444,0,562,521,1.8767382000005455,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
12,random,P4_diagnostic_v1,14,14,1.0,,891.9390968578822,45290.736780051746,0,0,14,0,5,567,524,2.227376299999378,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
12,random,P4_diagnostic_v2,14,14,1.0,,887.9401522939954,45010.810660579664,0,0,14,0,5,567,524,3.7037666000014724,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
12,random,P4_route_only,14,14,1.0,,1060.392242227919,51972.45695595433,3,729,364,353,0,562,521,1.7853023999996367,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
13,edge,P4_current,16,16,1.0,,1228.1048973685267,78223.39178948222,1,235,154,139,0,593,546,2.7262637999992876,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
13,edge,P4_diagnostic_v1,16,16,1.0,,734.4181104844829,40733.448838758624,1,15,18,3,1,594,548,3.1297061999994185,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
13,edge,P4_diagnostic_v2,16,16,1.0,,734.910531481368,40752.84251850943,0,0,16,0,3,596,548,4.245977600001424,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
13,edge,P4_route_only,16,16,1.0,,730.72904438354,40338.32355068319,1,235,27,12,0,593,546,2.889608400000725,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
14,bias,P4_current,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.5714122999997926,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
14,bias,P4_diagnostic_v1,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.6452298999993218,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
14,bias,P4_diagnostic_v2,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.730495300000257,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
14,bias,P4_route_only,11,11,1.0,,1010.0734671253499,39464.04069189423,0,0,11,0,0,535,488,1.6751416999995854,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
15,cluster,P4_current,16,16,1.0,,657.3474355042118,35732.79484033691,1,57,16,1,0,556,511,1.619783500000267,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
15,cluster,P4_diagnostic_v1,16,16,1.0,,662.9570713792228,36151.565710337796,0,0,16,0,1,557,512,1.744099700001243,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
15,cluster,P4_diagnostic_v2,16,16,1.0,,661.0086168594125,35995.689348752974,0,0,16,0,1,557,512,2.058592299999873,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
15,cluster,P4_route_only,16,16,1.0,,663.644328147041,36041.54625176325,1,57,29,14,0,556,511,1.7574026999991474,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
16,random,P4_current,13,13,1.0,,904.0836719433994,43285.43867632097,1,15,15,3,0,513,460,2.1663776999994298,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
16,random,P4_diagnostic_v1,13,13,1.0,,906.0529194768586,43418.4397659958,0,0,13,0,1,514,460,2.2064217000006465,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
16,random,P4_diagnostic_v2,13,13,1.0,,906.0529194768586,43418.4397659958,0,0,13,0,1,514,460,2.5501870999996754,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
16,random,P4_route_only,13,13,1.0,,905.7040765454151,43360.76497545197,1,15,17,5,0,513,460,2.1068185999993148,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
17,edge,P4_current,15,15,1.0,,3201.0015571045174,210305.11678283816,5,1295,817,807,0,587,538,2.8986167999992176,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
17,edge,P4_diagnostic_v1,15,15,1.0,,935.3736319453295,50218.02239589969,1,325,142,128,11,598,541,3.870345500001349,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
17,edge,P4_diagnostic_v2,15,15,1.0,,916.3958080866752,48819.685606500585,1,325,142,128,10,597,541,6.93790860000081,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
17,edge,P4_route_only,15,15,1.0,,941.666924319192,48310.019323939385,5,1295,320,310,0,587,538,2.8992261000003055,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
18,bias,P4_current,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.4428597999994963,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
18,bias,P4_diagnostic_v1,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.580124500000238,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
18,bias,P4_diagnostic_v2,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.4282913000006374,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
18,bias,P4_route_only,16,16,1.0,,714.8250420630063,44771.003365040495,0,0,16,0,0,408,363,2.5264144000011584,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
19,cluster,P4_current,14,14,1.0,,759.8534780969718,35134.743466788015,1,308,14,1,0,598,551,1.3991863999999623,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
19,cluster,P4_diagnostic_v1,14,14,1.0,,766.8229338046142,35592.605366322976,0,0,14,0,1,599,552,1.4795821999996406,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
19,cluster,P4_diagnostic_v2,14,14,1.0,,766.8229338046142,35592.605366322976,0,0,14,0,1,599,552,1.6280288999987533,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
19,cluster,P4_route_only,14,14,1.0,,780.2267561749024,36170.87293224316,1,308,40,27,0,598,551,1.2566339000004518,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
