id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
18,development,strict_mixed_stratified,16,R12-R2,-105.4391691875,-33.46628469045795,-1687.026707,315.0608744375,True
19,development,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,901.358482,True
19,development,strict_mixed_stratified,10,R2-R0,-158.58495319999997,-17.59399355161335,-1585.8495320000002,901.358482,True
19,development,strict_mixed_stratified,10,R12-R0,-158.58495319999997,-17.59399355161335,-1585.8495320000002,901.358482,True
19,development,strict_mixed_stratified,10,R12-R1,-158.58495319999997,-17.59399355161335,-1585.8495320000002,901.358482,True
19,development,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,742.7735288,True
20,development,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,864.2036013636364,True
20,development,strict_mixed_stratified,11,R2-R0,-244.83200472727276,-28.33036154222797,-2693.1520520000004,864.2036013636364,True
20,development,strict_mixed_stratified,11,R12-R0,-244.83200472727276,-28.33036154222797,-2693.1520520000004,864.2036013636364,True
20,development,strict_mixed_stratified,11,R12-R1,-244.83200472727276,-28.33036154222797,-2693.1520520000004,864.2036013636364,True
20,development,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,619.3715966363636,True
21,development,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,710.0278724166666,True
21,development,strict_mixed_stratified,12,R2-R0,-206.0154070833333,-29.015115474570695,-2472.1848849999997,710.0278724166666,True
21,development,strict_mixed_stratified,12,R12-R0,-206.0154070833333,-29.015115474570695,-2472.1848849999997,710.0278724166666,True
21,development,strict_mixed_stratified,12,R12-R1,-206.0154070833333,-29.015115474570695,-2472.1848849999997,710.0278724166666,True
21,development,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,504.0124653333333,True
22,development,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,644.4936147692308,True
22,development,strict_mixed_stratified,13,R2-R0,-141.35238784615393,-21.932317808418777,-1837.5810420000007,644.4936147692308,True
22,development,strict_mixed_stratified,13,R12-R0,-141.35238784615393,-21.932317808418777,-1837.5810420000007,644.4936147692308,True
22,development,strict_mixed_stratified,13,R12-R1,-141.35238784615393,-21.932317808418777,-1837.5810420000007,644.4936147692308,True
22,development,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,503.1412269230769,True
23,development,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,690.9946387857143,True
23,development,strict_mixed_stratified,14,R2-R0,-169.05664971428575,-24.465696291272128,-2366.7930960000003,690.9946387857143,True
23,development,strict_mixed_stratified,14,R12-R0,-169.05664971428575,-24.465696291272128,-2366.7930960000003,690.9946387857143,True
23,development,strict_mixed_stratified,14,R12-R1,-169.05664971428575,-24.465696291272128,-2366.7930960000003,690.9946387857143,True
23,development,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,521.9379890714285,True
24,development,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,570.862972,True
24,development,strict_mixed_stratified,15,R2-R0,-124.81064206666667,-21.86350283490916,-1872.1596309999995,570.862972,True
24,development,strict_mixed_stratified,15,R12-R0,-124.81064206666667,-21.86350283490916,-1872.1596309999995,570.862972,True
24,development,strict_mixed_stratified,15,R12-R1,-124.81064206666667,-21.86350283490916,-1872.1596309999995,570.862972,True
24,development,strict_mixed_stratified,15,R12-R2,0.0,0.0,0.0,446.05232993333334,True
25,development,strict_mixed_stratified,16,R1-R0,-17.462382875000003,-3.4938259849286815,-279.39812600000005,499.8068865,True
