id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks
296,stress,high_directional,R0,FULL_CLEAR,,16,16,9450.111988,590.63199925,590.63199925,33460.559938531784,452,418,16,0,3.236149199990905,public_max_cleared,user_exit,0,3,15,cecc9ef17a05ad39aeadee87e74a3a3a100501e03b37c61f06969d891b9d0259,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,6933.921314,839.2567460000005,317.15218299999924,0.0,1359.7817450000007,848.0,9076.691467,567.2932166875,9382.32773,163.02772100000038,0,9,0,33,439,4328.921314,2195.0,410.0,36.0,180.0,35.0,271.0,1355.0,270.0,132.0,660.0,105.0,True,True,False,9076.691467,14,2,373.420521,81
296,stress,high_directional,R1,FULL_CLEAR,,16,16,9451.668336,590.729271,590.729271,33633.34167108454,447,410,16,0,3.706328600004781,public_max_cleared,user_exit,0,3,15,cecc9ef17a05ad39aeadee87e74a3a3a100501e03b37c61f06969d891b9d0259,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,6770.893593,1135.2210439999994,317.15218299999924,0.0,1228.4015160000022,848.0,9076.691467,567.2932166875,9076.691467,0,0,0,0,32,430,4218.893593,2150.0,402.0,34.0,170.0,33.0,271.0,1355.0,270.0,125.0,625.0,99.0,True,True,True,9076.691467,14,2,374.9768690000001,83
296,stress,high_directional,R2,FULL_CLEAR,,16,16,8025.766105,501.6103815625,501.6103815625,29353.83052975027,351,320,16,0,3.798685200003092,public_max_cleared,user_exit,0,6,15,cecc9ef17a05ad39aeadee87e74a3a3a100501e03b37c61f06969d891b9d0259,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,5042.259178,1659.4284840000005,511.3381119999999,0.0,812.7403309999984,998.0,7120.370052,445.02312825,7567.325439,263.6997590000001,0,15,0,25,324,3114.259178000001,1620.0,308.0,24.0,120.0,24.0,200.0,1000.0,199.0,100.0,500.0,85.0,True,True,False,7120.370052,14,2,905.3960529999995,83
296,stress,high_directional,R12,FULL_CLEAR,,16,16,7721.402361,482.5876475625,482.5876475625,28252.011811095967,337,306,16,0,3.510499099997105,public_max_cleared,user_exit,0,7,15,cecc9ef17a05ad39aeadee87e74a3a3a100501e03b37c61f06969d891b9d0259,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,4778.559419,1512.0751260000002,599.269683,0.0,831.4981329999994,998.0,7120.370052,445.02312825,7120.370052,0,0,0,0,23,309,2939.559419000001,1545.0,294.0,21.0,105.0,21.0,200.0,1000.0,199.0,88.0,440.0,74.0,True,True,True,7120.370052,14,2,601.0323090000002,81
297,stress,all_omni,R0,FULL_CLEAR,,16,16,7103.080902,443.942556375,443.942556375,24850.404511512985,346,323,16,0,3.696851400003652,public_max_cleared,user_exit,0,0,0,b1ac33230eb212aeeb4ecb009004a19d7bd1553d8577fde5ed4d8ce1d9afdaa2,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,4829.982585000001,1604.5063049999992,0.0,0.0,668.5920120000004,583.0,6849.989403,428.1243376875,7042.989403,193.0,0,9,0,27,327,2883.982585,1635.0,311.0,12.0,60.0,12.0,207.0,1035.0,206.0,108.0,540.0,93.0,True,True,False,6849.989403,15,1,253.0914990000001,63
297,stress,all_omni,R1,FULL_CLEAR,,16,16,7032.817279,439.5510799375,439.5510799375,24714.08639990074,339,315,16,0,3.7437711999955354,public_max_cleared,user_exit,0,0,0,b1ac33230eb212aeeb4ecb009004a19d7bd1553d8577fde5ed4d8ce1d9afdaa2,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,4636.982585000001,1766.9030839999998,0.0,0.0,628.93161,583.0,6849.989403,428.1243376875,6849.989403,0,0,0,0,26,318,2743.982585,1590.0,303.0,11.0,55.0,11.0,207.0,1035.0,206.0,100.0,500.0,86.0,True,True,True,6849.989403,15,1,182.8278760000003,64
297,stress,all_omni,R2,FULL_CLEAR,,16,16,6163.223995,385.2014996875,385.2014996875,21411.119978826635,304,281,16,0,3.7812204000074416,public_max_cleared,user_exit,0,0,0,b1ac33230eb212aeeb4ecb009004a19d7bd1553d8577fde5ed4d8ce1d9afdaa2,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,3886.743970000001,1667.5280859999996,0.0,0.0,608.9519389999997,384.0,4616.333414,288.520838375,5990.457905,1188.8327990000007,0,37,0,24,280,2218.743970000001,1400.0,268.0,26.0,130.0,26.0,158.0,790.0,157.0,96.0,480.0,85.0,True,True,False,4616.333414,13,3,1546.8905810000006,82
297,stress,all_omni,R12,FULL_CLEAR,,16,16,5729.491397,358.0932123125,358.0932123125,20142.45699146487,274,251,16,0,4.670521699998062,public_max_cleared,user_exit,0,1,0,b1ac33230eb212aeeb4ecb009004a19d7bd1553d8577fde5ed4d8ce1d9afdaa2,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,2697.911171,1860.8135379999987,705.8651,0.0,464.90158800000074,384.0,4616.333414,288.520838375,4616.333414,0,0,0,0,18,243,1246.9111710000002,1215.0,236.0,17.0,85.0,17.0,158.0,790.0,157.0,68.0,340.0,62.0,True,True,True,4616.333414,13,3,1113.157983,80
298,stress,all_directional,R0,FULL_CLEAR,,16,16,9256.847442,578.552965125,578.552965125,30419.237219575694,521,488,16,0,2.771868700001505,public_max_cleared,user_exit,0,1,16,e5f8d3ff263101bea22dd21ca82dfab21de55315a2dfd5e732d23541e669a5a7,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,7549.616302999998,566.7198790000002,116.18550999999934,0.0,1024.3257500000027,1372.0,8961.532777,560.0957985625,9212.522676,250.98989900000015,0,9,0,37,513,4502.616302999998,2565.0,482.0,28.0,140.0,28.0,337.0,1685.0,336.0,148.0,740.0,118.0,True,True,False,8961.532777,15,1,295.3146649999999,68
298,stress,all_directional,R1,FULL_CLEAR,,16,16,9270.731895,579.4207434375,579.4207434375,30703.65948264791,514,480,16,0,2.7956167999946047,public_max_cleared,user_exit,0,1,16,e5f8d3ff263101bea22dd21ca82dfab21de55315a2dfd5e732d23541e669a5a7,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,7298.626403999998,865.8505750000004,116.18550999999934,0.0,990.0694060000033,1372.0,8961.532777,560.0957985625,8961.532777,0,0,0,0,36,504,4304.626403999998,2520.0,474.0,27.0,135.0,27.0,337.0,1685.0,336.0,140.0,700.0,111.0,True,True,True,8961.532777,15,1,309.19911800000045,69
298,stress,all_directional,R2,FULL_CLEAR,,16,16,10771.555315,673.2222071875,673.2222071875,41222.776596409014,414,377,16,0,5.685825900000054,public_max_cleared,user_exit,0,13,16,e5f8d3ff263101bea22dd21ca82dfab21de55315a2dfd5e732d23541e669a5a7,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,5452.416820000001,2185.202220000001,2227.8211439999995,0.0,906.115130999998,1160.982143,8598.275551,537.3922219375,8622.275551,24.0,0,4,0,25,378,3201.4168200000013,1890.0,361.0,43.0,215.0,43.0,235.0,1175.0,234.0,100.0,500.0,84.0,True,True,False,8598.275551,12,4,2173.279763999999,111
298,stress,all_directional,R12,FULL_CLEAR,,16,16,10747.555315,671.7222071875,671.7222071875,41222.776596409014,410,373,16,0,5.986878700001398,public_max_cleared,user_exit,0,13,16,e5f8d3ff263101bea22dd21ca82dfab21de55315a2dfd5e732d23541e669a5a7,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,5428.416820000001,2185.202220000001,2227.8211439999995,0.0,906.115130999998,1160.982143,8598.275551,537.3922219375,8598.275551,0,0,0,0,25,374,3201.4168200000013,1870.0,357.0,43.0,215.0,43.0,235.0,1175.0,234.0,96.0,480.0,80.0,True,True,True,8598.275551,12,4,2149.279763999999,111
