time_s,r_m,Ta_K,Ca_kgkg,Tb_K,Cb_kgkg,abs_dT_K,abs_dC_kgkg
540.0,0.0,301.48290233431806,2.549999999998474,301.4814935506662,2.55,0.0014087836518683616,1.5258905250448151e-12
540.0,0.0001,301.48293036090723,2.5499999999984087,301.4815215036747,2.55,0.001408857232547689,1.5911716388927744e-12
540.0,0.0005,301.48360299904783,2.5499999999968486,301.4822700231238,2.549999999999999,0.0013329759240150452,3.150368854676344e-12
540.0,0.001,301.48601639978375,2.5499999999912504,301.4842905872354,2.5499999999999874,0.0017258125483294862,8.737011114590132e-12
540.0,0.005,301.55417831528746,2.549999990403018,301.5529509781845,2.5499999996906695,0.0012273371029323243,9.28765153673794e-09
540.0,0.01,301.7898231674358,2.549971562222159,301.7887984362661,2.54999197275746,0.0010247311697071382,2.0410535300996457e-05
540.0,0.015,302.2488140014524,2.535755009843922,302.2478931437902,2.538633586678783,0.0009208576622086184,0.002878576834860702
540.0,0.019,302.8409621593849,2.179005881089938,302.84007174727145,2.1870880098790537,0.0008904121134492016,0.008082128789115739
540.0,0.0195,302.93072638384444,2.0659148701504617,302.93210369219287,2.059703084984033,0.0013773083484238668,0.006211785166428729
540.0,0.02,303.0296192427894,1.901268118949204,303.02874201452636,1.9050269182391502,0.0008772282630502559,0.0037587992899461575
600.0,0.0,301.60550445924997,2.549999999990346,301.6039690238409,2.549999999999956,0.0015354354090959532,9.609646411945505e-12
600.0,0.0001,301.60553696768244,2.5499999999900567,301.6040014660854,2.5499999999999545,0.001535501597061284,9.897860309138196e-12
600.0,0.0005,301.6063171700614,2.549999999983111,301.6048701972997,2.549999999999913,0.0014469727616983619,1.680167116546727e-11
600.0,0.001,301.60911650730094,2.5499999999581897,301.6072148265624,2.5499999999997573,0.0019016807385128232,4.156763822038556e-11
600.0,0.005,301.6877830342606,2.549999969555074,301.68647004784407,2.5499999983436643,0.0013129864165080107,2.8788590178407958e-08
600.0,0.01,301.9554046271354,2.5499433483080134,301.9543101859159,2.549980059794669,0.001094441219493092,3.671148665551627e-05
600.0,0.015,302.46716705778766,2.5310182269636154,302.466229380375,2.5341843339900594,0.000937677412650828,0.0031661070264439317
600.0,0.019,303.1141681782077,2.1507396391568587,303.11340161303497,2.1582407937511965,0.0007665651727393197,0.0075011545943377556
600.0,0.0195,303.21085008810155,2.035948289606365,303.2122526842197,2.0299753374917584,0.0014025961181687308,0.005972952114606578
600.0,0.02,303.31618570572414,1.8727878088158978,303.31546825951614,1.8759767817488022,0.0007174462080001831,0.0031889729329044325
660.0,0.0,301.74574019018735,2.5499999999533527,301.74407739950556,2.5499999999994545,0.0016627906817916482,4.61017890529547e-11
660.0,0.0001,301.74577697062256,2.54999999995228,301.7441141137203,2.5499999999994425,0.0016628569022714146,4.716227408607665e-11
660.0,0.0005,301.74665970106753,2.5499999999265284,301.74509723880453,2.5499999999991267,0.001562462262995723,7.259837175865869e-11
660.0,0.001,301.74982690521045,2.5499999998341334,301.7477503678495,2.5499999999979943,0.00207653736094926,1.638609248288958e-10
660.0,0.005,301.83860449333565,2.5499999161933715,301.8371990722277,2.549999993038206,0.0014054211079610468,7.68448344956596e-08
660.0,0.01,302.1377896586019,2.549896827020054,302.1366357614336,2.5499568537630024,0.001153897168308049,6.002674294824928e-05
660.0,0.015,302.7022271731207,2.5256770392404704,302.7011781803001,2.5290657892831696,0.0010489928206425247,0.003388750042699229
660.0,0.019,303.4147983889376,2.1239828444767994,303.41379942642163,2.130996596940255,0.0009989625159505522,0.0070137524634557025
660.0,0.0195,303.5219816092695,2.0078427269987325,303.5235731279238,2.0020894190256056,0.0015915186542656556,0.005753307973126898
660.0,0.02,303.63958001702434,1.8460654665413865,303.6386021015757,1.8487821962557218,0.0009779154486295738,0.002716729714335342
720.0,0.0,301.9031601858495,2.549999999815057,301.9013659843723,2.5499999999961895,0.0017942014771961112,1.8113244237838444e-10
720.0,0.0001,301.90320119605224,2.5499999998116323,301.9014069249276,2.549999999996121,0.0017942711246519139,1.844888686264312e-10
720.0,0.0005,301.9041854409175,2.5499999997294407,301.9025032220182,2.5499999999942906,0.0016822188993046439,2.64849919773269e-10
720.0,0.001,301.9077168750405,2.5499999994345393,301.90546160189797,2.5499999999879552,0.0022552731425093953,5.534159797093707e-10
720.0,0.005,302.00655615785115,2.5499997945300823,302.005047035433,2.549999975875398,0.0015091224181560392,1.8134531565294765e-07
720.0,0.01,302.337984618651,2.5498252676476953,302.3367557421294,2.5499162390338483,0.0012288765215657804,9.097138615299372e-05
720.0,0.015,302.95709816389615,2.5197913618063064,302.9561252600419,2.523346089040106,0.0009729038542332091,0.0035547272337996816
720.0,0.019,303.71702474425297,2.0985692851118856,303.71634792237,2.105169095016519,0.0006768218829620309,0.006599809904633602
720.0,0.0195,303.8287040458675,1.9813523191087667,303.830221551632,1.9758019096239983,0.00151750576452514,0.0055504094847684815
720.0,0.02,303.949077781972,1.8208816011945939,303.9484787074205,1.8231960882751517,0.0005990745514736773,0.0023144870805578144
780.0,0.0,302.07788831121496,2.5499999993729126,302.07595687880394,2.549999999979434,0.00193143241102689,6.065214996908708e-10
780.0,0.0001,302.0779336207578,2.5499999993632634,302.07600212263407,2.5499999999791174,0.0019314981237243956,6.158540344358698e-10
780.0,0.0005,302.0790210497849,2.5499999991316766,302.07721365186325,2.5499999999706304,0.0018073979216524094,8.389537953235049e-10
780.0,0.001,302.082922704859,2.549999998300753,302.08048281467967,2.5499999999420453,0.0024398901793460936,1.6412924352948721e-09
780.0,0.005,302.19194438673946,2.549999542388448,302.19034665996514,2.5499999285101396,0.0015977267743210177,3.8612169150908926e-07
780.0,0.01,302.554629701415,2.549721242669559,302.5533961797398,2.5498509130470466,0.0012335216752035194,0.00012967037748756738
780.0,0.015,303.22005462236746,2.5134212277427794,303.21908039410914,2.517094001637898,0.0009742282583147244,0.003672773895118553
780.0,0.019,304.0251708850794,2.0743613323746546,304.0243781940583,2.0806056176292858,0.0007926910211040195,0.006244285254631166
780.0,0.0195,304.1434219429618,1.9562830243372031,304.14503327708945,1.9509211619696623,0.0016113341276309257,0.005361862367540882
780.0,0.02,304.27128075782394,1.7970524817935754,304.2705348689206,1.7990207573996482,0.0007458889033387095,0.0019682756060728224
840.0,0.0,302.2696889634138,2.549999998129094,302.26764636805973,2.5499999999088616,0.0020425953540552655,1.779767444531899e-09
840.0,0.0001,302.26973834562364,2.549999998104619,302.2676956930519,2.5499999999076373,0.002042652571731196,1.8030181792028088e-09
840.0,0.0005,302.27092351866014,2.549999997517215,302.2690165067309,2.549999999874852,0.001907011929233704,2.3576367524924535e-09
840.0,0.001,302.2751758756198,2.5499999954096317,302.2725803003535,2.549999999766978,0.002595575266298056,4.3573464836299536e-09
840.0,0.005,302.3937528169929,2.549999059914004,302.3920893951122,2.5499998137169917,0.0016634218807212164,7.538029875853169e-07
840.0,0.01,302.7851334796012,2.5495769081609594,302.7838884710786,2.549752714197184,0.0012450085225736984,0.00017580603622446844
840.0,0.015,303.49284333600883,2.5066243068768146,303.4919644882642,2.51037542836917,0.0008788477446159959,0.003751121492355569
840.0,0.019,304.32846176099736,2.051243535399298,304.327917708039,2.0571792875521675,0.000544052958332486,0.005935752152869345
840.0,0.0195,304.44912955895455,1.9324781336648862,304.4506639300979,1.927292493391028,0.0015343711433501994,0.00518564027385815
