id,variant,channel,adopted,saving_us,planning_wall_s
16,A,13,True,2723072,0.0300615000014659
16,A,8,True,1132199,0.08250849999603815
16,A,16,True,2021979,0.028889100009109825
16,A,17,True,2613102,0.036720999982208014
16,A,3,True,1841633,0.02892240000073798
16,A,4,True,658353,0.10251640001661144
16,A,7,True,173797,0.0318451999919489
16,A,1,True,650791,0.028656400012550876
16,B,5,True,1636201,0.0859065999975428
16,B,9,True,805579,0.026407700002891943
16,B,13,True,2884371,0.0230833999812603
16,B,7,True,1456841,0.09125310002127662
16,B,16,True,1599234,0.02122969998163171
16,B,10,True,2057181,0.02517069998430088
16,B,19,True,1410600,0.025764799996977672
16,B,14,True,538615,0.024599900003522635
16,B,17,True,1125883,0.02751459999126382
16,B,3,True,2090874,0.02800829999614507
16,B,8,True,3296459,0.022843999991891906
16,B,4,True,2500397,0.022356899979058653
16,B,1,True,635250,0.022644199983915314
17,A,8,True,4169000,0.11974999998346902
17,A,6,True,6109071,0.02264760000980459
17,A,2,True,15498,0.09258470000349917
17,A,1,True,1137918,0.023632700002053753
17,A,4,True,978067,0.019991699984529987
17,A,7,True,1143850,0.10067969997180626
17,A,17,True,545176,0.023134300019592047
17,A,3,True,1352610,0.024221599975135177
17,A,12,True,643998,0.039817499986384064
17,A,10,True,2488869,0.1279705000051763
17,A,18,True,3758897,0.030338099983055145
17,A,13,True,1255822,0.026930900028673932
17,B,4,True,2721172,0.0985567000170704
17,B,7,True,36670,0.09946960001252592
17,B,8,True,2584511,0.021838400018168613
17,B,6,True,4030407,0.01986070000566542
17,B,13,True,2777754,0.021972999995341524
17,B,2,True,2383350,0.025005700008478016
17,B,1,True,1670004,0.022459099971456453
17,B,10,True,2439348,0.02900399998179637
17,B,17,True,2461461,0.031569199985824525
17,B,3,True,4965221,0.02909719999297522
17,B,18,True,2167921,0.09416219999548048
17,B,12,True,2685304,0.02394579999963753
18,A,8,True,1942462,0.03336230001877993
18,A,14,True,1818369,0.040750700019998476
18,A,18,True,1739616,0.13213319997885264
18,A,1,True,2395575,0.04157349996967241
18,A,3,True,1119554,0.05027080001309514
18,A,4,True,4214268,0.03523099998710677
18,A,20,True,155917,0.0973701000039
18,A,9,True,2707162,0.03411750003579073
18,A,13,True,14391,0.03290620000916533
18,A,2,True,4212576,0.10693619996891357
18,A,16,True,1577207,0.029105199995683506
18,A,11,True,29940,0.02515739999944344
18,B,4,True,1482963,0.11200769999413751
18,B,6,True,2007470,0.03324839999550022
18,B,20,True,1504468,0.09653869998874143
18,B,9,True,295416,0.0333223000052385
18,B,3,True,127206,0.12037250000867061
18,B,1,True,2195969,0.10076249999110587
18,B,19,True,5619878,0.025356600002851337
18,B,18,True,3239069,0.030010600021341816
18,B,14,True,2908805,0.025766999984625727
18,B,13,True,462035,0.09526519998325966
18,B,8,True,1654776,0.01959420001367107
18,B,16,True,3471739,0.09749349998310208
18,B,2,True,1933417,0.020594999979948625
18,B,11,True,3574453,0.022501500003272668
19,A,3,True,4496186,0.09967219998361543
19,A,1,True,1925817,0.03829180001048371
19,A,14,True,232628,0.11915360001148656
19,A,19,True,1660321,0.03519429999869317
19,A,9,True,23,0.1179128999938257
19,A,15,True,997094,0.03237440000521019
19,A,4,True,2074510,0.11367980000795797
19,A,20,True,6577219,0.03608699998585507
19,A,5,True,2700440,0.0392578000028152
19,A,7,True,993095,0.035220000019762665
19,A,12,True,2190318,0.029758699994999915
19,A,18,True,1274423,0.029239099996630102
19,A,6,True,360618,0.02645699999993667
19,A,2,True,342633,0.026740500034065917
19,B,15,True,2479590,0.1070021000050474
19,B,9,True,5782978,0.033128099981695414
19,B,19,True,724271,0.04167900001630187
19,B,14,True,783590,0.1004716000170447
19,B,1,True,1332335,0.03256449999753386
19,B,3,True,2381835,0.034640800004126504
19,B,12,True,68236,0.03363859999808483
19,B,6,True,3970864,0.030824100016616285
19,B,2,True,2800341,0.06175920003443025
19,B,5,True,2671133,0.03205760003766045
19,B,4,True,1940452,0.027654999983496964
19,B,7,True,166042,0.027849400008562952
19,B,10,True,878682,0.028042799996910617
19,B,18,True,950126,0.021247199998470023
20,A,13,True,3149982,0.04129049999755807
20,A,3,True,3892757,0.029934799997135997
20,A,8,True,1034789,0.11808459999156184
20,A,4,True,2716760,0.04168829999980517
20,A,15,True,7,0.10698969999793917
20,A,9,True,2221452,0.10794629997690208
20,A,2,True,1592937,0.11155009997310117
20,A,7,True,137151,0.03586079998058267
20,A,19,True,4684503,0.0352773999911733
20,A,16,True,722428,0.02803779998794198
20,A,5,True,747623,0.08408809997490607
20,A,1,True,2575833,0.08653930001310073
20,A,10,True,269235,0.11038170001120307
20,A,14,True,2612017,0.01701340000727214
20,B,3,True,1513333,0.10265410001738928
20,B,4,True,2660224,0.023302300018258393
20,B,15,True,1784508,0.10575820002122782
20,B,1,True,4808613,0.029275599983520806
20,B,2,True,146246,0.16151790000731125
20,B,5,True,52384,0.03321729996241629
20,B,13,True,228384,0.03521949998685159
20,B,18,True,2095405,0.02923190000001341
20,B,14,True,3343085,0.0940633000282105
20,B,19,True,18691,0.1051580999919679
20,B,16,True,2093578,0.0992201000044588
20,B,9,True,1505519,0.07414369998150505
20,B,20,True,2076269,0.08740939997369424
