id,N,A_s_per_source,B_s_per_source,delta_s_per_source,delta_game_s,A_failed_clears,B_failed_clears
24,13,497.04684969230766,497.6046041538462,0.5577544615385364,7.2508080000006885,0,0
25,14,539.0227946428571,510.28066135714283,-28.74213328571426,-402.38986600000044,0,0
26,12,634.7573615,588.1565615000001,-46.600799999999936,-559.2095999999992,0,0
27,14,488.1798267857143,470.2669824285714,-17.912844357142887,-250.77982100000008,0,0
28,14,593.1163126428571,518.0638435,-75.05246914285715,-1050.734567999999,0,0
29,16,365.0940235,373.1264720625,8.032448562500008,128.51917700000013,0,0
30,13,557.5698757692307,545.9459176923077,-11.623958076923032,-151.1114549999993,0,0
31,14,524.7057520714286,489.1471776428571,-35.55857442857149,-497.8200420000003,0,0
32,10,680.7344056,593.5369991,-87.19740649999994,-871.9740650000003,0,0
33,10,709.3931123,782.0298454,72.63673310000001,726.3673309999995,0,0
34,13,487.1466587692308,505.63833107692307,18.491672307692284,240.39174000000003,0,0
35,14,499.9569727142857,411.3056542857143,-88.65131842857141,-1241.118458,0,0
36,16,418.027134875,374.9853844375,-43.04175043750001,-688.6680070000002,0,0
37,15,474.79383006666666,420.56815973333335,-54.22567033333331,-813.3850549999997,0,0
38,10,645.8839863000001,641.0205533999999,-4.863432900000134,-48.634329000000434,0,0
39,11,653.4275483636364,681.4262843636363,27.998735999999894,307.98609599999963,0,0
40,16,385.14631375,363.391876875,-21.75443687500001,-348.07099000000017,0,0
41,15,467.0770277333333,432.6401572666667,-34.43687046666662,-516.5530569999992,0,0
42,10,722.0765166,683.2920874,-38.78442919999998,-387.84429199999977,0,0
43,14,484.08997292857146,522.8210762857143,38.73110335714284,542.235447,0,0
44,11,648.0097378181819,577.6630733636364,-70.34666445454548,-773.8133090000001,0,0
45,11,616.9401379090909,613.9594128181818,-2.980725090909118,-32.78797599999962,0,0
46,11,636.7036622727272,621.066341,-15.637321272727263,-172.010534,0,0
47,10,746.5662076,663.1565704,-83.40963720000002,-834.096372,0,0
48,15,481.71542366666665,391.3895958,-90.32582786666666,-1354.8874180000003,0,0
49,12,627.4192429999999,594.30724375,-33.11199924999994,-397.34399099999973,0,0
50,15,444.61499399999997,437.44036520000003,-7.174628799999937,-107.6194319999995,0,0
51,11,648.1977389090908,599.5542385454545,-48.64350036363635,-535.0785040000001,0,0
52,10,711.0433998999999,652.1804562,-58.86294369999996,-588.6294369999996,0,0
53,13,544.3890901538462,495.58962115384617,-48.79946899999999,-634.3930970000001,0,0
54,10,788.800847,639.3278086,-149.47303839999995,-1494.7303839999995,0,0
55,12,555.1935912499999,514.0343523333333,-41.159238916666595,-493.9108669999996,0,0
56,16,422.8722125625,403.76516925,-19.107043312500025,-305.7126930000004,0,0
57,14,520.1772444285714,453.0233287142857,-67.15391571428569,-940.1548199999997,7,0
58,16,417.1556394375,381.3586960625,-35.79694337500001,-572.7510940000002,0,0
59,16,500.0603824375,415.9533133125,-84.10706912500001,-1345.7131060000002,0,0
60,11,652.7679587272728,637.9598344545454,-14.808124272727355,-162.88936700000068,0,0
61,12,539.9371644166666,485.49941541666664,-54.437749,-653.2529880000002,0,0
62,12,630.999273,611.0738729999999,-19.92540000000008,-239.10480000000007,0,0
63,16,366.20271175,379.5946365625,13.391924812500008,214.27079700000013,0,0
64,14,500.39644585714285,492.14389114285717,-8.25255471428568,-115.53576599999997,0,0
65,10,660.5224094,690.4262404,29.90383099999997,299.0383099999999,0,0
66,13,544.3726684615384,474.72505584615385,-69.64761261538456,-905.4189639999995,0,0
67,11,630.8656563636364,598.1785866363635,-32.68706972727284,-359.55776700000024,0,0
68,12,587.6325496666667,532.2844680833333,-55.348081583333396,-664.1769789999998,0,0
69,16,413.135032125,425.947895625,12.812863499999992,205.00581599999987,0,0
70,14,499.2125190714286,551.9260296428572,52.71351057142863,737.9891480000006,0,0
71,12,652.2860685833333,597.2702880833333,-55.015780500000005,-660.1893660000005,4,0
72,15,481.16753873333334,453.8938288,-27.27370993333335,-409.1056490000001,0,0
73,12,652.9489036666666,581.328886,-71.62001766666663,-859.4402119999995,0,0
74,15,494.36146326666665,457.9788198,-36.38264346666665,-545.7396519999993,0,0
75,14,477.5753957142857,502.91738464285714,25.341988928571425,354.78784499999983,0,0
76,12,544.60463475,539.3511040833333,-5.25353066666662,-63.04236799999944,0,0
77,12,565.5940735833334,522.5991441666666,-42.994929416666764,-515.9391530000003,0,0
78,10,748.3672277,672.8902279,-75.47699979999993,-754.7699979999998,0,0
79,14,514.8248325714286,535.9429913571429,21.118158785714286,295.65422300000046,0,0
80,16,394.62023375,264.238226,-130.38200775,-2086.112124,0,0
81,11,641.9387206363637,610.6311968181818,-31.307523818181835,-344.3827620000002,0,0
82,16,396.54207075,337.9333934375,-58.60867731249999,-937.7388369999999,0,0
83,12,567.1196065,608.9577728333334,41.838166333333334,502.05799600000046,0,0
84,11,594.0067253636363,559.4969388181818,-34.50978654545452,-379.6076519999997,0,0
85,10,682.2800711,666.1376216,-16.142449499999998,-161.4244950000002,0,0
86,11,594.6221297272727,579.1020212727273,-15.520108454545493,-170.7211929999994,0,0
87,11,589.6406624545455,591.8970479090909,2.256385454545466,24.820240000000013,0,0
88,14,548.0526827857143,533.2559727142857,-14.796710071428606,-207.1539410000005,9,0
89,16,371.3738295,340.91047075,-30.463358749999998,-487.41373999999996,0,0
90,11,676.9513992727273,740.6981280909091,63.74672881818185,701.2140170000002,0,0
91,15,433.3000866666667,443.4714914,10.171404733333304,152.5710710000003,0,0
92,11,668.7477904545455,634.1628771818182,-34.58491327272725,-380.4340460000003,3,0
93,12,560.0300854166667,506.52581575,-53.50426966666669,-642.0512360000002,0,0
94,15,478.63800253333335,485.0524925333333,6.414489999999944,96.2173499999999,0,0
95,16,222.3167084375,349.143122875,126.8264144375,2029.222631,0,0
96,13,492.596451,561.2597009230769,68.66324992307693,892.622249,0,0
97,11,655.5884084545455,595.9812525454546,-59.60715590909092,-655.678715,0,0
98,16,341.3294673125,341.0333876875,-0.2960796250000044,-4.73727400000007,0,0
99,15,497.04099973333336,565.8060594666666,68.76505973333326,1031.475896,0,0
100,12,583.6784695833334,520.788498,-62.88997158333336,-754.6796590000004,0,0
101,10,685.5317936,639.8611557,-45.670637899999974,-456.7063790000002,0,0
102,16,409.2204815625,311.9703990625,-97.25008250000002,-1556.0013200000003,0,0
103,11,631.229093,576.313481,-54.91561200000001,-604.0717320000003,0,0
104,16,365.463124125,412.7296511875,47.26652706250002,756.2644330000003,0,0
105,15,471.8215216,443.3303401333333,-28.49118146666666,-427.36772199999996,0,0
106,16,454.6231225625,404.156218875,-50.46690368750001,-807.4704590000001,0,0
107,11,667.2479282727273,642.5829667272727,-24.664961545454616,-271.3145770000001,0,0
108,15,413.2888339333333,407.56322453333337,-5.725609399999939,-85.88414099999954,0,0
109,13,530.8746076153847,538.3079925384616,7.433384923076915,96.63400399999955,0,0
110,15,494.0669691333333,475.65923533333336,-18.40773379999996,-276.1160069999996,1,0
111,12,576.5236401666667,539.6822285,-36.84141166666677,-442.09694000000036,0,0
112,11,658.4928626363636,625.6531734545455,-32.83968918181813,-361.2365810000001,0,0
113,13,542.5224056923078,513.3517165384616,-29.170689153846183,-379.2189589999998,0,0
114,13,541.4145454615384,532.2194402307692,-9.195105230769173,-119.53636800000004,0,0
115,12,566.869727,509.18680075,-57.68292625000004,-692.1951150000004,0,0
116,16,399.430020875,375.3610416875,-24.06897918750002,-385.1036670000003,0,0
117,13,496.55902984615386,500.25811538461534,3.6990855384614747,48.088111999999455,0,0
118,12,614.5617588333333,622.6709114166666,8.109152583333298,97.30983099999958,0,0
119,15,438.92406853333335,397.3857372666667,-41.53833126666666,-623.0749690000002,0,0
120,14,502.8767255714286,518.6989263571429,15.822200785714301,221.5108110000001,9,0
121,11,686.2002481818182,578.7519110909091,-107.44833709090915,-1181.931708,0,0
122,11,621.9317399090909,574.3760282727272,-47.55571163636364,-523.1128279999994,0,0
123,11,625.554282,550.7540718181818,-74.8002101818181,-822.8023119999998,0,0
124,12,584.1408681666667,524.2704424166667,-59.87042574999998,-718.4451090000002,0,0
125,10,732.7150577,705.4105152,-27.304542500000025,-273.04542500000025,61,0
126,12,584.584318,638.9594344999999,54.375116499999876,652.5013979999994,0,0
127,15,465.73860626666664,440.2526804666667,-25.48592579999996,-382.2888869999997,0,0
128,11,631.7889072727273,579.0282071818182,-52.760700090909154,-580.3677010000001,0,0
129,13,606.7431799230769,516.1184808461538,-90.6246990769231,-1178.1210879999999,0,0
130,14,542.4749625714286,479.3406144285714,-63.134348142857164,-883.8808739999995,4,0
131,11,611.4361979090909,560.8306807272728,-50.60551718181807,-556.6606889999994,0,0
132,12,518.9527583333333,510.03557300000006,-8.917185333333293,-107.00622399999975,0,0
133,10,737.4920275000001,729.8279348,-7.664092700000083,-76.64092700000037,0,0
134,15,499.50147646666665,482.62681133333336,-16.87466513333328,-253.11997699999938,0,0
135,15,491.9927502666667,443.3910899333333,-48.60166033333337,-729.0249050000002,0,0
136,14,563.6823607142858,525.1052570714286,-38.577103642857196,-540.0794510000005,0,0
137,10,675.8217291,622.8273476,-52.99438149999992,-529.9438149999996,0,0
138,14,489.18256,435.61443164285714,-53.56812835714288,-749.9537970000001,0,0
139,15,462.85124559999997,469.87746020000003,7.02621460000006,105.3932190000005,0,0
140,13,523.7084996153847,522.5410388461539,-1.167460769230729,-15.176989999999932,0,0
141,11,678.057845,569.8163152727274,-108.24152972727268,-1190.6568269999998,0,0
142,15,531.0983527333333,544.6671126666666,13.568759933333354,203.53139900000042,0,0
143,13,585.0089784615385,540.133274076923,-44.87570438461546,-583.3841570000004,0,0
144,15,454.6291568,414.48144606666665,-40.14771073333333,-602.2156610000002,0,0
145,14,526.657924,477.0664465,-49.591477499999996,-694.2806850000006,0,0
146,15,492.2031922,423.78472793333333,-68.41846426666666,-1026.2769640000006,0,0
147,15,454.22178986666665,487.7016984,33.479908533333344,502.1986280000001,0,0
148,12,707.8562924166666,544.981962,-162.87433041666668,-1954.4919649999993,0,0
149,14,565.1197130714286,495.432574,-69.68713907142859,-975.6199470000001,0,0
150,15,445.3376166,495.50981113333336,50.17219453333337,752.5829180000001,0,0
151,16,344.971714125,351.5730316875,6.6013175625000144,105.62108100000023,0,0
152,14,517.8269147142857,540.0386535,22.21173878571426,310.96434299999964,7,0
153,11,664.2296441818181,608.0769001818181,-56.152743999999984,-617.6801839999998,0,0
154,10,708.3561856,643.793316,-64.5628696,-645.6286960000007,0,0
155,13,556.4165332307692,490.57501784615386,-65.84151538461538,-855.9396999999999,0,0
156,16,383.9407461875,321.59705575,-62.343690437500015,-997.4990470000002,0,0
157,13,631.2139825384616,500.8835506923077,-130.33043184615383,-1694.2956140000006,0,0
158,13,540.6627882307693,494.8529562307692,-45.80983200000003,-595.5278159999998,0,0
159,16,447.4082855625,419.438369,-27.969916562499975,-447.5186649999996,0,0
160,15,477.69562306666666,512.0634125333333,34.36778946666669,515.516842,0,0
161,12,605.98121025,537.05281875,-68.92839149999998,-827.1406980000002,0,0
162,10,687.2007317,654.3551348,-32.84559690000003,-328.45596899999964,0,0
163,13,599.3310766923076,605.9832700769231,6.65219338461543,86.47851400000036,0,0
164,14,473.3997218571429,432.9728575,-40.426864357142904,-565.9761010000002,0,0
165,10,730.7257602,636.7633587,-93.96240149999994,-939.6240149999994,0,0
166,13,554.3700122307692,527.3593681538462,-27.010644076923086,-351.1383729999998,0,0
167,12,585.2691065833334,586.6344957499999,1.3653891666665459,16.38466999999946,0,0
168,14,462.5880980714286,469.7521836428572,7.164085571428586,100.29719800000021,12,0
169,15,444.17052500000005,433.1568994,-11.013625600000069,-165.20438400000057,0,0
170,11,578.066972909091,592.2988126363636,14.231839727272586,156.55023699999947,0,0
171,12,622.1539766666666,542.935528,-79.21844866666663,-950.621384,0,0
172,16,315.725633625,316.10477425,0.3791406249999909,6.0662499999998545,0,0
173,12,588.684997,580.5377921666667,-8.147204833333262,-97.76645800000006,0,0
174,13,584.4253902307693,495.0529580769231,-89.37243215384615,-1161.8416179999995,0,0
175,15,456.8483254666667,456.5867406,-0.2615848666667375,-3.9237730000004376,0,0
176,14,498.3533046428571,436.81050664285715,-61.54279799999995,-861.5991719999993,0,0
177,12,551.3011343333334,523.1403837500001,-28.16075058333331,-337.92900699999973,0,0
178,10,663.4711970999999,650.9900694,-12.481127699999888,-124.81127699999979,0,0
179,11,648.5703113636364,591.5946145454545,-56.97569681818186,-626.7326650000005,0,0
180,15,513.0546264,471.6525868666667,-41.402039533333266,-621.0305929999995,0,0
181,12,527.03761925,580.8935025,53.85588324999992,646.2705989999995,0,0
182,10,747.0984059,676.7222308,-70.37617509999995,-703.761751,0,0
183,14,497.6670585714286,462.3364521428571,-35.33060642857146,-494.62849000000006,1,0
184,10,685.5099629,645.6136337,-39.89632919999997,-398.96329200000037,0,0
185,14,481.09119514285715,472.6501732857143,-8.441021857142857,-118.17430599999989,0,0
186,10,705.7452073000001,658.0012163,-47.74399100000005,-477.43991000000005,0,0
187,10,741.8648255,694.9482372,-46.91658830000006,-469.16588299999967,0,0
188,13,599.5784275384615,522.3584079999999,-77.22001953846154,-1003.8602540000002,0,10
189,13,487.8079512307692,468.2278777692308,-19.580073461538404,-254.54095499999949,0,0
190,12,565.0534309166667,621.3144690833334,56.26103816666671,675.132458,0,0
191,11,710.015746090909,642.759654,-67.25609209090908,-739.8170129999999,0,0
192,15,460.10065526666665,438.18375906666665,-21.916896199999996,-328.7534429999996,0,0
193,15,487.2626143333334,468.45913060000004,-18.803483733333337,-282.05225599999994,0,0
194,11,610.2722709090909,569.3231328181818,-40.94913809090917,-450.4405190000007,0,0
195,14,541.9515045714286,442.46733592857146,-99.48416864285713,-1392.7783609999997,0,0
196,12,587.7435047499999,588.1289561666666,0.38545141666668314,4.625417000000198,0,0
197,15,426.6676892,425.4090225333333,-1.2586666666666702,-18.88000000000011,0,0
198,15,434.6287412666667,453.1582202,18.529478933333337,277.94218400000045,0,0
199,15,453.6665107333334,442.6327966,-11.033714133333376,-165.50571200000013,0,0
200,10,676.2639785,634.2432861,-42.02069240000003,-420.2069240000001,0,0
201,10,719.3675782,649.550598,-69.81698019999999,-698.1698020000003,0,0
202,13,542.0233954615385,521.070167,-20.953228461538515,-272.3919699999997,0,0
203,16,354.516261875,428.82487325,74.308611375,1188.937782,0,0
204,16,426.24904875,382.191860625,-44.05718812499998,-704.9150099999997,14,0
205,14,515.2819037857142,504.7594365,-10.522467285714242,-147.31454200000007,0,0
206,14,492.16065685714284,461.32456014285714,-30.836096714285702,-431.7053539999997,0,0
207,14,494.4001307857143,482.5551367857143,-11.844993999999986,-165.82991599999968,0,0
208,10,680.2310871,616.994808,-63.23627909999993,-632.3627909999996,0,0
209,16,346.4925059375,231.185162875,-115.30734306250002,-1844.9174890000004,0,0
210,11,667.6368305454545,711.7869911818182,44.150160636363694,485.6517670000003,0,0
211,16,359.0890283125,336.03549475,-23.05353356249998,-368.85653699999966,0,0
212,15,461.81472106666666,463.9792010666667,2.164480000000026,32.46720000000005,0,0
213,13,501.40640461538464,499.2036823076923,-2.2027223076923406,-28.63539000000037,0,0
214,16,415.3728929375,319.776960375,-95.59593256250002,-1529.5349210000004,0,0
215,16,502.614009125,443.440644875,-59.17336425000002,-946.7738280000003,0,0
216,11,688.0475117272728,642.0869894545455,-45.9605222727273,-505.5657449999999,0,0
217,10,642.1791430999999,604.3574025,-37.821740599999885,-378.21740599999976,0,0
218,16,418.88690175,352.863142625,-66.02375912499997,-1056.3801459999995,0,0
219,10,671.9974018,618.3737189000001,-53.62368289999995,-536.2368289999995,0,0
220,15,521.7996640666667,451.84161193333335,-69.9580521333333,-1049.370782,0,0
221,16,354.1218316875,273.631007625,-80.4908240625,-1287.853185,0,0
222,13,539.0361886153846,523.0737256923077,-15.962462923076941,-207.51201799999944,0,0
223,14,518.8043265,494.4630222142857,-24.34130428571433,-340.77826000000005,0,0
224,10,719.6518656000001,713.3494625000001,-6.302403099999992,-63.02403099999992,0,0
225,15,487.02191113333333,427.6584782,-59.36343293333334,-890.4514939999999,0,0
226,11,716.2991180909091,676.1471671818182,-40.15195090909094,-441.6714600000005,0,0
227,15,422.7143122,437.22467393333335,14.510361733333355,217.65542600000026,0,0
228,16,400.2920356875,412.490193,12.198157312499973,195.17051699999956,0,0
229,16,499.2788389375,410.6755846875,-88.60325424999996,-1417.6520679999994,0,0
230,10,627.8632861,591.6449779,-36.218308200000024,-362.18308200000047,0,0
231,10,653.0161774999999,691.4083139,38.39213640000014,383.9213640000007,0,0
232,10,729.681552,692.0140756,-37.667476400000055,-376.6747640000003,0,0
233,10,727.8988478,654.2449385,-73.65390930000001,-736.5390930000003,0,0
234,16,356.9629475,344.9620359375,-12.000911562499994,-192.0145849999999,0,0
235,12,535.1090905833333,521.8889273333333,-13.220163250000041,-158.6419589999996,0,0
236,13,551.2637822307693,568.0273536923077,16.76357146153839,217.9264290000001,0,0
237,14,503.0885952142857,461.0068563571429,-42.081738857142795,-589.1443439999994,4,0
238,10,701.939222,666.2375313,-35.70169069999997,-357.0169070000002,0,0
239,13,503.6752612307692,471.9796573846154,-31.6956038461538,-412.0428499999998,0,0
240,10,753.3545320999999,667.1374079,-86.21712419999994,-862.1712419999994,0,0
241,16,361.3031986875,271.407545,-89.89565368749999,-1438.3304589999998,0,0
242,14,505.0232930714286,471.5172318571428,-33.50606121428581,-469.08485700000074,0,0
243,15,468.3389353333333,425.5148654,-42.824069933333305,-642.3610490000001,0,0
244,12,589.65764375,592.0834258333333,2.4257820833332744,29.109384999999747,0,0
245,12,604.8412227499999,547.4891385833333,-57.3520841666666,-688.2250099999992,0,0
246,11,627.7527781818181,645.6383529090909,17.885574727272797,196.74132199999985,0,0
247,15,498.3139240666667,457.73008173333335,-40.58384233333334,-608.7576349999999,0,0
248,13,493.9099039230769,476.583743,-17.326160923076884,-225.240092,0,0
249,12,594.32575175,556.5188832499999,-37.806868500000064,-453.68242200000077,0,0
250,12,603.0169978333333,600.1631603333334,-2.8538374999999405,-34.24604999999974,0,0
251,10,697.6385809999999,618.0837125,-79.55486849999988,-795.5486849999998,0,0
252,10,709.5280543,715.2928217,5.7647673999999824,57.647673999999824,0,0
253,16,305.36712125,292.8236300625,-12.543491187500024,-200.69585900000038,0,0
254,15,488.6788267333333,513.279993,24.601166266666667,369.0174939999997,0,0
255,11,564.4863123636364,535.286683,-29.199629363636404,-321.1959230000002,0,0
256,12,573.1826956666666,550.58260325,-22.600092416666598,-271.20110899999963,0,0
257,13,528.0435627692308,484.79959915384615,-43.243963615384644,-562.1715270000004,0,0
258,15,506.1467736,528.2114668666667,22.064693266666666,330.9703989999998,0,0
259,14,534.4799245,507.12922121428574,-27.350703285714303,-382.90984599999956,0,0
260,14,474.1970721428571,498.38173450000005,24.18466235714294,338.5852730000006,0,0
261,12,550.6232831666667,561.52594925,10.902666083333315,130.83199299999978,0,0
262,12,569.3319745833334,514.3011554166667,-55.030819166666674,-660.3698299999996,0,0
263,16,482.854158375,436.658356,-46.19580237499997,-739.1328379999995,0,0
264,13,525.0770347692307,564.4053955384616,39.32836076923081,511.2686899999999,0,0
265,16,366.0449593125,383.3345176875,17.289558375000013,276.6329340000002,0,0
266,10,707.37658,633.2663668,-74.11021319999998,-741.102132,0,0
267,13,508.48276500000003,518.2535010769232,9.770736076923129,127.01956900000005,0,0
268,13,576.2618303846155,526.2190559230769,-50.042774461538556,-650.5560679999999,0,2
269,14,475.3171651428571,472.2018425714286,-3.1153225714285213,-43.61451599999964,0,0
270,11,686.4513810909091,663.6054467272727,-22.84593436363639,-251.30527799999982,0,28
271,11,664.7994905454545,599.7710659090909,-65.02842463636364,-715.3126710000006,0,0
272,10,651.9928941999999,606.385943,-45.60695119999991,-456.0695119999991,0,0
273,12,561.2461714166667,528.7654509166667,-32.48072049999996,-389.76864599999953,0,0
274,16,491.3421905625,380.955810625,-110.38637993749995,-1766.1820789999992,0,0
275,15,491.15641793333333,452.23586213333334,-38.92055579999999,-583.8083369999995,0,0
276,10,727.2400775,637.5286499,-89.71142759999998,-897.1142760000002,0,0
277,12,608.3149276666667,583.98769325,-24.32723441666667,-291.92681300000004,0,0
278,15,448.04925893333336,420.36427753333334,-27.684981400000026,-415.2747210000007,0,0
279,16,348.1714766875,389.2153475,41.04387081250002,656.7019330000003,0,0
280,13,528.4548630769231,484.18458423076925,-44.270278846153815,-575.5136250000005,0,0
281,10,729.342742,706.4900822,-22.852659800000083,-228.52659800000038,0,0
282,14,470.95651707142855,470.8286037142857,-0.12791335714285879,-1.7907869999999093,0,0
283,11,599.898724,592.9350908181818,-6.963633181818182,-76.59996500000034,0,0
284,12,588.55323475,583.34931875,-5.203916000000049,-62.44699200000014,0,0
285,13,552.6687575384615,525.9819846153846,-26.686772923076887,-346.92804799999976,0,0
286,10,735.2344385,663.1169298,-72.11750870000003,-721.1750870000005,0,0
287,12,633.82658,573.2491261666667,-60.57745383333338,-726.9294460000001,0,0
288,16,391.2442646875,400.6483246875,9.404060000000015,150.46496000000025,3,0
289,13,514.8818476923077,584.8264495384615,69.94460184615377,909.2798239999993,0,0
290,16,452.70049125,428.20675775,-24.49373350000002,-391.8997360000003,0,0
291,14,506.25806378571434,446.453183,-59.80488078571432,-837.2683310000002,0,0
292,14,501.3296449285714,508.77469871428576,7.445053785714379,104.23075300000073,0,0
293,15,468.6034646666667,455.08809279999997,-13.515371866666726,-202.7305780000006,0,0
294,12,609.98265875,611.6771293333334,1.6944705833333273,20.333647000000383,0,0
295,13,590.7918413846154,530.9870176923076,-59.804823692307764,-777.462708,0,11
296,15,424.8391890666666,420.0285296,-4.810659466666607,-72.15989199999967,0,0
297,15,457.08675873333334,431.83693013333334,-25.2498286,-378.747429,0,0
298,16,411.1084746875,352.5601179375,-58.54835674999998,-936.7737079999997,0,0
299,10,689.1294645,688.0982086,-1.0312559000000192,-10.312558999999965,0,0
300,13,548.5846707692308,483.5821517692308,-65.002519,-845.0327470000002,0,0
301,12,608.59850125,537.7886881666667,-70.80981308333332,-849.7177570000003,0,0
302,12,620.4409421666667,620.04794675,-0.3929954166666221,-4.71594499999992,0,0
303,11,624.0195313636364,576.9514142727273,-47.06811709090903,-517.749288,0,0
304,10,679.4742368999999,661.2109704000001,-18.263266499999872,-182.63266499999918,0,0
305,13,562.6319121538462,512.4182478461538,-50.2136643076924,-652.7776360000007,0,0
306,15,480.1265608,448.88174146666665,-31.24481933333334,-468.6722899999995,0,0
307,11,633.9265250909091,608.7076596363636,-25.218865454545494,-277.40751999999975,0,0
308,12,566.8906674166667,497.65474066666667,-69.23592675000003,-830.8311210000002,0,0
309,15,421.6441242,441.4333948666666,19.789270666666596,296.83905999999934,0,0
310,14,562.1563680714286,530.4098022857144,-31.74656578571421,-444.45192099999986,0,0
311,14,577.9868377142857,522.2864365714286,-55.70040114285712,-779.8056159999996,0,0
312,12,590.7226439166667,553.8072499166666,-36.915394000000106,-442.98472800000036,0,0
313,16,316.100713375,244.69536775,-71.405345625,-1142.48553,0,0
314,12,679.8059356666666,567.78245525,-112.02348041666664,-1344.2817649999997,0,0
315,10,711.7006297,655.1855529000001,-56.515076799999974,-565.1507679999995,0,0
316,16,335.84160575,352.71916325,16.877557500000023,270.04092000000037,0,0
317,12,604.4628288333333,514.1519219166667,-90.31090691666668,-1083.7308830000002,0,0
318,13,539.3655669230769,506.374394,-32.99117292307693,-428.8852480000005,5,0
319,14,502.130413,520.8446464285714,18.714233428571447,261.9992680000005,0,0
320,12,600.701766,538.3928975833334,-62.308868416666655,-747.7064209999999,0,0
321,10,712.3292650000001,670.6741678000001,-41.6550972,-416.550972,0,0
322,12,597.8008026666666,562.1638898333333,-35.63691283333333,-427.6429539999999,0,0
323,14,464.29431500000004,452.4733567142857,-11.820958285714312,-165.49341600000025,0,0
324,15,514.743279,499.020288,-15.722991000000036,-235.84486500000003,0,0
325,10,705.9243137000001,642.0094892,-63.91482450000012,-639.1482450000003,0,0
326,11,597.9325349090909,594.2802899090909,-3.6522449999999935,-40.1746949999997,0,0
327,10,673.8475837,664.6327457,-9.214837999999986,-92.14837999999963,0,0
328,14,558.5841379285714,469.743434,-88.84070392857143,-1243.7698550000005,0,0
329,15,443.6677779333333,431.44078406666665,-12.226993866666646,-183.40490799999952,0,0
330,16,386.3991954375,407.962932375,21.563736937499982,345.0197909999997,0,0
331,12,614.7153106666666,618.3926623333333,3.677351666666709,44.12822000000051,0,0
332,14,509.94619071428576,535.3217379285715,25.37554721428569,355.25766099999964,0,0
333,11,626.3533279090909,589.0012768181819,-37.35205109090907,-410.87256200000047,0,0
334,10,689.5090689,613.3547626,-76.15430630000003,-761.5430630000001,0,0
335,13,506.4423038461539,514.3143971538461,7.872093307692239,102.33721299999979,0,0
336,13,480.93862815384614,492.4351486153846,11.496520461538466,149.45476599999984,0,0
337,10,734.1041720000001,773.2412564,39.137084399999935,391.37084400000003,0,8
338,13,503.97888307692307,442.6489834615385,-61.32989961538459,-797.2886950000002,0,0
339,12,529.6333667499999,608.7938341666667,79.16046741666673,949.9256089999999,0,0
340,16,368.550096125,306.5320281875,-62.01806793750001,-992.2890870000001,0,0
341,15,517.4295754666667,473.7230692,-43.706506266666736,-655.5975940000008,0,0
342,11,616.2452714545454,573.3947513636364,-42.85052009090907,-471.3557209999999,5,0
343,14,568.928041,544.7678231428571,-24.160217857142925,-338.24305000000004,0,0
344,14,500.9872227142857,483.53546785714286,-17.451754857142816,-244.324568,0,0
345,11,674.1953539090908,674.3662305454545,0.17087663636368688,1.8796430000002147,0,0
346,11,652.4931763636364,617.7421876363636,-34.750988727272784,-382.2608760000003,0,0
347,16,245.8325144375,357.595663625,111.76314918749998,1788.2103869999996,0,0
