seed,seed_hex,family,total,directional,baseline_s_per_source,route_s_per_source,v1_s_per_source,delta_base,delta_route
22,0000000000000000000000000000000000000000000000000000000000010000,one_bit,13,5,870.8314243846154,870.8314243846154,870.8314243846154,0.0,0.0
23,0000000000000000000000000000000000000000000000000000000000020000,one_bit,13,13,2057.2406461538462,915.7713798461538,889.2723664615385,-1167.9682796923078,-26.499013384615296
24,0000000000000000000000000000000000000000000000000000000000040000,one_bit,16,14,2483.9672454375,937.113398,748.23777,-1735.7294754375,-188.875628
25,0000000000000000000000000000000000000000000000000000000000080000,one_bit,14,11,819.0683942142857,815.9809862142857,811.3963156428572,-7.6720785714285284,-4.584670571428546
26,0000000000000000000000000000000000000000000000000000000000100000,one_bit,11,9,1572.364662,1214.4939532727274,1074.7536187272729,-497.6110432727271,-139.74033454545452
27,0000000000000000000000000000000000000000000000000000000000200000,one_bit,15,11,733.627524,733.627524,733.627524,0.0,0.0
28,0000000000000000000000000000000000000000000000000000000000400000,one_bit,14,10,840.5656654285714,840.5656654285714,840.5656654285714,0.0,0.0
29,0000000000000000000000000000000000000000000000000000000000800000,one_bit,14,3,730.5926903571428,730.5926903571428,730.5926903571428,0.0,0.0
30,0000000000000000000000000000000000000000000000000000000001000000,one_bit,16,2,662.2763275625,662.2763275625,662.2763275625,0.0,0.0
31,0000000000000000000000000000000000000000000000000000000002000000,one_bit,12,9,984.42338375,984.42338375,984.42338375,0.0,0.0
32,0000000000000000000000000000000000000000000000000000000004000000,one_bit,15,8,1340.4591026,858.6446469333333,778.8981964,-561.5609062000001,-79.74645053333336
33,0000000000000000000000000000000000000000000000000000000008000000,one_bit,11,7,1038.3981488181819,1038.3981488181819,1038.3981488181819,0.0,0.0
34,0000000000000000000000000000000000000000000000000000000010000000,one_bit,15,7,775.8167646,775.8167646,775.8167646,0.0,0.0
35,0000000000000000000000000000000000000000000000000000000020000000,one_bit,11,7,1909.7674705454547,1125.1092224545455,1069.9024566363637,-839.865013909091,-55.20676581818179
36,0000000000000000000000000000000000000000000000000000000040000000,one_bit,14,4,796.4166929285714,796.4166929285714,796.4166929285714,0.0,0.0
37,0000000000000000000000000000000000000000000000000000000080000000,one_bit,15,4,3591.9694721333335,1020.6839074666666,748.0689754,-2843.9004967333335,-272.6149320666666
38,0000000000000000000000000000000000000000000000000000000100000000,one_bit,16,8,774.5858595625,822.6949755625,766.782164,-7.803695562500025,-55.912811562499996
39,0000000000000000000000000000000000000000000000000000000200000000,one_bit,15,5,764.5522480666666,764.5522480666666,764.5522480666666,0.0,0.0
40,0000000000000000000000000000000000000000000000000000000400000000,one_bit,15,2,749.0651962666667,749.0651962666667,749.0651962666667,0.0,0.0
41,0000000000000000000000000000000000000000000000000000000800000000,one_bit,10,9,5164.437956600001,1540.1766033,1200.9752886,-3963.4626680000006,-339.2013146999998
42,0000000000000000000000000000000000000000000000000000001000000000,one_bit,13,1,926.7426691538462,926.7426691538462,926.7426691538462,0.0,0.0
43,0000000000000000000000000000000000000000000000000000002000000000,one_bit,14,5,1860.5736777142859,1038.3108254285714,820.7432811428571,-1039.8303965714288,-217.56754428571435
44,0000000000000000000000000000000000000000000000000000004000000000,one_bit,16,4,666.9014555,666.9014555,666.9014555,0.0,0.0
45,0000000000000000000000000000000000000000000000000000008000000000,one_bit,15,7,2477.6234768,906.0792392000001,761.3471794666667,-1716.2762973333333,-144.73205973333336
46,0000000000000000000000000000000000000000000000000000010000000000,one_bit,14,14,2096.602274,1216.8468722142857,852.796804,-1243.8054699999998,-364.0500682142857
47,0000000000000000000000000000000000000000000000000000020000000000,one_bit,11,10,3552.2082251818183,1277.5985213636363,1083.1225463636363,-2469.085678818182,-194.47597500000006
48,0000000000000000000000000000000000000000000000000000040000000000,one_bit,14,5,1149.7726147142857,865.1761004285714,781.6907917857143,-368.08182292857146,-83.48530864285715
49,0000000000000000000000000000000000000000000000000000080000000000,one_bit,10,3,1211.3847581,1211.3847581,1211.3847581,0.0,0.0
50,0000000000000000000000000000000000000000000000000000100000000000,one_bit,16,6,1498.78997525,985.2774953125,719.8597269375,-778.9302483125,-265.41776837500004
51,0000000000000000000000000000000000000000000000000000200000000000,one_bit,11,9,1967.9110035454544,1158.7201452727274,1072.6653434545456,-895.2456600909088,-86.05480181818189
52,0000000000000000000000000000000000000000000000000000400000000000,one_bit,14,14,852.6946557142857,852.6946557142857,852.6946557142857,0.0,0.0
53,0000000000000000000000000000000000000000000000000000800000000000,one_bit,13,5,863.7706446923077,863.7706446923077,863.7706446923077,0.0,0.0
54,0000000000000000000000000000000000000000000000000001000000000000,one_bit,11,9,1818.2215477272728,1328.6826747272726,1144.4486235454547,-673.7729241818181,-184.2340511818179
55,0000000000000000000000000000000000000000000000000002000000000000,one_bit,12,7,934.3665955833334,932.6695205,931.0216945833334,-3.344900999999936,-1.6478259166665339
56,0000000000000000000000000000000000000000000000000004000000000000,one_bit,15,7,1373.1068222,936.1489262,778.0155552,-595.0912669999999,-158.133371
57,0000000000000000000000000000000000000000000000000008000000000000,one_bit,12,7,1249.1340143333334,1126.8510254166665,1003.6317755833334,-245.50223875000006,-123.21924983333315
58,0000000000000000000000000000000000000000000000000010000000000000,one_bit,10,7,1705.4835704000002,1289.7876091,1172.940349,-532.5432214000002,-116.84726010000009
59,0000000000000000000000000000000000000000000000000020000000000000,one_bit,14,1,773.5442394285714,773.5442394285714,773.5442394285714,0.0,0.0
60,0000000000000000000000000000000000000000000000000040000000000000,one_bit,15,5,745.6814755333332,745.6814755333332,745.6814755333332,0.0,0.0
61,0000000000000000000000000000000000000000000000000080000000000000,one_bit,15,8,782.8977678666666,782.8977678666666,782.8977678666666,0.0,0.0
62,0000000000000000000000000000000000000000000000000100000000000000,one_bit,13,2,872.9380983846154,872.9380983846154,872.9380983846154,0.0,0.0
63,0000000000000000000000000000000000000000000000000200000000000000,one_bit,12,4,956.9140523333334,955.1794991666667,948.8381277499999,-8.075924583333517,-6.341371416666789
64,0000000000000000000000000000000000000000000000000400000000000000,one_bit,11,5,1403.844469272727,1095.6379998181817,1075.5200845454544,-328.3243847272727,-20.11791527272726
65,0000000000000000000000000000000000000000000000000800000000000000,one_bit,11,9,1076.9184332727273,1076.9184332727273,1076.9184332727273,0.0,0.0
66,0000000000000000000000000000000000000000000000001000000000000000,one_bit,12,10,1708.3370605,1026.9874796666666,1019.4013132499999,-688.9357472500001,-7.586166416666629
67,0000000000000000000000000000000000000000000000002000000000000000,one_bit,14,1,752.3315647857142,752.3315647857142,752.3315647857142,0.0,0.0
68,0000000000000000000000000000000000000000000000004000000000000000,one_bit,10,6,1211.2286915,1309.3821115,1196.7548723,-14.47381919999998,-112.62723920000008
69,0000000000000000000000000000000000000000000000008000000000000000,one_bit,13,13,1288.642818,1072.461774923077,919.0061089230769,-369.6367090769231,-153.45566600000006
70,0000000000000000000000000000000000000000000000010000000000000000,one_bit,10,5,1091.4344667999999,1091.7065562,1090.3035158,-1.1309509999998681,-1.403040400000009
71,0000000000000000000000000000000000000000000000020000000000000000,one_bit,11,5,1136.3748135454546,1136.3748135454546,1136.3748135454546,0.0,0.0
72,0000000000000000000000000000000000000000000000040000000000000000,one_bit,11,1,1198.0745177272727,1209.4434774545455,1075.4917470909093,-122.58277063636342,-133.95173036363622
73,0000000000000000000000000000000000000000000000080000000000000000,one_bit,14,12,856.3304877857144,856.5508668571429,856.3646049285715,0.03411714285709877,-0.18626192857141177
74,0000000000000000000000000000000000000000000000100000000000000000,one_bit,10,9,1274.3661577,1200.8771798,1168.3359699,-106.03018780000002,-32.54120990000001
75,0000000000000000000000000000000000000000000000200000000000000000,one_bit,16,15,3023.6541245625,1123.507865125,753.8933200625,-2269.7608044999997,-369.61454506250004
76,0000000000000000000000000000000000000000000000400000000000000000,one_bit,11,4,1077.1391004545455,1077.1391004545455,1077.1391004545455,0.0,0.0
77,0000000000000000000000000000000000000000000000800000000000000000,one_bit,12,4,979.0703619166667,979.0703619166667,979.0703619166667,0.0,0.0
78,0000000000000000000000000000000000000000000001000000000000000000,one_bit,16,8,1105.7898915625,752.2901430625,646.6978756875,-459.09201587500013,-105.592267375
79,0000000000000000000000000000000000000000000002000000000000000000,one_bit,14,2,1168.1159787857143,977.5550179285714,847.7354867857142,-320.3804920000001,-129.81953114285716
80,0000000000000000000000000000000000000000000004000000000000000000,one_bit,15,9,712.7083370666667,712.7083370666667,712.7083370666667,0.0,0.0
81,0000000000000000000000000000000000000000000008000000000000000000,one_bit,14,4,1800.6059826428573,1143.7838975714287,866.8568558571429,-933.7491267857143,-276.9270417142858
82,0000000000000000000000000000000000000000000010000000000000000000,one_bit,15,3,695.2556008666667,695.2556008666667,695.2556008666667,0.0,0.0
83,0000000000000000000000000000000000000000000020000000000000000000,one_bit,13,11,1366.8680670769231,1014.9559790000001,876.2967141538461,-490.57135292307703,-138.65926484615397
84,0000000000000000000000000000000000000000000040000000000000000000,one_bit,14,8,807.6463910714285,807.6463910714285,807.6463910714285,0.0,0.0
85,0000000000000000000000000000000000000000000080000000000000000000,one_bit,12,5,894.7720074166667,894.7720074166667,894.7720074166667,0.0,0.0
86,0000000000000000000000000000000000000000000100000000000000000000,one_bit,14,5,2657.8028999999997,1167.4474775714286,873.5449616428571,-1784.2579383571426,-293.9025159285716
87,0000000000000000000000000000000000000000000200000000000000000000,one_bit,10,4,1289.9123683,1199.5734420000001,1129.7361660000001,-160.1762022999999,-69.83727599999997
88,0000000000000000000000000000000000000000000400000000000000000000,one_bit,14,12,829.1386715,876.6176509285715,822.0677880714286,-7.070883428571392,-54.5498628571429
89,0000000000000000000000000000000000000000000800000000000000000000,one_bit,14,6,1559.2911682142858,955.5575757857142,871.4155026428572,-687.8756655714286,-84.14207314285704
90,0000000000000000000000000000000000000000001000000000000000000000,one_bit,10,9,1158.4673773,1161.1687925,1161.7291606000001,3.261783300000161,0.5603681000000051
91,0000000000000000000000000000000000000000002000000000000000000000,one_bit,10,10,1261.5018082000001,1237.1121246999999,1211.1913059,-50.31050230000005,-25.92081879999978
92,0000000000000000000000000000000000000000004000000000000000000000,one_bit,10,5,1783.8290408,1485.8622633,1210.2410669,-573.5879739,-275.6211963999999
93,0000000000000000000000000000000000000000008000000000000000000000,one_bit,13,2,2547.260386076923,1115.7994893076923,886.2604566153847,-1660.9999294615386,-229.53903269230761
94,0000000000000000000000000000000000000000010000000000000000000000,one_bit,13,1,852.685791,852.685791,852.685791,0.0,0.0
95,0000000000000000000000000000000000000000020000000000000000000000,one_bit,13,4,829.4023966923077,829.4023966923077,829.4023966923077,0.0,0.0
96,0000000000000000000000000000000000000000040000000000000000000000,one_bit,16,4,836.4930949375,739.4723216875,679.7569739375,-156.73612100000003,-59.71534774999998
97,0000000000000000000000000000000000000000080000000000000000000000,one_bit,13,8,881.846847923077,881.846847923077,881.846847923077,0.0,0.0
98,0000000000000000000000000000000000000000100000000000000000000000,one_bit,15,8,748.8036434,748.8036434,748.8036434,0.0,0.0
99,0000000000000000000000000000000000000000200000000000000000000000,one_bit,12,2,960.7705192499999,960.7705192499999,960.7705192499999,0.0,0.0
100,0000000000000000000000000000000000000000400000000000000000000000,one_bit,13,9,872.8232485384615,872.8232485384615,872.8232485384615,0.0,0.0
101,0000000000000000000000000000000000000000800000000000000000000000,one_bit,13,11,934.9293637692307,942.495103923077,942.8458798461538,7.916516076923131,0.350775923076867
102,0000000000000000000000000000000000000001000000000000000000000000,one_bit,11,11,1332.8823344545456,1242.9024898181817,1052.0963796363637,-280.78595481818184,-190.80611018181798
103,0000000000000000000000000000000000000002000000000000000000000000,one_bit,16,7,968.1192615625,705.674117625,690.347553625,-277.77170793749997,-15.326563999999962
104,0000000000000000000000000000000000000004000000000000000000000000,one_bit,13,2,838.1742419230769,838.1742419230769,838.1742419230769,0.0,0.0
105,0000000000000000000000000000000000000008000000000000000000000000,one_bit,13,5,1493.696238153846,875.1811015384616,888.8339057692308,-604.8623323846152,13.65280423076922
106,0000000000000000000000000000000000000010000000000000000000000000,one_bit,12,10,935.9648240833334,935.9648240833334,935.9648240833334,0.0,0.0
107,0000000000000000000000000000000000000020000000000000000000000000,one_bit,13,3,2847.600341153846,1161.63897,866.8639008461539,-1980.736440307692,-294.77506915384606
108,0000000000000000000000000000000000000040000000000000000000000000,one_bit,11,5,1102.1791493636365,1102.1791493636365,1102.1791493636365,0.0,0.0
109,0000000000000000000000000000000000000080000000000000000000000000,one_bit,13,10,850.6018587692307,851.0043537692308,850.8210099999999,0.21915123076917098,-0.18334376923087348
110,0000000000000000000000000000000000000100000000000000000000000000,one_bit,16,9,720.98211225,720.98211225,720.98211225,0.0,0.0
111,0000000000000000000000000000000000000200000000000000000000000000,one_bit,12,4,911.3662261666667,911.3662261666667,911.3662261666667,0.0,0.0
112,0000000000000000000000000000000000000400000000000000000000000000,one_bit,14,10,1007.7689504285714,940.7067070714286,862.2820755,-145.4868749285714,-78.42463157142856
113,0000000000000000000000000000000000000800000000000000000000000000,one_bit,15,10,717.1342218000001,717.1342218000001,717.1342218000001,0.0,0.0
114,0000000000000000000000000000000000001000000000000000000000000000,one_bit,13,13,1197.379329076923,996.5506503076923,915.0479205384615,-282.3314085384616,-81.50272976923077
115,0000000000000000000000000000000000002000000000000000000000000000,one_bit,10,5,1077.1699803,1077.1699803,1077.1699803,0.0,0.0
116,0000000000000000000000000000000000004000000000000000000000000000,one_bit,12,4,987.2290846666666,987.2290846666666,987.2290846666666,0.0,0.0
117,0000000000000000000000000000000000008000000000000000000000000000,one_bit,11,3,1037.5560326363636,1037.5560326363636,1037.5560326363636,0.0,0.0
118,0000000000000000000000000000000000010000000000000000000000000000,one_bit,11,10,1071.5086708181818,1078.3695566363638,1073.6816543636362,2.172983545454372,-4.68790227272757
119,0000000000000000000000000000000000020000000000000000000000000000,one_bit,14,10,2343.2716221428573,971.4883646428572,820.1242945,-1523.1473276428574,-151.36407014285714
120,0000000000000000000000000000000000040000000000000000000000000000,one_bit,12,10,985.2695530833333,985.2695530833333,985.2695530833333,0.0,0.0
121,0000000000000000000000000000000000080000000000000000000000000000,one_bit,15,13,1837.1312406,841.5988862666667,728.0807368000001,-1109.0505038,-113.51814946666661
122,0000000000000000000000000000000000100000000000000000000000000000,one_bit,16,10,3690.380082625,1134.9887925,743.334032125,-2947.0460505,-391.654760375
123,0000000000000000000000000000000000200000000000000000000000000000,one_bit,12,9,968.81072325,1044.99460175,976.4528861666666,7.642162916666621,-68.54171558333326
124,0000000000000000000000000000000000400000000000000000000000000000,one_bit,15,9,731.1164966,735.7005259333333,735.2422898,4.1257931999999755,-0.4582361333333438
125,0000000000000000000000000000000000800000000000000000000000000000,one_bit,13,11,865.1314686923076,871.4614697692307,871.2537460000001,6.122277307692457,-0.2077237692305971
126,0000000000000000000000000000000001000000000000000000000000000000,one_bit,13,10,1382.0295549999998,958.4156913076923,877.6399947692308,-504.389560230769,-80.77569653846149
127,0000000000000000000000000000000002000000000000000000000000000000,one_bit,15,10,1100.8554874,829.8034248,781.7783699333334,-319.07711746666655,-48.025054866666665
128,0000000000000000000000000000000004000000000000000000000000000000,one_bit,15,15,755.9441329333333,755.9441329333333,755.9441329333333,0.0,0.0
129,0000000000000000000000000000000008000000000000000000000000000000,one_bit,10,5,1106.6104129999999,1106.6104129999999,1106.6104129999999,0.0,0.0
130,0000000000000000000000000000000010000000000000000000000000000000,one_bit,11,2,1375.655688,1181.3600277272728,1109.0248438181818,-266.63084418181825,-72.33518390909103
131,0000000000000000000000000000000020000000000000000000000000000000,one_bit,11,2,1039.4530825454547,1039.4530825454547,1039.4530825454547,0.0,0.0
132,0000000000000000000000000000000040000000000000000000000000000000,one_bit,11,1,959.3862995454546,959.3862995454546,959.3862995454546,0.0,0.0
133,0000000000000000000000000000000080000000000000000000000000000000,one_bit,11,7,967.3191456363637,967.3191456363637,967.3191456363637,0.0,0.0
134,0000000000000000000000000000000100000000000000000000000000000000,one_bit,14,11,1079.2656594285713,791.4453022142858,783.6224487857143,-295.64321064285707,-7.822853428571534
135,0000000000000000000000000000000200000000000000000000000000000000,one_bit,11,7,1051.973796090909,1051.973796090909,1051.973796090909,0.0,0.0
136,0000000000000000000000000000000400000000000000000000000000000000,one_bit,14,7,863.7905879285714,863.7905879285714,863.7905879285714,0.0,0.0
137,0000000000000000000000000000000800000000000000000000000000000000,one_bit,13,4,893.9236863846153,893.9236863846153,893.9236863846153,0.0,0.0
138,0000000000000000000000000000001000000000000000000000000000000000,one_bit,14,1,795.7401562142858,795.7401562142858,795.7401562142858,0.0,0.0
139,0000000000000000000000000000002000000000000000000000000000000000,one_bit,15,6,752.2485436000001,747.1943438666666,742.7179527333334,-9.530590866666671,-4.476391133333209
140,0000000000000000000000000000004000000000000000000000000000000000,one_bit,14,4,821.5187051428571,821.5187051428571,821.5187051428571,0.0,0.0
141,0000000000000000000000000000008000000000000000000000000000000000,one_bit,14,6,911.4824209285714,840.3053714285714,803.4627417142857,-108.0196792142857,-36.84262971428575
142,0000000000000000000000000000010000000000000000000000000000000000,one_bit,16,8,698.2535691875,698.2535691875,698.2535691875,0.0,0.0
143,0000000000000000000000000000020000000000000000000000000000000000,one_bit,12,3,928.56681325,928.56681325,928.56681325,0.0,0.0
144,0000000000000000000000000000040000000000000000000000000000000000,one_bit,14,4,791.8211197857144,791.7298044285715,792.764677,0.9435572142856472,1.0348725714285365
145,0000000000000000000000000000080000000000000000000000000000000000,one_bit,13,12,1214.515123846154,1029.8159726153847,995.2677598461539,-219.24736400000006,-34.54821276923076
146,0000000000000000000000000000100000000000000000000000000000000000,one_bit,13,8,1371.9285526153847,971.1348566153846,839.2549961538462,-532.6735564615385,-131.87986046153844
147,0000000000000000000000000000200000000000000000000000000000000000,one_bit,12,4,2231.3969534166667,1076.3324736666666,957.1389089999999,-1274.258044416667,-119.1935646666667
148,0000000000000000000000000000400000000000000000000000000000000000,one_bit,15,3,744.2611624,735.6232275333333,729.8626267333333,-14.398535666666703,-5.76060080000002
149,0000000000000000000000000000800000000000000000000000000000000000,one_bit,13,11,880.1438912307692,880.1438912307692,880.1438912307692,0.0,0.0
150,0000000000000000000000000001000000000000000000000000000000000000,one_bit,15,8,951.7155028,873.398465,712.22472,-239.49078279999992,-161.17374499999994
151,0000000000000000000000000002000000000000000000000000000000000000,one_bit,10,5,1155.7551366,1155.7551366,1155.7551366,0.0,0.0
152,0000000000000000000000000004000000000000000000000000000000000000,one_bit,13,13,906.9967708461538,906.9967708461538,906.9967708461538,0.0,0.0
153,0000000000000000000000000008000000000000000000000000000000000000,one_bit,11,10,1877.5081944545454,1433.6183723636364,1158.3686882727272,-719.1395061818182,-275.2496840909091
154,0000000000000000000000000010000000000000000000000000000000000000,one_bit,13,5,1680.8549953846154,999.061005076923,878.9133153076923,-801.9416800769231,-120.14768976923074
155,0000000000000000000000000020000000000000000000000000000000000000,one_bit,16,3,745.5797161875,784.1750651875,693.2317219375,-52.347994250000056,-90.94334325
156,0000000000000000000000000040000000000000000000000000000000000000,one_bit,14,12,2519.8632899285717,888.2747991428571,821.8223714285714,-1698.0409185000003,-66.4524277142857
157,0000000000000000000000000080000000000000000000000000000000000000,one_bit,12,2,913.58760325,913.58760325,913.58760325,0.0,0.0
158,0000000000000000000000000100000000000000000000000000000000000000,one_bit,13,12,849.7183606923077,849.7183606923077,849.7183606923077,0.0,0.0
159,0000000000000000000000000200000000000000000000000000000000000000,one_bit,15,12,2496.1084221333335,969.1891235999999,793.0245764666666,-1703.083845666667,-176.16454713333326
160,0000000000000000000000000400000000000000000000000000000000000000,one_bit,11,8,1095.9829995454545,1093.2104252727274,1092.2495942727273,-3.7334052727271683,-0.9608310000000984
161,0000000000000000000000000800000000000000000000000000000000000000,one_bit,16,1,639.5868523125,639.5868523125,639.5868523125,0.0,0.0
162,0000000000000000000000001000000000000000000000000000000000000000,one_bit,11,10,1070.772029,1070.772029,1070.772029,0.0,0.0
163,0000000000000000000000002000000000000000000000000000000000000000,one_bit,11,9,1131.2805974545454,1066.6095675454546,1047.1954222727272,-84.08517518181816,-19.41414527272741
164,0000000000000000000000004000000000000000000000000000000000000000,one_bit,11,11,1019.5589907272727,1018.8597628181818,1019.0199047272727,-0.5390859999999975,0.16014190909083936
165,0000000000000000000000008000000000000000000000000000000000000000,one_bit,15,11,728.2323976,728.2323976,728.2323976,0.0,0.0
166,0000000000000000000000010000000000000000000000000000000000000000,one_bit,10,7,1150.7848677,1150.7848677,1150.7848677,0.0,0.0
167,0000000000000000000000020000000000000000000000000000000000000000,one_bit,12,9,3244.7225823333333,1181.9387734166667,983.5108255833334,-2261.21175675,-198.4279478333333
168,0000000000000000000000040000000000000000000000000000000000000000,one_bit,11,8,1118.3566,1022.1731977272727,1005.6214421818182,-112.73515781818185,-16.55175554545451
169,0000000000000000000000080000000000000000000000000000000000000000,one_bit,13,5,1906.4176416923076,1068.696027076923,897.50045,-1008.9171916923076,-171.19557707692297
170,0000000000000000000000100000000000000000000000000000000000000000,one_bit,15,9,764.7105306,764.1339231999999,764.694072,-0.016458599999964463,0.5601488000000927
171,0000000000000000000000200000000000000000000000000000000000000000,one_bit,10,5,1166.3314704,1166.3314704,1166.3314704,0.0,0.0
172,0000000000000000000000400000000000000000000000000000000000000000,one_bit,11,2,1050.3526807272729,1050.3526807272729,1050.3526807272729,0.0,0.0
173,0000000000000000000000800000000000000000000000000000000000000000,one_bit,14,7,795.9389267142858,795.9389267142858,795.9389267142858,0.0,0.0
174,0000000000000000000001000000000000000000000000000000000000000000,one_bit,15,4,754.0095485333334,754.0095485333334,754.0095485333334,0.0,0.0
175,0000000000000000000002000000000000000000000000000000000000000000,one_bit,14,8,796.927909,796.927909,796.927909,0.0,0.0
176,0000000000000000000004000000000000000000000000000000000000000000,one_bit,15,2,1467.939552,762.2960672,720.7233652,-747.2161868000001,-41.57270200000005
177,0000000000000000000008000000000000000000000000000000000000000000,one_bit,10,8,1141.9304362,1141.9304362,1141.9304362,0.0,0.0
178,0000000000000000000010000000000000000000000000000000000000000000,one_bit,11,3,986.8795009999999,986.8795009999999,986.8795009999999,0.0,0.0
179,0000000000000000000020000000000000000000000000000000000000000000,one_bit,10,7,1378.3841701,1249.1325083,1126.0347692999999,-252.3494008,-123.09773900000005
180,0000000000000000000040000000000000000000000000000000000000000000,one_bit,10,8,1172.4527352,1172.4527352,1172.4527352,0.0,0.0
181,0000000000000000000080000000000000000000000000000000000000000000,one_bit,13,10,892.2533253846153,894.8604630000001,891.9717946923078,-0.28153069230756955,-2.888668307692342
182,0000000000000000000100000000000000000000000000000000000000000000,one_bit,13,1,850.1744879230769,850.1744879230769,850.1744879230769,0.0,0.0
183,0000000000000000000200000000000000000000000000000000000000000000,one_bit,13,10,3969.1337630769235,1278.081338076923,897.9023368461538,-3071.2314262307696,-380.17900123076913
184,0000000000000000000400000000000000000000000000000000000000000000,one_bit,10,10,1161.7059341,1197.2117571,1141.231434,-20.474500099999887,-55.98032310000008
185,0000000000000000000800000000000000000000000000000000000000000000,one_bit,15,10,1587.3194343333334,1011.4768338,757.5641298666667,-829.7553044666668,-253.91270393333332
186,0000000000000000001000000000000000000000000000000000000000000000,one_bit,14,4,849.7286717857143,849.7286717857143,849.7286717857143,0.0,0.0
187,0000000000000000002000000000000000000000000000000000000000000000,one_bit,14,1,782.6263225714285,782.6263225714285,782.6263225714285,0.0,0.0
188,0000000000000000004000000000000000000000000000000000000000000000,one_bit,10,7,1495.5179538,1319.9279277,1179.6223996,-315.8955541999999,-140.30552809999995
189,0000000000000000008000000000000000000000000000000000000000000000,one_bit,10,9,4084.2389307,1411.4210600000001,1203.9567312,-2880.2821995,-207.4643288000002
190,0000000000000000010000000000000000000000000000000000000000000000,one_bit,12,10,931.90787,969.5235617500001,927.4813079166667,-4.426562083333351,-42.04225383333346
191,0000000000000000020000000000000000000000000000000000000000000000,one_bit,16,13,896.101077,822.374218125,767.184264875,-128.91681212499998,-55.18995324999992
192,0000000000000000040000000000000000000000000000000000000000000000,one_bit,12,7,978.3177038333333,978.3177038333333,978.3177038333333,0.0,0.0
193,0000000000000000080000000000000000000000000000000000000000000000,one_bit,14,13,908.6332177857142,884.3954911428572,851.7591106428572,-56.87410714285704,-32.63638049999997
194,0000000000000000100000000000000000000000000000000000000000000000,one_bit,16,12,689.82638675,689.82638675,689.82638675,0.0,0.0
