id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
211,2,0,9,86.84496573617056,128,512,512.0,11
211,2,0,13,125.92979956144292,128,512,512.0,2
211,2,0,15,83.46526357799422,128,512,512.0,4
211,2,1,2,127.99999999999997,128,512,512.0,0
211,2,1,3,78.31946432300734,128,512,418.0000000000004,6
211,2,1,6,90.2327568218407,128,512,512.0,7
211,2,1,7,127.96095427401781,128,512,512.0,0
211,2,1,9,97.44510587392446,128,512,404.0000000000005,6
211,2,1,13,127.85760497409179,128,512,512.0,0
211,2,1,15,90.59668907901772,128,512,512.0,3
890,2,2,2,88.12166636834021,128,512,512.0,6
890,2,2,4,94.3818706741751,128,512,499.00000000000017,2
890,2,2,5,126.59264059245787,128,512,512.0,1
890,2,2,7,49.73087770187972,128,512,275.99999999999966,30
890,2,2,18,127.99999999999997,128,512,512.0,0
211,2,2,2,127.99999999999997,128,512,512.0,0
211,2,2,3,88.75418182222998,128,512,511.9999999999998,5
211,2,2,6,91.52450317635196,128,512,392.99999999999994,3
211,2,2,7,127.7611422343439,128,512,512.0,0
211,2,2,9,87.42314858310229,128,512,318.99999999999994,6
211,2,2,13,127.88248653663952,128,512,512.0,0
211,2,2,15,90.19638716819618,128,512,509.9999999999991,8
890,2,1,2,83.7447982547277,128,512,158.0000000000001,6
890,2,1,4,91.03511608168647,128,512,380.00000000000006,4
890,2,1,5,126.87992278656552,128,512,512.0,1
890,2,1,7,47.153293098550854,128,512,275.0000000000003,26
890,2,1,18,127.90316077538075,128,512,512.0,0
890,2,0,2,85.2163819415398,128,512,358.99999999999994,8
890,2,0,4,90.4157613846214,128,512,508.0,4
890,2,0,5,126.91283120658932,128,512,512.0,1
890,2,0,7,47.50239595845446,128,512,356.99999999999903,30
890,2,0,18,126.00000000000006,128,512,512.0,2
63,8,2,1,98.7932382419165,128,512,310.00000000000006,0
63,8,2,5,54.77214910588241,128,512,210.00000000000037,40
63,8,2,7,127.99999999999997,128,512,512.0,0
63,8,2,9,62.52560039297519,128,512,310.00000000000006,13
63,8,2,10,126.74515364210399,128,512,512.0,1
63,8,2,11,120.87486665368729,128,512,512.0,0
63,8,2,12,81.97074875717024,128,512,512.0,8
63,8,2,13,87.25965644536917,128,512,454.00000000000057,7
63,8,2,16,68.87005313713833,128,512,328.0,12
63,8,2,17,47.70299795564084,128,512,9.999999999999988,29
63,8,2,18,73.66115037620885,128,512,507.0000000000003,13
63,8,2,20,124.00000000000011,128,512,512.0,4
63,8,1,1,94.34810135555698,128,512,336.9999999999997,1
63,8,1,5,51.876298322696115,128,512,298.0000000000004,41
63,8,1,7,127.86836294885798,128,512,512.0,0
63,8,1,9,61.99996271041157,128,512,171.0000000000001,16
63,8,1,10,127.99999999999997,128,512,512.0,0
63,8,1,11,115.03273220166464,128,512,407.99999999999943,1
63,8,1,12,80.46106953590639,128,512,512.0,9
63,8,1,13,85.0404541184072,128,512,512.0,7
63,8,1,16,63.20097084992777,128,512,42.999999999999964,17
63,8,1,17,45.298583092768915,128,512,115.00000000000023,37
63,8,1,18,67.36836038936856,128,512,511.0,18
63,8,1,20,127.0,128,512,512.0,1
63,8,0,1,94.75221384162295,128,512,186.00000000000023,0
63,8,0,5,59.373494324850874,128,512,234.00000000000003,35
63,8,0,7,127.84115747863504,128,512,512.0,0
63,8,0,9,61.194993609950366,128,512,167.00000000000009,13
63,8,0,10,126.96867061215542,128,512,512.0,1
63,8,0,11,117.04374356507702,128,512,512.0,0
63,8,0,12,86.50798784209249,128,512,512.0,5
63,8,0,13,79.60675158626766,128,512,509.0000000000003,5
63,8,0,16,60.59794903458187,128,512,318.9999999999995,19
63,8,0,17,45.21135592521888,128,512,156.99999999999994,32
63,8,0,18,59.079840531857116,128,512,382.00000000000006,17
63,8,0,20,126.78594524061675,128,512,512.0,1
