id,support_visits,support_travel_m,predicted_value_s_sum,post_known16_s,baseline_post_known16_s,post_known16_delta_s,whole_distance_delta_m,measure_delta,diagnostic_delta,fallback_delta
201,1,803.8070195624036,431.5318931822986,769.7660099999994,526.3668179999995,243.39919199999986,1191.9959550685671,1,1,0
203,2,1811.4290095016788,393.83553463764144,1357.268631,1151.3386490000005,205.92998199999943,979.6499156267964,2,-2,0
215,0,0.0,0.0,1572.225624,1572.225624,0.0,0.0,0,0,0
216,0,0.0,0.0,185.15799100000004,185.15799100000004,0.0,0.0,0,0,0
217,0,0.0,0.0,885.0433680000001,885.0433680000001,0.0,0.0,0,0,0
218,1,304.4097052245337,6.192981805997107,975.9304280000006,956.3136140000006,19.616813999999977,98.08407170827559,0,0,0
235,0,0.0,0.0,461.0997099999995,461.0997099999995,0.0,0.0,0,0,0
238,1,479.2921022843485,8.624110134937808,571.1887719999995,574.4212520000001,-3.232480000000578,-16.16239160997793,0,0,0
246,1,557.9071001594903,431.5915747769104,434.4014280000001,366.95935800000007,67.44207000000006,362.2103546348808,-1,-1,0
253,0,0.0,0.0,259.4555479999999,259.4555479999999,0.0,0.0,0,0,0
257,2,649.2635540027985,423.2992830151441,677.1842299999998,624.8920319999997,52.2921980000001,311.4609952953542,-2,-3,0
259,1,743.4026313676602,954.8516188360845,1083.5401360000003,1316.1925540000002,-232.6524179999999,-1138.2620954201775,-1,-3,0
261,0,0.0,0.0,1186.7100539999992,1186.7100539999992,0.0,0.0,0,0,0
262,0,0.0,0.0,182.14224400000057,182.14224400000057,0.0,0.0,0,0,0
272,1,861.8306265951574,586.3860484877268,542.1089789999996,338.1950660000002,203.9139129999994,1019.5695653948642,0,0,0
287,0,0.0,0.0,707.3368300000002,707.3368300000002,0.0,0.0,0,0,0
288,0,0.0,0.0,202.81443800000037,202.81443800000037,0.0,0.0,0,0,0
303,2,2877.024840882201,489.0898479274409,2200.992244,1682.6082299999998,518.3840140000002,2611.9200846464337,-1,-5,0
305,2,1922.0989505678172,1671.988001529606,1376.2753250000003,941.7675900000004,434.5077349999999,2067.538666434819,4,0,0
310,2,2217.489001085808,121.77746344199261,1249.3171599999996,1136.0268909999995,113.29026900000008,591.451355148165,-1,-5,0
314,0,0.0,0.0,683.0469439999997,683.0469439999997,0.0,0.0,0,0,0
315,0,0.0,0.0,865.3134330000003,865.3134330000003,0.0,0.0,0,0,0
319,1,89.42227016299414,15.56856851377298,1130.1317989999998,1131.6871819999997,-1.5553829999998925,-7.77690811451248,0,0,0
320,2,3402.8115709117055,22.828576141780445,2233.8776460000004,2140.611518,93.26612800000021,466.33063115207915,0,0,0
331,1,1113.1581603667023,272.3037265468522,1279.869941,1247.5017589999998,32.36818200000016,186.84090608553743,-1,-2,0
332,1,1559.44337879143,6.61200491610839,1182.892046,925.1898650000004,257.70218099999954,1288.5109019477532,0,-2,0
335,1,539.337445505068,87.98442071700788,1029.0259459999995,891.0601539999998,137.96579199999974,714.8289643296994,-1,0,0
358,1,537.319057434036,934.90720914427,520.4586639999998,439.5879959999993,80.87066800000048,429.3533420654312,-1,0,0
362,0,0.0,0.0,952.211226,952.211226,0.0,0.0,0,0,0
369,1,189.91071665818893,90.86073376217541,162.01263199999994,424.5932619999994,-262.5806299999995,-1262.9031511619141,-2,-2,0
371,0,0.0,0.0,187.25041299999972,187.25041299999972,0.0,0.0,0,0,0
378,1,895.3344955080329,442.9929723187265,1270.5666280000005,1239.0958090000004,31.47081900000012,182.35409737456212,-1,-1,0
387,1,1144.8027496811926,935.6480794488111,595.0448459999998,418.09005499999967,176.9547910000001,884.7739519718198,0,0,0
404,0,0.0,0.0,931.721528,931.721528,0.0,0.0,0,0,0
408,1,1234.7262240546909,257.61263947495536,1377.8880869999998,1185.5109200000002,192.37716699999964,961.8858368270448,0,0,0
426,1,646.3288088152204,125.43372652784103,528.2479250000006,376.650643,151.59728200000058,732.9864019509769,1,0,0
440,0,0.0,0.0,947.224975,947.224975,0.0,0.0,0,0,0
446,0,0.0,0.0,1469.41169,1469.41169,0.0,0.0,0,0,0
448,0,0.0,0.0,338.3732790000004,338.3732790000004,0.0,0.0,0,0,0
456,3,3702.5758605841984,613.8846893914979,1986.723733,1669.2437650000002,317.4799679999999,1637.3998421449069,-2,-5,0
463,0,0.0,0.0,183.24873299999945,183.24873299999945,0.0,0.0,0,0,0
472,1,874.4824272649,10.987043554264005,1120.8517509999992,1124.913181,-4.061430000000655,-20.307150717122568,0,0,0
475,0,0.0,0.0,188.56002799999987,188.56002799999987,0.0,0.0,0,0,0
482,1,895.7560544074465,41.8581682770257,490.6000960000001,375.002152,115.5979440000001,577.989719252193,0,-2,0
485,0,0.0,0.0,169.981444,169.981444,0.0,0.0,0,0,0
495,0,0.0,0.0,872.4570670000003,872.4570670000003,0.0,0.0,0,0,0
503,1,862.8982405739997,16.531152026571277,986.5735560000004,985.521772,1.051784000000339,5.2589198984424,0,0,0
508,0,0.0,0.0,380.8149050000002,380.8149050000002,0.0,0.0,0,0,0
509,1,384.5755923893712,6.473251390902647,459.0946100000001,430.0982509999994,28.996359000000723,144.98179652735053,0,0,0
