id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,known16_enabled_from_config
78,development,native_unconditioned,B10,FULL_CLEAR,,14,14,6189.792906,442.1280647142857,442.1280647142857,22623.964549821896,269,250,14,0,3.6349177000083728,coverage_exhausted,user_exit,0,0,5,812b96afa6bf3e2bbb9b3eb2d3d1583854d175b1e695fd1bd033a575ca86b443,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,a0868ebb5f0363a0e5d025a273288729cb52ceff1d7ac8db67d31ab8860c18aa,0,core,4800.080951999998,1053.2747020000004,0.0,0.0,336.43725200000017,11.0,827.054062,59.07529014285715,6189.792906,4120.987636999998,1485.3622349999996,203,48,25,255,3288.0809519999993,1275.0,237.0,86.0,430.0,76.0,19.0,95.0,19.0,150.0,750.0,142.0,True,False,False,,,,,128,True
80,development,native_unconditioned,R12,FULL_CLEAR,,12,12,7020.116768,585.0097306666667,585.0097306666667,24340.58384801081,352,332,12,0,1.3007912999892142,coverage_exhausted,user_exit,0,1,2,8c43e541aace415658a55f81153209f59e105ab474bdaf64129858eb836ad0dc,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5245.3933910000005,1215.9056199999977,84.28777300000002,0.0,474.52998400000155,23.0,5060.916196,421.74301633333334,7020.116768,1702.2523879999999,1551.2301870000001,57,48,25,342,3211.3933910000005,1710.0,324.0,73.0,365.0,73.0,69.0,345.0,62.0,200.0,1000.0,189.0,True,False,True,,,,,105,True
78,development,native_unconditioned,B20,FULL_CLEAR,,14,14,6189.792906,442.1280647142857,442.1280647142857,22623.964549821896,269,250,14,0,3.6612530999991577,coverage_exhausted,user_exit,0,0,5,812b96afa6bf3e2bbb9b3eb2d3d1583854d175b1e695fd1bd033a575ca86b443,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,311ff6e9fed6297eced9c9daf6f639d648122c47783d057efac191fd36809056,0,core,4800.080951999998,1053.2747020000004,0.0,0.0,336.43725200000017,11.0,827.054062,59.07529014285715,6189.792906,4120.987636999998,1485.3622349999996,203,48,25,255,3288.0809519999993,1275.0,237.0,86.0,430.0,76.0,19.0,95.0,19.0,150.0,750.0,142.0,True,False,False,,,,,128,True
79,development,native_unconditioned,B0,FULL_CLEAR,,13,13,6556.243871,504.3264516153846,504.3264516153846,23736.219374507626,295,269,13,0,3.544650299998466,coverage_exhausted,user_exit,0,3,7,d05f6a30aa6644490d7a7fa9c5282b03c6508e92fbdacd5b8ca816b4ed04dbaf,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,db4f254ad6fd9043e87e7f9e49963251cc86825d0c856ee4bcff015984699234,0,core,4435.592165000001,1341.359446999999,266.0674049999998,0.0,513.224854,5.0,5593.576124,430.2750864615385,6556.243871,761.7939690000003,676.8118260000001,36,28,25,278,2784.592165000001,1390.0,261.0,46.0,230.0,42.0,57.0,285.0,51.0,175.0,875.0,168.0,True,False,False,,,,,89,True
79,development,native_unconditioned,B5,FULL_CLEAR,,13,13,6556.243871,504.3264516153846,504.3264516153846,23736.219374507626,295,269,13,0,3.5334886999917217,coverage_exhausted,user_exit,0,3,7,d05f6a30aa6644490d7a7fa9c5282b03c6508e92fbdacd5b8ca816b4ed04dbaf,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9966523b1b3691c7156983fa1992fd8ea2e92376dc259da99d4d71096bdc82a6,0,core,4435.592165000001,1341.359446999999,266.0674049999998,0.0,513.224854,5.0,5593.576124,430.2750864615385,6556.243871,761.7939690000003,676.8118260000001,36,28,25,278,2784.592165000001,1390.0,261.0,46.0,230.0,42.0,57.0,285.0,51.0,175.0,875.0,168.0,True,False,False,,,,,89,True
79,development,native_unconditioned,B10,FULL_CLEAR,,13,13,6556.243871,504.3264516153846,504.3264516153846,23736.219374507626,295,269,13,0,3.513498799991794,coverage_exhausted,user_exit,0,3,7,d05f6a30aa6644490d7a7fa9c5282b03c6508e92fbdacd5b8ca816b4ed04dbaf,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,a0868ebb5f0363a0e5d025a273288729cb52ceff1d7ac8db67d31ab8860c18aa,0,core,4435.592165000001,1341.359446999999,266.0674049999998,0.0,513.224854,5.0,5593.576124,430.2750864615385,6556.243871,761.7939690000003,676.8118260000001,36,28,25,278,2784.592165000001,1390.0,261.0,46.0,230.0,42.0,57.0,285.0,51.0,175.0,875.0,168.0,True,False,False,,,,,89,True
79,development,native_unconditioned,B20,FULL_CLEAR,,13,13,6556.243871,504.3264516153846,504.3264516153846,23736.219374507626,295,269,13,0,3.45251570000255,coverage_exhausted,user_exit,0,3,7,d05f6a30aa6644490d7a7fa9c5282b03c6508e92fbdacd5b8ca816b4ed04dbaf,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,311ff6e9fed6297eced9c9daf6f639d648122c47783d057efac191fd36809056,0,core,4435.592165000001,1341.359446999999,266.0674049999998,0.0,513.224854,5.0,5593.576124,430.2750864615385,6556.243871,761.7939690000003,676.8118260000001,36,28,25,278,2784.592165000001,1390.0,261.0,46.0,230.0,42.0,57.0,285.0,51.0,175.0,875.0,168.0,True,False,False,,,,,89,True
81,development,native_unconditioned,R12,FULL_CLEAR,,12,12,6878.292681,573.19105675,573.19105675,23511.463400098943,356,336,12,0,1.6056458000093699,coverage_exhausted,user_exit,0,2,2,8810ab31cc3fceed18f027334b0b278cd6d02dc910aa9af720656c6ca6b9281f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,4919.818791000001,1434.9496729999994,140.8497639999996,0.0,382.67445300000054,5.0,6182.807599,515.2339665833333,6878.292681,549.5268340000002,452.54469100000006,34,24,25,341,2889.8187910000006,1705.0,325.0,70.0,350.0,68.0,71.0,355.0,67.0,200.0,1000.0,190.0,True,False,True,,,,,109,True
80,development,native_unconditioned,B0,FULL_CLEAR,,12,12,6816.270802,568.0225668333334,568.0225668333334,24991.354023332624,297,273,12,0,3.2958878000063123,coverage_exhausted,user_exit,0,0,2,8c43e541aace415658a55f81153209f59e105ab474bdaf64129858eb836ad0dc,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,db4f254ad6fd9043e87e7f9e49963251cc86825d0c856ee4bcff015984699234,0,core,5108.331991999999,992.0539010000009,0.0,0.0,715.8849089999994,23.0,3059.872179,254.98934825,6816.270802,3172.016987,1715.3146980000001,142,72,25,285,3418.331992,1425.0,265.0,52.0,260.0,51.0,33.0,165.0,31.0,200.0,1000.0,183.0,True,False,False,,,,,86,True
80,development,native_unconditioned,B5,FULL_CLEAR,,12,12,6816.270802,568.0225668333334,568.0225668333334,24991.354023332624,297,273,12,0,3.4501971999998204,coverage_exhausted,user_exit,0,0,2,8c43e541aace415658a55f81153209f59e105ab474bdaf64129858eb836ad0dc,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9966523b1b3691c7156983fa1992fd8ea2e92376dc259da99d4d71096bdc82a6,0,core,5108.331991999999,992.0539010000009,0.0,0.0,715.8849089999994,23.0,3059.872179,254.98934825,6816.270802,3172.016987,1715.3146980000001,142,72,25,285,3418.331992,1425.0,265.0,52.0,260.0,51.0,33.0,165.0,31.0,200.0,1000.0,183.0,True,False,False,,,,,86,True
