certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
8,802,1.0,15,256346.0112564204,,synthetic_local,39,3819.946816752279,608,True,7,P4,0.6521886000000006,17,edge,554,15,False,57299.20225128419
16,16,1.0,16,32308.595579139634,,synthetic_local,43,442.4824447392457,95,False,0,P1,0.03866999999999976,18,bias,63,16,True,7079.719115827931
16,16,1.0,16,34449.48900797956,,synthetic_local,40,468.3061125997445,92,False,0,P2,0.8629444,18,bias,63,16,True,7492.897801595912
14,34,1.0,16,20526.642021679152,,synthetic_local,41,302.3330252709894,101,False,2,P3,0.6949001999999993,18,bias,93,16,True,4837.328404335831
10,255,1.0,16,107569.32088278077,,synthetic_local,37,1538.9290110347604,399,True,6,P1,0.06779789999999863,18,bias,317,16,True,24622.864176556166
15,19,1.0,16,44625.16537086065,,synthetic_local,69,718.8770671357584,425,True,1,P4,0.7782923999999998,18,bias,363,16,True,11502.033074172134
14,26,1.0,16,44828.25650661008,,synthetic_local,68,723.0407063326262,426,True,2,P4,0.7389831999999998,18,bias,363,16,False,11568.65130132202
14,14,1.0,14,27981.939366205843,,synthetic_local,42,438.31341951722624,84,False,0,P1,0.036975599999999886,19,cluster,50,14,True,6136.387873241168
14,14,1.0,14,30684.57383433511,,synthetic_local,42,476.92248334764463,84,False,0,P2,0.953008500000001,19,cluster,50,14,True,6676.914766867025
14,14,1.0,14,11842.576012001537,,synthetic_local,42,209.46537160002194,84,False,0,P3,0.6811618000000017,19,cluster,74,14,True,2932.5152024003073
10,440,1.0,14,172808.00543517212,,synthetic_local,32,2741.4000776453217,424,True,4,P1,0.07967990000000036,19,cluster,350,14,True,38379.601087034505
8,15,1.0,14,35024.67762869213,,synthetic_local,45,756.4239661241734,593,True,6,P4,0.6682366999999996,19,cluster,547,14,True,10589.935525738427
