cohort,seed,seed_hex,source_seed,derivation_index,contrast,reference,candidate,valid_pair,reference_status,candidate_status,mean_time_per_source_delta,virtual_time_s_delta,last_source_first_seen_s_delta,last_source_first_seen_per_source_s_delta,detect_count_delta,switch_count_delta,discovery_measures_delta,discovery_travel_s_delta,discovery_measure_s_delta,discovery_switch_s_delta,final_discovery_measure_s_delta,post_last_seen_discovery_s_delta,post_all_cleared_discovery_s_delta,distance_delta,stage_discovery_s_delta,stage_active_localization_s_delta,stage_diagnostic_s_delta,stage_optical_fallback_s_delta,stage_certified_clear_s_delta,comparison,last_discovery_comparison
holdout128,48,9b368e85e19818e7e2d7efbe863764c3961358cfa30c244619567e1de7ef9a06,,80,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-97.21183353333345,-1458.1775030000008,-740.5285630000008,-49.368570866666744,32,39,43,-608.2640659999997,215.0,44.0,-1458.1775030000008,-425.63837499999954,-823.9919559999998,-8285.887540224234,-349.26406599999973,-418.6839479999983,-946.3788249999998,0.0,256.1493359999974,win,win
holdout128,48,9b368e85e19818e7e2d7efbe863764c3961358cfa30c244619567e1de7ef9a06,,80,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,40.31747160000009,604.7620740000002,1478.4256640000003,98.56171093333336,0,-1,-7,488.462607999998,-35.0,-4.0,604.7620740000002,-678.5963880000027,-266.63880600000084,3028.810376965579,449.462607999998,439.0207019999998,0.0,0.0,-283.721235999998,loss,loss
holdout128,49,7c292c19626116b739d5fe72f8b7ce6c849d8421c8d63a2bc8ccd96b861263d5,,81,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-79.1567598571429,-1108.1946380000009,-5006.352754,-357.59662528571425,-27,-25,-27,-902.8009430000029,-135.0,-24.0,-1108.1946380000009,3328.454044999996,-1.8189894035458565e-12,-4740.973208862,-1061.800943000002,-233.22566199999937,244.12572700000032,0.0,-57.293759999999224,win,win
holdout128,49,7c292c19626116b739d5fe72f8b7ce6c849d8421c8d63a2bc8ccd96b861263d5,,81,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,50,83c5147e237858f9c7539fb3700ba57161a9e38a80563505e5468560eece958e,,82,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-134.6573695333334,-2019.8605430000007,-459.78435700000045,-30.652290466666727,-41,-43,-34,-1164.2897890000013,-170.0,-37.0,-2019.8605430000007,-1591.0414010000004,214.34050399999978,-8859.30271132166,-1371.2897890000022,-1213.3357499999966,0.0,0.0,564.7649959999973,win,win
holdout128,50,83c5147e237858f9c7539fb3700ba57161a9e38a80563505e5468560eece958e,,82,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,51,67251ad3d1145dbd622fd9bee97fe1ce88ae43c9fdda0ff05c8503756c9e24e3,,83,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-90.10717108333336,-1081.2860529999998,-4697.245642000001,-391.4371368333334,2,7,6,-1015.4285170000003,30.0,8.0,-1081.2860529999998,3235.5330440000007,-923.1739749999997,-5491.430263960101,-977.4285170000003,-383.4245899999994,245.6419560000004,0.0,33.925097999999934,win,win
holdout128,51,67251ad3d1145dbd622fd9bee97fe1ce88ae43c9fdda0ff05c8503756c9e24e3,,83,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,13.285710083333356,159.42852099999982,1111.4748630000004,92.62290525000003,-34,-38,-36,67.11091199999919,-180.0,-38.0,159.42852099999982,-862.7472340000013,3482.959784999999,1807.1426026812042,-150.8890879999999,-59.471465000001444,202.92479199999957,108.76267000000007,58.10161200000266,loss,loss
holdout128,52,f7f3ee3972776b6135c9de65ba1ee362d31101d15e5b8dc2c882c7ba8405fa1b,,84,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-91.82007562500007,-1469.1212100000012,-1984.5176969999993,-124.03235606249996,-30,-21,-26,-819.9547200000025,-130.0,-21.0,-1469.1212100000012,762.6337099999973,241.060865999998,-6490.606051596515,-970.9547200000025,-387.8343660000003,125.66643500000009,0.0,-235.99855899999852,win,win
holdout128,52,f7f3ee3972776b6135c9de65ba1ee362d31101d15e5b8dc2c882c7ba8405fa1b,,84,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
