cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,nccp,segment_entry,1000.5729850833333,1000.6411293333334,0.06814425000015945,loss,0.8177310000010038,4.088649423829338,3.832653308460067,0.28041500000472297,-0.2292140000015479,0.0,0.0,0.7665299999995341
development100,4,4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,mec_center,nccp,1040.9426024545455,1039.188603090909,-1.753999363636467,win,-19.29399299999932,-96.46996926169231,-93.06751195424215,-1.16759600000114,-0.0887059999995472,0.5758099999998194,4.547473508864641e-13,-18.61350100000027
development100,4,4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,mec_center,segment_entry,1040.9426024545455,1039.2151059999999,-1.7274964545456442,win,-19.00246100000004,-95.01229479860922,-92.8167830612665,-0.8734710000007908,-0.13234599999964303,0.5667129999999361,4.547473508864641e-13,-18.563357000000906
development100,4,4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,nccp,segment_entry,1039.188603090909,1039.2151059999999,0.026502909090822868,loss,0.2915319999992789,1.4576744630830945,0.25072889297564416,0.29412500000034925,-0.043640000000095824,-0.009096999999883337,0.0,0.05014399999936359
development100,4,5,5555555555555555555555555555555555555555555555555555555555555555,mec_center,nccp,916.3122949230769,914.2283376153846,-2.0839573076923443,win,-27.09144500000002,-135.45723654341418,-113.8481118086006,-7.633542000001398,3.3117170000007263,9.094947017729282e-13,0.0,-22.769620000002078
development100,4,5,5555555555555555555555555555555555555555555555555555555555555555,mec_center,segment_entry,916.3122949230769,914.2575823076924,-2.054712615384574,win,-26.711263999999574,-133.55632926160615,-110.03134868855545,-7.527398000001995,2.8224019999991015,0.0,0.0,-22.00626799999884
development100,4,5,5555555555555555555555555555555555555555555555555555555555555555,nccp,segment_entry,914.2283376153846,914.2575823076924,0.029244692307770492,loss,0.38018100000044797,1.9009072818080313,3.8167631200451524,0.1061439999994036,-0.48931500000162487,-9.094947017729282e-13,0.0,0.7633520000032377
development100,4,6,0000000000000000000000000000000000000000000000000000000000000001,mec_center,nccp,987.966284909091,985.5698120909091,-2.3964728181819055,win,-26.36120100000153,-131.80600574848359,-99.35062378490329,-5.863182999999481,-0.6278949999993984,0.0,0.0,-19.870123000000262
development100,4,6,0000000000000000000000000000000000000000000000000000000000000001,mec_center,segment_entry,987.966284909091,985.7107035454545,-2.255581363636452,win,-24.81139500000063,-124.05698808150919,-93.9220590223822,-5.317459999998391,-0.7095240000003287,0.0,0.0,-18.784410999999636
development100,4,6,0000000000000000000000000000000000000000000000000000000000000001,nccp,segment_entry,985.5698120909091,985.7107035454545,0.1408914545454536,loss,1.549806000000899,7.749017666974396,5.428564762521091,0.5457230000010895,-0.08162900000093032,0.0,0.0,1.0857120000006262
development100,4,7,0000000000000000000000000000000000000000000000000000000000000002,mec_center,nccp,1203.8154547,1201.5469679,-2.2684867999998914,win,-22.68486800000028,-113.42433728071046,-96.84087527884094,-1.8022190000010596,-1.3535369999999602,-0.1609369999999899,0.0,-19.368174999999724
development100,4,7,0000000000000000000000000000000000000000000000000000000000000002,mec_center,segment_entry,1203.8154547,1201.648629,-2.1668256999998903,win,-21.668256999999358,-108.34127270291356,-95.02004313180964,-1.7695519999979297,-0.7346020000009048,-0.1600930000001881,0.0,-19.004009999999766
development100,4,7,0000000000000000000000000000000000000000000000000000000000000002,nccp,segment_entry,1201.5469679,1201.648629,0.10166110000000117,loss,1.0166110000009212,5.083064577796904,1.8208321470312967,0.03266700000312994,0.6189349999990554,0.0008439999998017811,0.0,0.3641649999999572
development100,4,8,0000000000000000000000000000000000000000000000000000000000000004,mec_center,nccp,704.05320025,701.954316875,-2.098883375000014,win,-33.582134000000224,-167.91067646825832,-154.78867866291694,1.6041149999982736,-4.228514999999334,0.0,0.0,-30.957733999999505
development100,4,8,0000000000000000000000000000000000000000000000000000000000000004,mec_center,segment_entry,704.05320025,702.10886575,-1.9443345000000818,win,-31.10935200000131,-155.54676747699705,-149.69465695903227,1.3098200000003999,-2.4802429999995184,0.0,0.0,-29.93892900000128
development100,4,8,0000000000000000000000000000000000000000000000000000000000000004,nccp,segment_entry,701.954316875,702.10886575,0.1545488749999322,loss,2.472781999998915,12.363908991261269,5.094021703884664,-0.2942949999978737,1.7482719999998153,0.0,0.0,1.018804999998224
development100,4,9,0000000000000000000000000000000000000000000000000000000000000040,mec_center,nccp,783.1293859333333,781.5789619999999,-1.5504239333333771,win,-23.256359000000884,-91.28179328455008,83.09937285776869,-0.8482670000012149,-38.221279000000095,-0.8066880000023957,0.0,16.619875000003503
development100,4,9,0000000000000000000000000000000000000000000000000000000000000040,mec_center,segment_entry,783.1293859333333,781.97789,-1.1514959333333081,win,-17.272439000000304,-86.36220684403816,-83.06030161746594,-0.747205000001486,0.99313599999914,-0.9063120000027993,0.0,-16.612057999995613
development100,4,9,0000000000000000000000000000000000000000000000000000000000000040,nccp,segment_entry,781.5789619999999,781.97789,0.398928000000069,loss,5.98392000000058,4.919586440511921,-166.15967447523462,0.10106199999972887,39.214414999999235,-0.09962400000040361,0.0,-33.23193299999912
development100,4,10,0000000000000000000000000000000000000000000000000000000000001000,mec_center,nccp,1230.6912058,1228.4564131,-2.234792700000071,win,-22.34792700000071,-111.73963445010304,-69.82009883083902,-8.66569299999901,0.28178699999989476,0.0,0.0,-13.964021000001594
development100,4,10,0000000000000000000000000000000000000000000000000000000000001000,mec_center,segment_entry,1230.6912058,1228.5073475,-2.183858300000111,win,-21.838583000000654,-109.19291260046157,-68.21887273731977,-8.216404999999213,0.021598000001176842,0.0,0.0,-13.643776000002163
development100,4,10,0000000000000000000000000000000000000000000000000000000000001000,nccp,segment_entry,1228.4564131,1228.5073475,0.05093439999996008,loss,0.5093440000000555,2.5467218496414716,1.6012260935192444,0.44928799999979674,-0.2601889999987179,0.0,0.0,0.32024499999943146
development100,4,11,0000000000000000000000000000000000000000000000000000000000040000,mec_center,nccp,748.23777,745.80285475,-2.4349152499999036,win,-38.95864399999846,-194.79321729077492,-141.54868885881342,-6.412379999996119,-1.7902660000036121,-2.4462589999992588,0.0,-28.309738999997876
development100,4,11,0000000000000000000000000000000000000000000000000000000000040000,mec_center,segment_entry,748.23777,745.94004775,-2.2977222499999925,win,-36.76355599999988,-183.8177978551903,-135.96670186430765,-5.996094999996785,-1.1185500000028696,-2.4555719999997336,0.0,-27.19333899999924
development100,4,11,0000000000000000000000000000000000000000000000000000000000040000,nccp,segment_entry,745.80285475,745.94004775,0.13719299999991108,loss,2.1950879999985773,10.975419435584627,5.581986994505769,0.4162849999993341,0.6717160000007425,-0.009313000000474858,0.0,1.1163999999986345
development100,4,12,0000000000000000000000000000000000000000000000000000000001000000,mec_center,nccp,662.2763275625,660.401574875,-1.8747526874999494,win,-29.99604299999919,-149.9802229269917,-150.19398710326323,-2.084097999997539,2.12685099999635,0.0,0.0,-30.038795999998683
development100,4,12,0000000000000000000000000000000000000000000000000000000001000000,mec_center,segment_entry,662.2763275625,660.39326625,-1.88306131249999,win,-30.12898099999984,-150.64489973171294,-147.6658249631423,-2.10550499999772,1.5096889999995255,0.0,0.0,-29.533165000002327
development100,4,12,0000000000000000000000000000000000000000000000000000000001000000,nccp,segment_entry,660.401574875,660.39326625,-0.008308625000040593,win,-0.13293800000064948,-0.664676804721239,2.5281621401209122,-0.021407000000181142,-0.6171619999968243,0.0,0.0,0.505630999996356
development100,4,13,0000000000000000000000000000000000000000000000000000000040000000,mec_center,nccp,796.4166929285714,794.572448857143,-1.8442440714284203,win,-25.819416999998793,-129.0970868783479,-132.13319418695892,-2.595101999999315,3.202325000000201,0.0,0.0,-26.426639999998656
development100,4,13,0000000000000000000000000000000000000000000000000000000040000000,mec_center,segment_entry,796.4166929285714,794.5620330714286,-1.8546598571427921,win,-25.965237999998863,-129.82619721603987,-122.44078912742498,-2.2291110000005574,0.7520319999994172,0.0,0.0,-24.488158999998745
development100,4,13,0000000000000000000000000000000000000000000000000000000040000000,nccp,segment_entry,794.572448857143,794.5620330714286,-0.01041578571437185,win,-0.14582100000006903,-0.7291103376919637,9.69240505953394,0.3659909999987576,-2.4502930000007836,0.0,0.0,1.9384809999999106
development100,4,14,0000000000000000000000000000000000000000000000000000001000000000,mec_center,nccp,926.7426691538462,924.6001206153846,-2.1425485384615968,win,-27.85313099999985,-139.2656625362215,-116.97375236979428,-3.9665989999994054,-0.4917840000025535,0.0,0.0,-23.39474799999863
