seed,method,diameter_m,mec_radius_m,time_s
76,perpendicular_midpoint,34.117753028108005,17.058876524054003,166.0810998919874
76,NBV,30.349918233363216,15.17495912668162,179.3357675757282
77,random_safe,310.8558485340672,155.42792427703364,113.25796000742753
77,perpendicular_midpoint,56.55619798412578,28.278099002062945,165.25607967671243
77,NBV,39.64829387545423,19.82414694772713,189.07041756145898
78,random_safe,163.86346650180204,81.93173326090111,169.07884164949846
78,perpendicular_midpoint,201.73251642834904,100.86625822417452,164.92825767155517
78,NBV,139.75866192554653,69.87933097277336,199.28969973905254
79,random_safe,20.997836453084386,10.4989182365422,129.52399264814272
79,perpendicular_midpoint,38.14975086438675,19.074875442193377,166.0883881623728
79,NBV,43.548429185685514,21.774214602842775,179.38804070139432
80,random_safe,750.4826613264421,375.2413306732211,160.18089947055893
80,perpendicular_midpoint,60.74670482469828,30.37335242234914,164.97574465780724
80,NBV,39.11873672617063,19.55936837308535,194.39243016472264
81,random_safe,171.25172898855283,85.62586450427641,129.52738260856668
81,perpendicular_midpoint,128.06129046239744,64.03064524119881,165.252865947516
81,NBV,76.05066102632924,38.02533052316472,197.4562225012269
82,random_safe,75.27621025183458,37.63810513591729,174.81780521069183
82,perpendicular_midpoint,79.22009771699545,39.61004886849773,166.0562965335944
82,NBV,75.27621025183458,37.63810513591729,174.81780521069183
83,random_safe,227.72374160191035,113.86187081095521,129.25775836263014
83,perpendicular_midpoint,215.83469670765214,107.91734836382611,165.79050184630677
83,NBV,153.00591564126077,76.50295783063041,173.90256461388114
84,random_safe,34.88733380145405,17.443666910727057,165.39341530204294
84,perpendicular_midpoint,33.76427828274595,16.88213915137299,166.0698871722463
84,NBV,32.54378305033913,16.271891535169594,190.89612779836844
85,random_safe,93.38147669316288,46.69073835658144,165.41654534117694
85,perpendicular_midpoint,97.57547743001706,48.78773872500854,164.85731623240454
85,NBV,116.74723618461073,58.373618102305365,191.03906711013562
86,random_safe,38.9235834351843,19.461791727592153,158.1688925236286
86,perpendicular_midpoint,49.870928361510494,24.935464190755248,165.46462512490592
86,NBV,52.50731108968795,26.25365555484398,177.55755634521887
87,random_safe,97.76580376347577,48.88290189173789,191.0390671101356
87,perpendicular_midpoint,71.37849583347409,35.68924792673706,165.03661715191896
87,NBV,67.39090348635564,33.69545175317783,179.4207801980771
88,random_safe,42.15461297898812,21.077306499494068,129.48278895301422
88,perpendicular_midpoint,27.40363744325499,13.701818731627515,166.0320339657804
88,NBV,32.496097483765006,16.248048751882504,183.0855777543703
89,random_safe,48.301961141694996,24.150980580847556,193.29582015439874
89,perpendicular_midpoint,31.729129459897184,15.864564739948593,164.92198625152832
89,NBV,48.301961141694996,24.150980580847556,193.29582015439874
90,random_safe,75.59119077914983,37.79559539957497,128.83569567040297
90,perpendicular_midpoint,38.25500305910049,19.127501539550245,165.21931880832068
90,NBV,31.727856959890826,15.863928489945414,185.5117574626083
91,random_safe,186.52485054869751,93.26242528434875,146.5036326085436
91,perpendicular_midpoint,166.28247161478802,83.14123581739412,165.5834219881312
91,NBV,126.05932149414168,63.02966075707096,183.5331227353468
92,random_safe,36.76656966638066,18.38328484319033,125.22597070599382
92,perpendicular_midpoint,61.973822859236044,30.986911439618023,165.58075670849038
92,NBV,56.6875021858722,28.3437511029361,173.42731534554164
93,random_safe,35.37630966479319,17.688154842396624,187.4129742049434
93,perpendicular_midpoint,27.3303169648971,13.665158492448551,165.01294723597934
93,NBV,33.320221834390075,16.66011092719504,183.53312273534664
94,random_safe,93.19004393817903,46.595021979089516,197.48669262215444
94,perpendicular_midpoint,48.36187933930662,24.18093967965331,164.7276015947274
94,NBV,95.18498147278335,47.59249074639169,200.1700207617898
95,random_safe,68.56453869657747,34.28226935828875,200.3817698797354
95,perpendicular_midpoint,29.825645692179762,14.91282285608991,166.03813709493184
95,NBV,54.309441737327504,27.154720878663753,197.14951284248008
96,random_safe,281.51188933399254,140.75594467699628,209.646252016829
96,perpendicular_midpoint,226.66346913950562,113.33173457975292,164.67070496259788
96,NBV,164.72647304888284,82.36323653444141,193.98263885357065
97,random_safe,44.80882020230189,22.40441011115095,126.23779155772657
97,perpendicular_midpoint,70.24653788827808,35.12326895413904,165.48207135135937
97,NBV,118.64654596979625,59.32327299489814,196.1422742679865
98,random_safe,27.265187828079974,13.63305260547996,165.41654534117697
98,perpendicular_midpoint,27.29576739425768,13.647883707128841,165.47556276418405
98,NBV,40.896997601139425,20.448498810569713,194.39243016472258
99,random_safe,750.9044973527965,375.45224868639826,160.18089947055887
99,perpendicular_midpoint,57.50171523668138,28.7508576283407,165.3473821397124
99,NBV,97.99961797616767,48.999808998083864,197.45622250122685
