seed,method,point_error_m,point_attempt_success,diameter_stop,mec_stop,mec_center_error_m
27,random_safe,2.4700739551728734,True,False,False,2.8382453212400507
27,perpendicular_midpoint,2.4311839305150573,True,False,False,2.0740320132012395
27,NBV,4.502948192116548,True,False,False,4.577362199743591
28,random_safe,10.718278879746551,True,True,True,10.938729097723535
28,perpendicular_midpoint,13.665296756509365,True,True,True,13.638950452898987
28,NBV,16.138014943740274,True,False,False,16.081393491478913
29,random_safe,15.115103972345887,True,False,False,26.320678894371444
29,perpendicular_midpoint,55.1869181736479,False,False,False,48.226499525348274
29,NBV,32.70031573567193,False,False,False,28.85633914380743
30,random_safe,3.9977971214037766,True,True,True,3.6686269216574807
30,perpendicular_midpoint,3.916823374934375,True,False,False,3.284216750258754
30,NBV,21.496441850189264,False,False,False,21.814050453496257
31,random_safe,10.668495123747052,True,False,False,10.726385644551973
31,perpendicular_midpoint,3.0210633456255676,True,False,False,3.1401921830495665
31,NBV,10.668495123747052,True,False,False,10.726385644551973
32,random_safe,152.22239889014813,False,False,False,62.74746975156689
32,perpendicular_midpoint,27.24521305606414,False,False,False,29.26163802837249
32,NBV,13.955138566492709,True,False,False,13.629218008109408
33,random_safe,112.82893467300225,False,False,False,80.75543884646115
33,perpendicular_midpoint,27.754444497729125,False,False,False,23.525510461664407
33,NBV,36.30996098328759,False,False,False,36.322719873765365
34,random_safe,11.155320309919864,True,True,True,11.80109309706494
34,perpendicular_midpoint,6.674037553756373,True,True,True,6.769649497298458
34,NBV,7.77880161396004,True,True,True,7.794738940895636
35,random_safe,68.32505583491589,False,False,False,82.80440231486385
35,perpendicular_midpoint,40.46675803096657,False,False,False,33.861416639873056
35,NBV,44.94253197274489,False,False,False,41.412629741551775
36,random_safe,9.383590802901697,True,False,False,9.219093317755345
36,perpendicular_midpoint,8.68581869421805,True,False,False,8.516811947623513
36,NBV,9.671972536605907,True,False,False,9.698411151119556
37,random_safe,4.154435185863829,True,True,True,4.1165935865599845
37,perpendicular_midpoint,3.8868416700325104,True,False,False,3.9251982160304775
37,NBV,7.795974709574804,True,False,False,7.2025254719894685
38,random_safe,36.652646796755356,False,False,False,36.49904490103585
38,perpendicular_midpoint,11.470306883125673,True,True,True,11.208432603836917
38,NBV,10.558238894800867,True,True,True,10.434919059524043
39,random_safe,2710.466089675755,False,False,False,220.19004896589766
39,perpendicular_midpoint,19.871377224061227,True,False,False,19.30223367379508
39,NBV,14.754231357259501,True,True,True,14.816132796275872
40,random_safe,19.39700638981793,True,False,False,19.581773141208384
40,perpendicular_midpoint,4.14979209541632,True,False,False,3.718709834966208
40,NBV,3.152815787622126,True,False,False,2.5237716483612527
41,random_safe,16.882639796988,True,False,False,13.4903960328246
41,perpendicular_midpoint,21.450201084972008,False,False,False,26.30400860138555
