seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,clearance_point,polygon_certified_count,near_certified_count,polygon_clear_travel_m,polygon_clear_mec_travel_m,same_state_clear_saving_m,polygon_zero_move_count,nccp_fallback_count,max_clearance_vertex_distance,certificate_audit_violations,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
81,f5e448db998402da006dd0a63b61cef865dacc9d9d4caa4e8ad34f48feb6ea1e,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,920.6904696153846,11968.976105,42629.88052529548,2.186041599998134,cpu,0,0,13,0,4,571,523,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,b4f2b9f5541aa0949c16afc79a293db885e90f3d2ceadf2c1195dbfb985b3e00,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,11,recovered_practice_engine_local,grid_v1,nccp,13,0,1639.7642551879342,1743.3316105241363,103.56735533620177,0,0,19.99899999999999,0,9769.101206,1316.005066,490.9169819999996,0.0,392.9528510000015,0.0
82,8127aa1ef27a701b4627f2a9b49c3ccf8a81d85105ebc1e2dbbc65dd1e9cf686,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,722.9572489375,11567.315983,45056.57990671312,3.124495600000955,cpu,1,165,22,7,5,420,358,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,633a6739aee34a9a353659683618e4d6a2f0348ca3e563c7ce689fc24e90dc1d,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,14,recovered_practice_engine_local,grid_v1,mec_center,15,0,1374.8887403314766,1374.8887403314766,0.0,0,0,19.287666029623576,0,8466.939241,2363.122461,336.77096900000015,50.50556400000005,349.9777479999997,1.8189894035458565e-12
82,8127aa1ef27a701b4627f2a9b49c3ccf8a81d85105ebc1e2dbbc65dd1e9cf686,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,16,16,1.0,,720.784088625,11532.545418,44907.727071003115,3.1714988999956404,cpu,1,165,22,7,5,419,358,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,633a6739aee34a9a353659683618e4d6a2f0348ca3e563c7ce689fc24e90dc1d,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,14,recovered_practice_engine_local,grid_v1,nccp,15,0,1201.9110363464185,1334.8952218220045,132.98418547558606,1,0,19.99899999999999,0,8464.760160999998,2365.1265169999974,336.77096900000015,50.50556399999914,315.38220700000556,1.8189894035458565e-12
83,49f8ce17d98b74d4934e7d721b6fbc06e02787155797de9f775ea3e24b4c0c87,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,860.0466163846154,11180.606013,41013.030062280144,2.056016599999566,cpu,0,0,13,0,0,493,448,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,152df0f4ad4fb4bcc6773eea9957969bbff8cb6dd25496984b1e999fbbaa3d7e,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,mec_center,13,0,1818.6874629598528,1818.6874629598528,0.0,0,0,19.85883882416765,0,9580.807849,1171.060670999998,0.0,0.0,428.7374930000017,0.0
83,49f8ce17d98b74d4934e7d721b6fbc06e02787155797de9f775ea3e24b4c0c87,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,857.9365126153846,11153.174664,40875.87331879918,1.8870787999985623,cpu,0,0,13,0,0,493,448,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,152df0f4ad4fb4bcc6773eea9957969bbff8cb6dd25496984b1e999fbbaa3d7e,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,nccp,13,0,1716.2243683207182,1816.3457842906346,100.12141596991663,1,0,19.998999999999985,0,9576.590941999999,1168.3388490000011,0.0,0.0,408.24487300000027,0.0
84,66425253a769bb2c957eca16b1b8a4ac846609f9c9e9fbb8ee3f46a995a03df3,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,1081.5630601818182,11897.193662,37720.968308068914,1.6633447999993223,cpu,0,0,11,0,0,723,683,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,23aafb9adf749b1554bed4dee058060d5a516bc899959ae34ca297b830ac9440,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,mec_center,11,0,1213.9765275680056,1213.9765275680056,0.0,0,0,17.734030426643777,0,10474.515115,1124.8832409999998,0.0,0.0,297.7953059999991,1.8189894035458565e-12
84,66425253a769bb2c957eca16b1b8a4ac846609f9c9e9fbb8ee3f46a995a03df3,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,11,11,1.0,,1079.2513197272726,11871.764517,37593.822585636764,1.5627385999978287,cpu,0,0,11,0,0,723,683,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,23aafb9adf749b1554bed4dee058060d5a516bc899959ae34ca297b830ac9440,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,nccp,11,0,1112.5020435485262,1213.9695917109052,101.46754816237898,0,0,19.998999999999995,0,10468.043691999997,1126.2204169999989,0.0,0.0,277.5004080000024,1.8189894035458565e-12
85,a15bbdfc4c87482262295c719a883d867c503d508db8e94bd8380fddf9345293,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,854.0014426153847,11102.018754,41055.09378419255,1.4793504000044777,cpu,0,0,13,0,2,479,431,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,faac52678ae2b1a5a1aad69aee6321a3b834f7d1cbbbc44a0a00327262d04b08,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,12,recovered_practice_engine_local,grid_v1,mec_center,13,0,2070.0055336232076,2070.0055336232076,0.0,0,0,19.758246331284365,0,8983.468533,1454.3514800000012,185.1976340000001,0.0,479.00110699999993,0.0
85,a15bbdfc4c87482262295c719a883d867c503d508db8e94bd8380fddf9345293,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,851.9133987692308,11074.874184,40919.37092805782,1.5149122000002535,cpu,0,0,13,0,2,479,431,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,faac52678ae2b1a5a1aad69aee6321a3b834f7d1cbbbc44a0a00327262d04b08,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,12,recovered_practice_engine_local,grid_v1,nccp,13,0,1963.6269042235133,2070.8317554951204,107.20485127160703,0,0,19.998999999999995,0,8979.639025,1452.3121439999995,185.1976340000001,0.0,457.7253810000004,0.0
86,20eb4f3904a69054d9761472a73fc2d576f7717320933de3ea5f7d3d73322aa3,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1005.7418303333334,12068.901964,45599.509815564365,0.9948555000009947,cpu,0,0,12,0,6,489,444,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,451bee4e04d7b7cd2897f716b1164fa158f114b5289abc8e8674efb6cf6ae925,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,1,recovered_practice_engine_local,grid_v1,mec_center,12,0,1503.1837673431496,1503.1837673431496,0.0,0,0,19.6433061864613,0,9609.255878999998,1550.693461999999,548.3158699999999,0.0,360.63675300000256,0.0
