time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
5.724000000000000000e+04,1.221387200000000062e-02,3.701105974595128023e-01,7.794050552067470772e-01,3.219172404150221767e-01
5.730000000000000000e+04,1.221324074074073979e-02,3.695420221994102361e-01,7.795852030474942351e-01,3.219271520751628146e-01
5.736000000000000000e+04,1.221260503703703801e-02,3.689754901405336573e-01,7.797639799197529920e-01,3.219371208404420703e-01
5.742000000000000000e+04,1.221196400000000050e-02,3.684110202422957170e-01,7.799412595589590991e-01,3.219471604527039399e-01
5.748000000000000000e+04,1.221131674074074115e-02,3.678486309710706781e-01,7.801169158430492079e-01,3.219572846007416889e-01
5.754000000000000000e+04,1.221066237037036865e-02,3.672883403117895296e-01,7.802908227878944114e-01,3.219675069203510320e-01
5.760000000000000000e+04,1.221000000000000037e-02,3.667301657790648095e-01,7.804628545431567810e-01,3.219778409943780395e-01
5.766000000000000000e+04,1.220932617283950611e-02,3.661742251231646095e-01,7.806325003250706995e-01,3.219883405403717869e-01
5.772000000000000000e+04,1.220863901234567860e-02,3.656205691091778953e-01,7.807994890819833778e-01,3.219990339486348829e-01
5.778000000000000000e+04,1.220794000000000046e-02,3.650691173997095973e-01,7.809640528523497105e-01,3.220098977011193742e-01
5.784000000000000000e+04,1.220723061728395085e-02,3.645197929993769792e-01,7.811264217211925098e-01,3.220209083690862562e-01
5.790000000000000000e+04,1.220651234567901415e-02,3.639725217250676659e-01,7.812868242046852041e-01,3.220320426159904437e-01
5.796000000000000000e+04,1.220578666666666603e-02,3.634272318566097448e-01,7.814454874987193378e-01,3.220432771986193599e-01
5.802000000000000000e+04,1.220505506172839434e-02,3.628838538849675222e-01,7.816026376547731136e-01,3.220545889670615169e-01
5.808000000000000000e+04,1.220431901234567997e-02,3.623423203189175545e-01,7.817584997127404733e-01,3.220659548641994774e-01
5.814000000000000000e+04,1.220358000000000033e-02,3.618025655301179144e-01,7.819132978058929151e-01,3.220773519249858774e-01
5.820000000000000000e+04,1.220283950617283980e-02,3.612645256250731629e-01,7.820672552465703919e-01,3.220887572756012118e-01
5.826000000000000000e+04,1.220209901234568101e-02,3.607281383368563521e-01,7.822205945979247010e-01,3.221001481325452276e-01
5.832000000000000000e+04,1.220136000000000137e-02,3.601933429318736613e-01,7.823735377352034615e-01,3.221115018016827980e-01
5.838000000000000000e+04,1.220062395061728353e-02,3.596600801284065563e-01,7.825263058989720966e-01,3.221227956772592660e-01
5.844000000000000000e+04,1.219989234567901357e-02,3.591282920245930654e-01,7.826791197419873392e-01,3.221340072408933053e-01
5.850000000000000000e+04,1.219916666666666892e-02,3.585979220341155571e-01,7.828321993709841387e-01,3.221451140605558483e-01
5.856000000000000000e+04,1.219844839506172701e-02,3.580689148282749645e-01,7.829857643843302073e-01,3.221560937895364685e-01
5.862000000000000000e+04,1.219773901234568088e-02,3.575412162834387675e-01,7.831400339062816185e-01,3.221669241654041005e-01
5.868000000000000000e+04,1.219704000000000274e-02,3.570147734330556544e-01,7.832952266184055601e-01,3.221775830089625980e-01
5.874000000000000000e+04,1.219635283950617523e-02,3.564895344235932684e-01,7.834515607886485267e-01,3.221880482232060694e-01
5.880000000000000000e+04,1.219567901234567923e-02,3.559654484738772884e-01,7.836092542984027798e-01,3.221982977922747127e-01
5.886000000000000000e+04,1.219502000000000086e-02,3.554424658374008006e-01,7.837685246678851581e-01,3.222083097804124274e-01
5.892000000000000000e+04,1.219437728395061926e-02,3.549205377672474682e-01,7.839295890800705990e-01,3.222180623309310876e-01
5.898000000000000000e+04,1.219375234567901187e-02,3.543996164833290718e-01,7.840926644034001969e-01,3.222275336651776456e-01
5.904000000000000000e+04,1.219314666666666824e-02,3.538796551416827363e-01,7.842579672134309954e-01,3.222367020815117278e-01
5.910000000000000000e+04,1.219256172839506408e-02,3.533606078056157895e-01,7.844257138135770635e-01,3.222455459542911127e-01
5.916000000000000000e+04,1.219199901234568201e-02,3.528424294185058541e-01,7.845961202550778557e-01,3.222540437328650365e-01
5.922000000000000000e+04,1.219146000000000118e-02,3.523250757781035691e-01,7.847694023562922228e-01,3.222621739405809871e-01
5.928000000000000000e+04,1.219094617283950771e-02,3.518085035121913950e-01,7.849457757214233222e-01,3.222699151738017687e-01
5.934000000000000000e+04,1.219045901234568074e-02,3.512926700554825921e-01,7.851254557587465932e-01,3.222772461009342226e-01
5.940000000000000000e+04,1.219000000000000118e-02,3.507775336276489075e-01,7.853086576984215084e-01,3.222841454614729373e-01
5.946000000000000000e+04,1.218956641975308709e-02,3.502632118366130198e-01,7.854949648618939628e-01,3.222906554318015204e-01
5.952000000000000000e+04,1.218915358024691420e-02,3.497498895019537923e-01,7.856836677487945009e-01,3.222968469188439711e-01
5.958000000000000000e+04,1.218875999999999987e-02,3.492376249420290346e-01,7.858745428477383888e-01,3.223027428440442543e-01
5.964000000000000000e+04,1.218838419753086669e-02,3.487264747442361257e-01,7.860673674750491280e-01,3.223083660449436727e-01
5.970000000000000000e+04,1.218802469135802508e-02,3.482164937994873810e-01,7.862619197555081874e-01,3.223137392766005638e-01
5.976000000000000000e+04,1.218768000000000108e-02,3.477077353720998687e-01,7.864579785755466679e-01,3.223188852132316540e-01
5.982000000000000000e+04,1.218734864197530861e-02,3.472002511786683732e-01,7.866553235292411683e-01,3.223238264491714578e-01
5.988000000000000000e+04,1.218702913580247023e-02,3.466940914651958083e-01,7.868537348654662811e-01,3.223285854994874522e-01
5.994000000000000000e+04,1.218671999999999984e-02,3.461893050790894044e-01,7.870529934388746929e-01,3.223331848004035161e-01
6.000000000000000000e+04,1.218641975308642177e-02,3.456859395352530062e-01,7.872528806653543709e-01,3.223376467095921405e-01
6.006000000000000000e+04,1.218612691358024816e-02,3.451840410764381306e-01,7.874531784818727953e-01,3.223419935063689401e-01
6.012000000000000000e+04,1.218584000000000160e-02,3.446836547283288477e-01,7.876536693103891595e-01,3.223462473918097815e-01
6.018000000000000000e+04,1.218555753086419773e-02,3.441848243499049387e-01,7.878541360254347481e-01,3.223504304887994665e-01
6.024000000000000000e+04,1.218527802469135737e-02,3.436875926796180147e-01,7.880543619249930076e-01,3.223545648420269583e-01
6.030000000000000000e+04,1.218499999999999965e-02,3.431920013778625433e-01,7.882541307043144929e-01,3.223586724179353102e-01
6.036000000000000000e+04,1.218472197530864193e-02,3.426980910661672208e-01,7.884532264323736994e-01,3.223627751046295731e-01
6.042000000000000000e+04,1.218444246913580331e-02,3.422059013634793923e-01,7.886514335306893386e-01,3.223668947117521166e-01
6.048000000000000000e+04,1.218415999999999944e-02,3.417154709198663709e-01,7.888485367542736881e-01,3.223710529703319172e-01
6.054000000000000000e+04,1.218387308641975461e-02,3.412268374479110467e-01,7.890443211745197249e-01,3.223752715326071994e-01
