time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
1.630800000000000000e+05,1.200000000000000025e-02,1.266817551787462470e-01,8.846834302903858749e-01,1.560840390974254299e-04
1.631400000000000000e+05,1.200000000000000025e-02,1.266542652243665135e-01,8.847019209682892571e-01,1.560840782716666191e-04
1.632000000000000000e+05,1.200000000000000025e-02,1.266267986080399366e-01,8.847203969417863911e-01,1.560841173936620301e-04
1.632600000000000000e+05,1.200000000000000025e-02,1.265993552987713655e-01,8.847388582292643466e-01,1.560841564630633359e-04
1.633200000000000000e+05,1.200000000000000025e-02,1.265719352656208274e-01,8.847573048490804393e-01,1.560841954800447134e-04
1.633800000000000000e+05,1.200000000000000025e-02,1.265445384777030835e-01,8.847757368195601213e-01,1.560842344451285856e-04
1.634400000000000000e+05,1.200000000000000025e-02,1.265171649041880175e-01,8.847941541589993131e-01,1.560842733577925295e-04
1.635000000000000000e+05,1.200000000000000025e-02,1.264898145142999697e-01,8.848125568856625156e-01,1.560843122185589951e-04
1.635600000000000000e+05,1.200000000000000025e-02,1.264624872773180142e-01,8.848309450177842539e-01,1.560843510274279554e-04
1.636200000000000000e+05,1.200000000000000025e-02,1.264351831625757094e-01,8.848493185735677447e-01,1.560843897842252874e-04
1.636800000000000000e+05,1.200000000000000025e-02,1.264079021394610702e-01,8.848676775711871167e-01,1.560844284896475910e-04
1.637400000000000000e+05,1.200000000000000025e-02,1.263806441774162626e-01,8.848860220287849687e-01,1.560844671431724164e-04
1.638000000000000000e+05,1.200000000000000025e-02,1.263534092459375202e-01,8.849043519644741451e-01,1.560845057451480634e-04
1.638600000000000000e+05,1.200000000000000025e-02,1.263261973145751171e-01,8.849226673963371814e-01,1.560845442955745321e-04
1.639200000000000000e+05,1.200000000000000025e-02,1.262990083529333396e-01,8.849409683424268591e-01,1.560845827948001494e-04
1.639800000000000000e+05,1.200000000000000025e-02,1.262718423306701254e-01,8.849592548207647624e-01,1.560846212426507114e-04
1.640400000000000000e+05,1.200000000000000025e-02,1.262446992174970917e-01,8.849775268493440539e-01,1.560846596393003949e-04
1.641000000000000000e+05,1.200000000000000025e-02,1.262175789831794237e-01,8.849957844461263656e-01,1.560846979847492271e-04
1.641600000000000000e+05,1.200000000000000025e-02,1.261904815975356531e-01,8.850140276290446861e-01,1.560847362793454810e-04
1.642200000000000000e+05,1.200000000000000025e-02,1.261634070304376576e-01,8.850322564160012506e-01,1.560847745230891563e-04
1.642800000000000000e+05,1.200000000000000025e-02,1.261363552518104947e-01,8.850504708248688734e-01,1.560848127158061304e-04
1.643400000000000000e+05,1.200000000000000025e-02,1.261093262316322905e-01,8.850686708734907260e-01,1.560848508578446760e-04
1.644000000000000000e+05,1.200000000000000025e-02,1.260823199399340733e-01,8.850868565796804477e-01,1.560848889490306431e-04
1.644600000000000000e+05,1.200000000000000025e-02,1.260553363467998844e-01,8.851050279612217020e-01,1.560849269898865088e-04
