time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
9.450000000000000000e+04,1.203000000000000076e-02,1.881059335129334764e-01,8.499596287215408497e-01,1.557775213320077110e-04
9.456000000000000000e+04,1.203000000000000076e-02,1.879985958404480906e-01,8.500241357483175886e-01,1.557778407141755049e-04
9.462000000000000000e+04,1.203000000000000076e-02,1.878914438902772321e-01,8.500885440674128546e-01,1.557781592706856412e-04
9.468000000000000000e+04,1.203000000000000076e-02,1.877844771889266851e-01,8.501528539003407881e-01,1.557784770044987510e-04
9.474000000000000000e+04,1.203000000000000076e-02,1.876776952644458873e-01,8.502170654679915840e-01,1.557787939178788110e-04
9.480000000000000000e+04,1.203000000000000076e-02,1.875710976464226298e-01,8.502811789906334905e-01,1.557791100139606019e-04
9.486000000000000000e+04,1.203000000000000076e-02,1.874646838659768944e-01,8.503451946879145851e-01,1.557794252951821964e-04
9.492000000000000000e+04,1.203000000000000076e-02,1.873584534557556913e-01,8.504091127788651061e-01,1.557797397643301024e-04
9.498000000000000000e+04,1.203000000000000076e-02,1.872524059499268145e-01,8.504729334818985631e-01,1.557800534240165425e-04
9.504000000000000000e+04,1.203000000000000076e-02,1.871465408841734290e-01,8.505366570148138461e-01,1.557803662766797247e-04
9.510000000000000000e+04,1.203000000000000076e-02,1.870408577956882978e-01,8.506002835947970020e-01,1.557806783254543485e-04
9.516000000000000000e+04,1.203000000000000076e-02,1.869353562231683141e-01,8.506638134384236771e-01,1.557809895726043907e-04
9.522000000000000000e+04,1.203000000000000076e-02,1.868300357068085060e-01,8.507272467616603384e-01,1.557813000209163322e-04
9.528000000000000000e+04,1.203000000000000076e-02,1.867248957882965410e-01,8.507905837798660498e-01,1.557816096730024497e-04
9.534000000000000000e+04,1.203000000000000076e-02,1.866199360108074523e-01,8.508538247077945815e-01,1.557819185313008429e-04
9.540000000000000000e+04,1.203000000000000076e-02,1.865151559189973107e-01,8.509169697595971860e-01,1.557822265985980197e-04
9.546000000000000000e+04,1.202996740740740894e-02,1.864105549493541569e-01,8.509754081276724724e-01,1.557825563804643312e-04
9.552000000000000000e+04,1.202987259259259353e-02,1.863061320442872537e-01,8.510249471904265395e-01,1.557828880511900730e-04
9.558000000000000000e+04,1.202972000000000069e-02,1.862018859364415468e-01,8.510662147395818833e-01,1.557832182154955550e-04
9.564000000000000000e+04,1.202951407407407483e-02,1.860978153351062203e-01,8.510998388835756545e-01,1.557835453502418488e-04
9.570000000000000000e+04,1.202925925925926037e-02,1.859939189758792188e-01,8.511264479790523474e-01,1.557838687847672133e-04
9.576000000000000000e+04,1.202896000000000173e-02,1.858901956444339865e-01,8.511466705848262926e-01,1.557841882465227379e-04
9.582000000000000000e+04,1.202862074074074160e-02,1.857866441882727870e-01,8.511611354275080421e-01,1.557845036536566880e-04
9.588000000000000000e+04,1.202824592592592785e-02,1.856832635227412265e-01,8.511704713739178807e-01,1.557848150207979054e-04
9.594000000000000000e+04,1.202784000000000145e-02,1.855800526342009926e-01,8.511753074080273818e-01,1.557851224113379564e-04
9.600000000000000000e+04,1.202740740740740680e-02,1.854770105817352965e-01,8.511762726113679678e-01,1.557854259167069325e-04
9.606000000000000000e+04,1.202695259259259353e-02,1.853741364980575623e-01,8.511739961463854476e-01,1.557857256433121214e-04
