time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
3.840000000000000000e+03,1.782402119389978404e-02,2.165488737095978777e+00,8.760336558537235030e-01,1.581213153808501512e-04
3.900000000000000000e+03,1.779414760348584090e-02,2.160501431527602101e+00,8.742455387470621231e-01,1.581294099210299171e-04
3.960000000000000000e+03,1.776398211764706331e-02,2.155523406415711829e+00,8.724254454312597717e-01,1.582057585650164047e-04
4.020000000000000000e+03,1.773355456644879966e-02,2.150553837436965487e+00,8.705768021679947122e-01,1.582160403838114794e-04
4.080000000000000000e+03,1.770289477995642610e-02,2.145592623226615814e+00,8.687031032602252623e-01,1.582100170124890650e-04
4.140000000000000000e+03,1.767203258823529452e-02,2.140640735212364199e+00,8.668066550004249748e-01,1.582943921073084949e-04
4.200000000000000000e+03,1.764099782135076372e-02,2.135697294429306226e+00,8.648900350814431315e-01,1.583213331793832570e-04
4.260000000000000000e+03,1.760982030936819251e-02,2.130761592586764674e+00,8.629569766647904316e-01,1.583654468448489024e-04
4.320000000000000000e+03,1.757852988235293970e-02,2.125833290653218910e+00,8.610097240613313607e-01,1.584223523367579364e-04
4.380000000000000000e+03,1.754715637037037104e-02,2.120911931679343887e+00,8.590514225180744257e-01,1.583970570008448890e-04
4.440000000000000000e+03,1.751572960348583841e-02,2.115998117329124462e+00,8.570862306761197758e-01,1.584165541114811279e-04
4.500000000000000000e+03,1.748427941176470754e-02,2.111092122976766738e+00,8.551166500078046795e-01,1.584594726079285225e-04
4.560000000000000000e+03,1.745283562527233379e-02,2.106193936478688578e+00,8.531449359979235147e-01,1.585285365239090245e-04
4.620000000000000000e+03,1.742142807407407595e-02,2.101302362223758102e+00,8.511743770556654543e-01,1.585763874838790023e-04
4.680000000000000000e+03,1.739008658823529632e-02,2.096417375171511832e+00,8.492075116908214261e-01,1.585695019590054272e-04
4.740000000000000000e+03,1.735884099782135023e-02,2.091539518756976079e+00,8.472474225808396264e-01,1.586396610392502176e-04
4.800000000000000000e+03,1.732772113289760343e-02,2.086666992816748056e+00,8.452976576547792664e-01,1.586381835574096502e-04
4.860000000000000000e+03,1.729675682352940780e-02,2.081800093615182146e+00,8.433615330473366312e-01,1.586217347347788887e-04
4.920000000000000000e+03,1.726597789978213254e-02,2.076939929638080606e+00,8.414415439783601292e-01,1.586622207309030988e-04
4.980000000000000000e+03,1.723541419172113301e-02,2.072086790631852082e+00,8.395401041998881153e-01,1.586643380094124897e-04
5.040000000000000000e+03,1.720509552941176454e-02,2.067240871942625624e+00,8.376613602533612424e-01,1.586787992724927692e-04
5.100000000000000000e+03,1.717505174291938941e-02,2.062402448310042047e+00,8.358077782428356972e-01,1.587233041682091928e-04
5.160000000000000000e+03,1.714531266230936990e-02,2.057570948600861094e+00,8.339816268080568751e-01,1.587935066632029113e-04
5.220000000000000000e+03,1.711590811764706135e-02,2.052745481389196325e+00,8.321854282417199267e-01,1.587886066355643578e-04
5.280000000000000000e+03,1.708686793899782258e-02,2.047926435409581636e+00,8.304230657937272664e-01,1.587782735297119184e-04
5.340000000000000000e+03,1.705822195642701586e-02,2.043114863934390346e+00,8.286970962547248742e-01,1.588458807252400671e-04
5.400000000000000000e+03,1.703000000000000000e-02,2.038310106490709206e+00,8.270102325838810664e-01,1.588197472511625164e-04
5.460000000000000000e+03,1.700182245614035095e-02,2.033512591021935823e+00,8.253257070021045028e-01,1.588725757618787997e-04
5.520000000000000000e+03,1.697332350877192933e-02,2.028722598461464077e+00,8.236070875453497253e-01,1.589113589665004558e-04
5.580000000000000000e+03,1.694455368421052613e-02,2.023938479460001272e+00,8.218608028118490338e-01,1.589163821459763158e-04
5.640000000000000000e+03,1.691556350877192888e-02,2.019161025091960937e+00,8.200914376077886869e-01,1.589521430083522225e-04
5.700000000000000000e+03,1.688640350877192858e-02,2.014390233534462560e+00,8.183037721340086224e-01,1.589932978043938707e-04
5.760000000000000000e+03,1.685712421052631277e-02,2.009625913120338225e+00,8.165023596377581905e-01,1.590088930417393872e-04
5.820000000000000000e+03,1.682777614035087591e-02,2.004868144842179234e+00,8.146929566637183262e-01,1.589969169862108479e-04
5.880000000000000000e+03,1.679840982456140552e-02,2.000117835169823000e+00,8.128802286313381309e-01,1.590510044547888656e-04
5.940000000000000000e+03,1.676907578947368568e-02,1.995374101198137851e+00,8.110686454693039060e-01,1.591222478899488688e-04
6.000000000000000000e+03,1.673982456140350739e-02,1.990635847310405104e+00,8.092623468767122796e-01,1.591480546662291053e-04
6.060000000000000000e+03,1.671070666666666857e-02,1.985903814369948561e+00,8.074668067614892975e-01,1.591419020572185940e-04
6.120000000000000000e+03,1.668177263157894635e-02,1.981177370663286919e+00,8.056880456306305671e-01,1.591197807126802871e-04
6.180000000000000000e+03,1.665307298245614215e-02,1.976457544326533089e+00,8.039305359719888244e-01,1.591921760274341957e-04
6.240000000000000000e+03,1.662465824561403308e-02,1.971743774769196822e+00,8.021982050596114799e-01,1.591853431761124202e-04
6.300000000000000000e+03,1.659657894736842401e-02,1.967036312233877648e+00,8.004965488492938874e-01,1.592169766573499389e-04
6.360000000000000000e+03,1.656888561403508514e-02,1.962334458060184028e+00,7.988310458667725600e-01,1.591970041548309938e-04
6.420000000000000000e+03,1.654162877192982481e-02,1.957639289048691111e+00,7.972064872553522585e-01,1.592201603206611082e-04
6.480000000000000000e+03,1.651485894736842014e-02,1.952951421438162249e+00,7.956276377138196132e-01,1.592183624477865793e-04
6.540000000000000000e+03,1.648862666666666560e-02,1.948271286898749066e+00,7.940986431415768543e-01,1.593246224263805049e-04
6.600000000000000000e+03,1.646298245614034872e-02,1.943597853700204769e+00,7.926237883993223488e-01,1.592845632085204178e-04
6.660000000000000000e+03,1.643797684210526050e-02,1.938931922797143770e+00,7.912089236513358825e-01,1.592864270965621565e-04
6.720000000000000000e+03,1.641366035087719541e-02,1.934274741855112945e+00,7.898585651431386800e-01,1.593281056234228531e-04
6.780000000000000000e+03,1.639008350877193057e-02,1.929625474019889486e+00,7.885773587419463437e-01,1.593662666325467759e-04
6.840000000000000000e+03,1.636729684210526739e-02,1.924984149051378823e+00,7.873700515470650751e-01,1.593322326551675230e-04
6.900000000000000000e+03,1.634535087719298299e-02,1.920351934511880909e+00,7.862413984023016722e-01,1.594207508446342854e-04
6.960000000000000000e+03,1.632429614035087878e-02,1.915728088933037920e+00,7.851956113880355081e-01,1.594349749264159836e-04
7.020000000000000000e+03,1.630418315789473882e-02,1.911112228678332414e+00,7.842383940494247474e-01,1.594406115577955119e-04
7.080000000000000000e+03,1.628506245614035064e-02,1.906505133740924229e+00,7.833746997945888468e-01,1.594170998019417169e-04
7.140000000000000000e+03,1.626698456140350871e-02,1.901908494744985800e+00,7.826090607410607358e-01,1.594862534899464516e-04
