time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
5.988000000000000000e+04,2.000000000000000042e-02,6.386154807722442817e-01,1.822475794229055035e+00,1.558199859072190033e-04
5.994000000000000000e+04,2.000000000000000042e-02,6.380056789983875598e-01,1.822985860111440815e+00,1.558216442243627641e-04
6.000000000000000000e+04,2.000000000000000042e-02,6.373968547730195500e-01,1.823495482230912179e+00,1.558232994523871240e-04
6.006000000000000000e+04,2.000000000000000042e-02,6.367890062783796434e-01,1.824004660780328635e+00,1.558249515972132907e-04
6.012000000000000000e+04,2.000000000000000042e-02,6.361821317002527287e-01,1.824513395953238915e+00,1.558266006649366216e-04
6.018000000000000000e+04,2.000000000000000042e-02,6.355762292279611980e-01,1.825021687943881199e+00,1.558282466614782972e-04
6.024000000000000000e+04,2.000000000000000042e-02,6.349712970543575086e-01,1.825529536947182674e+00,1.558298895929336749e-04
6.030000000000000000e+04,2.000000000000000042e-02,6.343673333758163002e-01,1.826036943158756864e+00,1.558315294653980852e-04
6.036000000000000000e+04,2.000000000000000042e-02,6.337643363922265127e-01,1.826543906774902970e+00,1.558331662846185314e-04
6.042000000000000000e+04,2.000000000000000042e-02,6.331623043069835033e-01,1.827050427992605419e+00,1.558348000566904252e-04
6.048000000000000000e+04,2.000000000000000042e-02,6.325612353269829402e-01,1.827556507009530762e+00,1.558364307876219815e-04
6.054000000000000000e+04,2.000000000000000042e-02,6.319611276626103669e-01,1.828062144024029667e+00,1.558380584832473191e-04
6.060000000000000000e+04,2.000000000000000042e-02,6.313619795277358726e-01,1.828567339235131817e+00,1.558396831495747071e-04
6.066000000000000000e+04,2.000000000000000042e-02,6.307637891397064323e-01,1.829072092842547459e+00,1.558413047926995030e-04
6.072000000000000000e+04,2.000000000000000042e-02,6.301665547193364691e-01,1.829576405046663634e+00,1.558429234182816486e-04
6.078000000000000000e+04,2.000000000000000042e-02,6.295702744909021931e-01,1.830080276048545285e+00,1.558445390322423516e-04
6.084000000000000000e+04,2.000000000000000042e-02,6.289749466821337176e-01,1.830583706049933701e+00,1.558461516406769423e-04
6.090000000000000000e+04,2.000000000000000042e-02,6.283805695242066225e-01,1.831086695253243191e+00,1.558477612492453626e-04
6.096000000000000000e+04,2.000000000000000042e-02,6.277871412517355143e-01,1.831589243861560856e+00,1.558493678636946973e-04
6.102000000000000000e+04,2.000000000000000042e-02,6.271946601027670321e-01,1.832091352078645929e+00,1.558509714900331610e-04
6.108000000000000000e+04,2.000000000000000042e-02,6.266031243187710764e-01,1.832593020108926885e+00,1.558525721341819884e-04
6.114000000000000000e+04,2.000000000000000042e-02,6.260125321446339264e-01,1.833094248157501660e+00,1.558541698017140329e-04
6.120000000000000000e+04,2.000000000000000042e-02,6.254228818286522440e-01,1.833595036430133662e+00,1.558557644987246249e-04
6.126000000000000000e+04,2.000000000000000042e-02,6.248341716225233045e-01,1.834095385133255984e+00,1.558573562307866991e-04
6.132000000000000000e+04,2.000000000000000042e-02,6.242463997813398890e-01,1.834595294473961191e+00,1.558589450038214087e-04
6.138000000000000000e+04,2.000000000000000042e-02,6.236595645635819585e-01,1.835094764660007316e+00,1.558605308234886958e-04
6.144000000000000000e+04,2.000000000000000042e-02,6.230736642311094364e-01,1.835593795899813863e+00,1.558621136953614950e-04
6.150000000000000000e+04,2.000000000000000042e-02,6.224886970491563254e-01,1.836092388402458475e+00,1.558636936256221981e-04
6.156000000000000000e+04,2.000000000000000042e-02,6.219046612863203816e-01,1.836590542377679824e+00,1.558652706194953586e-04
6.162000000000000000e+04,2.000000000000000042e-02,6.213215552145605614e-01,1.837088258035869615e+00,1.558668446831634497e-04
6.168000000000000000e+04,2.000000000000000042e-02,6.207393771091853640e-01,1.837585535588078800e+00,1.558684158220251476e-04
6.174000000000000000e+04,2.000000000000000042e-02,6.201581252488487239e-01,1.838082375246009148e+00,1.558699840419146255e-04
6.180000000000000000e+04,2.000000000000000042e-02,6.195777979155419057e-01,1.838578777222016125e+00,1.558715493485788597e-04
6.186000000000000000e+04,2.000000000000000042e-02,6.189983933945859551e-01,1.839074741729103568e+00,1.558731117475036963e-04
6.192000000000000000e+04,2.000000000000000042e-02,6.184199099746260364e-01,1.839570268980927015e+00,1.558746712445232272e-04
6.198000000000000000e+04,2.000000000000000042e-02,6.178423459476228841e-01,1.840065359191788374e+00,1.558762278451232715e-04
6.204000000000000000e+04,2.000000000000000042e-02,6.172656996088472514e-01,1.840560012576634374e+00,1.558777815551379482e-04
6.210000000000000000e+04,2.000000000000000042e-02,6.166899692568714730e-01,1.841054229351056559e+00,1.558793323800530763e-04
6.216000000000000000e+04,2.000000000000000042e-02,6.161151531935633585e-01,1.841548009731290181e+00,1.558808803252673320e-04
6.222000000000000000e+04,2.000000000000000042e-02,6.155412497240804193e-01,1.842041353934208203e+00,1.558824253967019773e-04
6.228000000000000000e+04,2.000000000000000042e-02,6.149682571568605427e-01,1.842534262177324633e+00,1.558839675996685997e-04
6.234000000000000000e+04,2.000000000000000042e-02,6.143961738036169962e-01,1.843026734678792078e+00,1.558855069399142841e-04
6.240000000000000000e+04,2.000000000000000042e-02,6.138249979793313216e-01,1.843518771657396194e+00,1.558870434230119107e-04
6.246000000000000000e+04,2.000000000000000042e-02,6.132547280022457858e-01,1.844010373332558350e+00,1.558885770544472717e-04
6.252000000000000000e+04,2.000000000000000042e-02,6.126853621938567196e-01,1.844501539924332079e+00,1.558901078395320090e-04
6.258000000000000000e+04,2.000000000000000042e-02,6.121168988789087440e-01,1.844992271653401072e+00,1.558916357840131801e-04
6.264000000000000000e+04,2.000000000000000042e-02,6.115493363853874431e-01,1.845482568741078966e+00,1.558931608934636926e-04
6.270000000000000000e+04,2.000000000000000042e-02,6.109826730445121479e-01,1.845972431409304226e+00,1.558946831732822228e-04
6.276000000000000000e+04,2.000000000000000042e-02,6.104169071907297184e-01,1.846461859880642820e+00,1.558962026290416783e-04
6.282000000000000000e+04,2.000000000000000042e-02,6.098520371617079938e-01,1.846950854378283324e+00,1.558977192661408168e-04
6.288000000000000000e+04,2.000000000000000042e-02,6.092880612983284649e-01,1.847439415126037154e+00,1.558992330898912801e-04
