time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
9.948000000000000000e+04,1.201999999999999943e-02,1.804828832805120131e-01,8.531528142342561516e-01,1.559855489558928463e-04
9.954000000000000000e+04,1.201999999999999943e-02,1.803887813479316815e-01,8.532100847514205721e-01,1.559858104239513681e-04
9.960000000000000000e+04,1.201999999999999943e-02,1.802948319086196682e-01,8.532672725830412475e-01,1.559860712570494082e-04
9.966000000000000000e+04,1.201999999999999943e-02,1.802010345966413019e-01,8.533243779052225308e-01,1.559863314574509436e-04
9.972000000000000000e+04,1.201999999999999943e-02,1.801073890471563965e-01,8.533814008936204676e-01,1.559865910268974740e-04
9.978000000000000000e+04,1.201999999999999943e-02,1.800138948964185581e-01,8.534383417234401303e-01,1.559868499673047304e-04
9.984000000000000000e+04,1.201999999999999943e-02,1.799205517817732414e-01,8.534952005694367294e-01,1.559871082802400354e-04
9.990000000000000000e+04,1.201999999999999943e-02,1.798273593416565563e-01,8.535519776059150576e-01,1.559873659676190929e-04
9.996000000000000000e+04,1.201999999999999943e-02,1.797343172155930202e-01,8.536086730067281581e-01,1.559876230317058798e-04
1.000200000000000000e+05,1.201999999999999943e-02,1.796414250441934757e-01,8.536652869452783232e-01,1.559878794735453230e-04
1.000800000000000000e+05,1.201999999999999943e-02,1.795486824691533978e-01,8.537218195945173171e-01,1.559881352955755493e-04
1.001400000000000000e+05,1.201999999999999943e-02,1.794560891332497854e-01,8.537782711269452651e-01,1.559883904995380854e-04
1.002000000000000000e+05,1.201999999999999943e-02,1.793636446803395235e-01,8.538346417146126521e-01,1.559886450873486353e-04
1.002600000000000000e+05,1.201999999999999943e-02,1.792713487553561080e-01,8.538909315291195457e-01,1.559888990607486716e-04
1.003200000000000000e+05,1.201999999999999943e-02,1.791792010043071204e-01,8.539471407416165949e-01,1.559891524214797483e-04
1.003800000000000000e+05,1.201999999999999943e-02,1.790872010742718401e-01,8.540032695228046977e-01,1.559894051716317193e-04
1.004400000000000000e+05,1.201999999999999943e-02,1.789953486133979699e-01,8.540593180429373321e-01,1.559896573127719343e-04
1.005000000000000000e+05,1.201999999999999943e-02,1.789036432708992763e-01,8.541152864718183357e-01,1.559899088468160702e-04
1.005600000000000000e+05,1.201999999999999943e-02,1.788120846970517319e-01,8.541711749788060137e-01,1.559901597756798038e-04
1.006200000000000000e+05,1.201999999999999943e-02,1.787206725431914611e-01,8.542269837328120285e-01,1.559904101012788390e-04
1.006800000000000000e+05,1.201999999999999943e-02,1.786294064617108268e-01,8.542827129023013999e-01,1.559906598251805255e-04
1.007400000000000000e+05,1.201999999999999943e-02,1.785382861060559323e-01,8.543383626552953913e-01,1.559909089493005674e-04
1.008000000000000000e+05,1.201999999999999943e-02,1.784473111307230409e-01,8.543939331593711772e-01,1.559911574757287371e-04
1.008600000000000000e+05,1.201999999999999943e-02,1.783564811912557169e-01,8.544494245816620648e-01,1.559914054058583429e-04
1.009200000000000000e+05,1.201999999999999943e-02,1.782657959442413009e-01,8.545048370888603806e-01,1.559916527417791303e-04
1.009800000000000000e+05,1.201999999999999943e-02,1.781752550473077457e-01,8.545601708472164715e-01,1.559918994852327074e-04
1.010400000000000000e+05,1.201999999999999943e-02,1.780848581591206736e-01,8.546154260225415911e-01,1.559921456381346697e-04
1.011000000000000000e+05,1.201999999999999943e-02,1.779946049393793528e-01,8.546706027802065675e-01,1.559923912020524754e-04
1.011600000000000000e+05,1.201999999999999943e-02,1.779044950488140597e-01,8.547257012851446900e-01,1.559926361789017201e-04
1.012200000000000000e+05,1.201999999999999943e-02,1.778145281491823604e-01,8.547807217018530412e-01,1.559928805702498348e-04
1.012800000000000000e+05,1.201999999999999943e-02,1.777247039032659459e-01,8.548356641943918310e-01,1.559931243781866462e-04
1.013400000000000000e+05,1.201999999999999943e-02,1.776350219748672465e-01,8.548905289263859508e-01,1.559933676044536542e-04
1.014000000000000000e+05,1.201999999999999943e-02,1.775454820288059066e-01,8.549453160610278601e-01,1.559936102506182627e-04
1.014600000000000000e+05,1.201999999999999943e-02,1.774560837309156203e-01,8.550000257610761434e-01,1.559938523185961214e-04
