seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s,validation_errors,valid_full_clear
285,b3faae8281944c45ba0c1a925a3ab398e11f484c2023ded336b370229f254203,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1693.6344163333333,20323.612996,79258.06496767518,1.2691384999998263,cpu,2,453,306,296,0,596,550,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,77677d82341466fc573c2de49fb3712c2bb72e4a4163a5a0d0dcbd1eb1ad750f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,10085.922357000003,817.2483229999998,0.0,9168.701407000002,251.7409089999967,0.0,[],True
285,b3faae8281944c45ba0c1a925a3ab398e11f484c2023ded336b370229f254203,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1131.220522,13574.646264,45253.23131543069,1.2194247000006726,cpu,2,453,325,315,0,595,550,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,77677d82341466fc573c2de49fb3712c2bb72e4a4163a5a0d0dcbd1eb1ad750f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,10085.922357000003,808.3131090000006,0.0,2428.6972339999993,251.713563999999,1.8189894035458565e-12,[],True
285,b3faae8281944c45ba0c1a925a3ab398e11f484c2023ded336b370229f254203,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,967.2712085833333,11607.254503,40001.272515638906,1.3941298999998253,cpu,0,0,12,0,3,599,552,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,77677d82341466fc573c2de49fb3712c2bb72e4a4163a5a0d0dcbd1eb1ad750f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,10086.038245999998,814.635201,383.00229300000046,0.0,323.57876300000066,0.0,[],True
286,755ceb432b2875e91e1bb0d6aad7606306b0fbc2abc78b218fff615a4aaa9177,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,1783.805910785714,24973.282751,107671.41375834397,0.9929080000001704,cpu,1,390,240,227,0,455,416,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,7438ba4c2701bac54d35b60a2b808fb8edc5bcdc921ee8c9587d8a7aa59d91a2,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,9282.619391999993,1537.0552530000027,0.0,13698.180589,455.427517000001,3.637978807091713e-12,[],True
286,755ceb432b2875e91e1bb0d6aad7606306b0fbc2abc78b218fff615a4aaa9177,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,847.4159940714286,11863.823917,44584.11957179333,1.051288200000272,cpu,1,390,76,63,0,455,416,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,7438ba4c2701bac54d35b60a2b808fb8edc5bcdc921ee8c9587d8a7aa59d91a2,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,9285.314374999998,1537.055253000001,0.0,586.0267719999999,455.427517000001,1.8189894035458565e-12,[],True
286,755ceb432b2875e91e1bb0d6aad7606306b0fbc2abc78b218fff615a4aaa9177,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,819.4194778571429,11471.87269,43499.36343659975,1.1250889999992069,cpu,0,0,14,0,2,457,417,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,7438ba4c2701bac54d35b60a2b808fb8edc5bcdc921ee8c9587d8a7aa59d91a2,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,5,recovered_practice_engine_local,grid_v1,9284.292247000001,1537.055252999999,168.8767260000002,0.0,481.64846399999897,0.0,[],True
287,a79a2595c4ae8558e60e4bdef786c55974bdde1744d9f7655f039e37b87322fc,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,633.0327381875,10128.523811,40442.61906669095,1.4181115999999747,cpu,0,0,16,0,0,335,285,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,be9b7d0911f4a6dc236b3870d10ce7f24b3614b914a762d00d07cb4ab7647285,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,2,recovered_practice_engine_local,grid_v1,8028.590415999999,1451.900747,0.0,0.0,648.0326479999994,0.0,[],True
287,a79a2595c4ae8558e60e4bdef786c55974bdde1744d9f7655f039e37b87322fc,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,633.0327381875,10128.523811,40442.61906669095,1.393374400000539,cpu,0,0,16,0,0,335,285,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,be9b7d0911f4a6dc236b3870d10ce7f24b3614b914a762d00d07cb4ab7647285,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,2,recovered_practice_engine_local,grid_v1,8028.590415999999,1451.900747,0.0,0.0,648.0326479999994,0.0,[],True
287,a79a2595c4ae8558e60e4bdef786c55974bdde1744d9f7655f039e37b87322fc,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,633.0327381875,10128.523811,40442.61906669095,1.3966402000005473,cpu,0,0,16,0,0,335,285,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,be9b7d0911f4a6dc236b3870d10ce7f24b3614b914a762d00d07cb4ab7647285,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,2,recovered_practice_engine_local,grid_v1,8028.590415999999,1451.900747,0.0,0.0,648.0326479999994,0.0,[],True
288,1548da85d6c6e39eb890c305e8d66c0fd204ecd3c3c6cc267e1a045f97fe7a4a,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,1406.7975188125,22508.760301,93453.80141748633,1.7462826000009954,cpu,3,793,472,459,0,403,355,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,86e642d2d9db2b2ed9ac9886e9c79468f69954f6ae5dd97526659a1d2679e85f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,15,recovered_practice_engine_local,grid_v1,8528.198152999994,2370.173500000001,0.0,11182.977339,427.4113090000026,3.637978807091713e-12,[],True
