seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
122,16,448.179309875,305.0885694375,-143.09074043750002,-6412.259255261346
123,12,735.5462195,566.47186275,-169.07435675,-6624.461400727167
124,15,606.4802888666667,450.4435102,-156.0367786666667,-9267.758372441655
125,13,744.878005,540.5561654615384,-204.32183953846163,-10655.919560819326
126,13,747.0647487692307,665.360514,-81.70423476923077,-2550.7752334640245
127,15,594.2412928666668,504.48315513333336,-89.7581377333334,-6371.86032019855
128,15,612.0735311999999,495.7820435333333,-116.29148766666663,-6651.86158348083
129,10,928.7298843000001,730.2163864,-198.51349790000006,-7040.674866299421
130,11,815.9568790909092,622.1251264545455,-193.83175263636372,-8250.746387693325
131,11,793.9340715454546,650.9801389090909,-142.95393263636367,-5992.46628769087
132,11,838.7418517272727,561.8822355454545,-276.8596161818182,-11777.278885827855
133,11,803.1715732727273,710.979692,-92.1918812727273,-2850.553447727554
134,14,623.9755188571428,511.0225805,-112.95293835714278,-4896.705678409518
135,11,885.0540107272728,662.789505,-222.26450572727288,-8009.547809447911
136,14,663.2881327857142,524.7589194999999,-138.52921328571426,-5872.044915444945
137,13,692.435407,491.2930833076923,-201.14232369230774,-8869.251028821782
138,14,644.8269422857144,529.182671,-115.64427128571435,-6385.098982797623
139,15,596.3030133333334,459.87937619999997,-136.42363713333344,-8396.772774515593
140,14,610.2307007142857,515.176234,-95.0544667142857,-4563.812637524705
141,14,621.5196147142858,518.4661416428572,-103.05347307142858,-5833.743075470298
142,16,522.873737875,356.974840875,-165.89889699999998,-8516.911752519107
143,12,743.7355491666667,551.7411668333333,-191.99438233333342,-7024.662935755481
144,14,612.8993813571429,475.2153309285714,-137.68405042857154,-8477.883511941687
145,13,718.309804923077,533.9410806153846,-184.36872430769233,-8728.967065138168
146,13,660.4972762307692,542.4054374615384,-118.09183876923078,-4640.969489036575
147,12,781.2204845,544.73612025,-236.48436425,-11839.061851396087
148,15,564.589688,475.00814353333334,-89.58154446666668,-3548.615827721129
149,13,694.8092394615385,567.5505886153846,-127.25865084615384,-7001.812297324854
150,15,586.5092299333334,485.51659993333334,-100.99263000000002,-5134.447249214372
151,10,925.4590706000001,716.8785261,-208.5805445000001,-6764.027211735411
152,13,732.9191246923076,583.2640930769231,-149.65503161538447,-7352.577057000217
153,11,862.4658207272728,625.9470341818183,-236.51878654545453,-9388.533259654341
154,13,666.073418,527.8923789230769,-138.18103907692307,-6791.767531458914
155,16,391.2400146875,291.6671763125,-99.572838375,-5335.827085471203
156,14,621.5234019285715,609.4623153571429,-12.061086571428632,1790.7239465250823
157,12,762.6011185000001,560.3212221666666,-202.27989633333345,-8926.793748704986
158,13,747.3244011538462,579.2139123846154,-168.11048876923087,-7057.181760942454
159,15,606.1619956,466.18856113333334,-139.97343446666662,-7338.007579250927
160,11,855.4912931818182,649.8879845454545,-205.60330863636364,-8148.1819725734385
161,16,468.9846415625,324.5661706875,-144.41847087499997,-8538.477658850694
162,11,839.2621625454544,688.0461902727274,-151.21597227272707,-4031.8784733106477
163,11,834.5683836363637,646.3982390909091,-188.1701445454546,-7769.3579258237405
164,11,833.5366943636363,628.0632361818182,-205.47345818181816,-8081.040178081912
165,15,594.9831507333333,460.2156445333333,-134.7675062,-6832.562949516312
166,10,996.2255948,752.9230660999999,-243.30252870000004,-7145.1264286445075
167,12,743.1307046666667,576.68909625,-166.44160841666667,-7966.4964994239745
168,11,865.8126037272727,666.8636416363636,-198.94896209090916,-6277.192921440703
169,13,672.2455494615385,515.4243834615385,-156.82116600000006,-7633.375792237184
170,15,595.8845085333334,449.999474,-145.88503453333334,-8786.377572179892
171,10,936.1349117,690.0646735,-246.07023819999995,-6868.511885869448
172,11,800.0880046363636,642.0170721818182,-158.0709324545454,-4918.901287487795
173,14,646.9025955,485.53279307142856,-161.3698024285714,-9155.886133101303
174,15,555.5359071333334,457.6893310666666,-97.84657606666673,-5423.493189017503
175,14,672.0256908571429,470.6459977857143,-201.37969307142856,-8586.578504096578
176,15,605.1915914,440.7836173333333,-164.40797406666667,-9165.598038870157
177,10,925.6962949000001,725.9254345,-199.77086040000006,-7183.5430087640525
178,11,836.0546323636364,599.0681061818182,-236.98652618181825,-8154.25892555256
